BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9816.046211, 1.001742, 0.001380, 1.504, 1990.
   9816.047369, 0.998986, 0.001375, 1.503, 1972.
   9816.048510, 1.000696, 0.001378, 1.501, 1953.
   9816.049650, 0.996450, 0.001375, 1.500, 1951.
   9816.050792, 0.997590, 0.001376, 1.499, 1987.
   9816.051933, 1.002106, 0.001382, 1.498, 2194.
   9816.053281, 0.998204, 0.001381, 1.496, 2012.
   9816.054422, 0.998351, 0.001386, 1.495, 1947.
   9816.055563, 0.997737, 0.001382, 1.493, 1863.
   9816.056879, 0.997997, 0.001376, 1.492, 1889.
   9816.058021, 1.001703, 0.001381, 1.490, 1924.
   9816.059344, 0.993521, 0.001362, 1.489, 1886.
   9816.060670, 1.000612, 0.001377, 1.487, 1824.
   9816.061811, 1.003197, 0.001381, 1.486, 1833.
   9816.062953, 0.996690, 0.001388, 1.484, 1825.
   9816.064094, 1.004172, 0.001390, 1.483, 1801.
   9816.065236, 1.001223, 0.001380, 1.482, 1855.
   9816.066377, 0.994779, 0.001376, 1.480, 1934.
   9816.067518, 1.001697, 0.001383, 1.479, 1952.
   9816.068660, 1.003336, 0.001380, 1.477, 2054.
   9816.069801, 0.998271, 0.001380, 1.476, 1993.
   9816.070943, 0.996793, 0.001372, 1.474, 1971.
   9816.072270, 1.001384, 0.001372, 1.473, 1957.
   9816.073411, 1.002017, 0.001376, 1.471, 1906.
   9816.074552, 1.003234, 0.001378, 1.470, 1907.
   9816.075693, 0.999083, 0.001365, 1.468, 1916.
   9816.077018, 0.996548, 0.001370, 1.466, 1951.
   9816.078159, 0.997401, 0.001391, 1.465, 1999.
   9816.079301, 1.005561, 0.001393, 1.463, 2027.
   9816.080443, 0.995940, 0.001369, 1.462, 2051.
   9816.081585, 1.006784, 0.001386, 1.460, 2048.
   9816.082726, 0.996395, 0.001382, 1.459, 2027.
   9816.084051, 1.003948, 0.001382, 1.457, 2053.
   9816.085192, 1.004062, 0.001380, 1.455, 2038.
   9816.086334, 0.996595, 0.001374, 1.454, 2003.
   9816.087474, 0.995633, 0.001374, 1.452, 1986.
   9816.088800, 1.002932, 0.001376, 1.450, 2000.
   9816.090122, 1.001940, 0.001370, 1.448, 2016.
   9816.091446, 1.000261, 0.001368, 1.446, 2018.
   9816.092587, 0.998332, 0.001365, 1.445, 2003.
   9816.093728, 0.995561, 0.001360, 1.443, 2006.
   9816.094869, 0.997455, 0.001360, 1.441, 2053.
   9816.097509, 1.002474, 0.001369, 1.438, 1985.
   9816.098650, 1.001228, 0.001367, 1.436, 1954.
   9816.099970, 0.995713, 0.001360, 1.434, 1964.
   9816.101111, 0.997785, 0.001361, 1.432, 1983.
   9816.102252, 0.996432, 0.001361, 1.431, 1989.
   9816.103572, 0.997030, 0.001364, 1.429, 1990.
   9816.104712, 1.000000, 0.001373, 1.427, 2025.
   9816.105855, 1.002773, 0.001379, 1.425, 2040.
   9816.107174, 1.004321, 0.001393, 1.423, 2045.
   9816.108316, 0.996568, 0.001380, 1.422, 2024.
   9816.109457, 0.998617, 0.001376, 1.420, 1989.
   9816.110598, 1.002370, 0.001371, 1.418, 1966.
   9816.111918, 1.003992, 0.001389, 1.416, 1950.
