BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9446.003437, 1.004710, 0.001876, 1.542, 4506.
   9446.006039, 0.999340, 0.001872, 1.541, 4552.
   9446.008642, 1.002090, 0.001893, 1.540, 4388.
   9446.011242, 0.996165, 0.001854, 1.539, 4314.
   9446.013843, 0.998017, 0.001888, 1.537, 4682.
   9446.016444, 1.001342, 0.001963, 1.536, 4723.
   9446.019045, 0.991425, 0.001968, 1.534, 4837.
   9446.023808, 0.996974, 0.002020, 1.531, 4564.
   9446.026412, 1.002261, 0.002319, 1.529, 4739.
   9446.029014, 0.997790, 0.002143, 1.527, 4629.
   9446.031618, 1.006409, 0.001896, 1.525, 4400.
   9446.034220, 1.004657, 0.001963, 1.523, 4467.
   9446.038834, 1.002029, 0.001901, 1.519, 4766.
   9446.041438, 1.004349, 0.001931, 1.517, 4654.
   9446.044040, 0.997131, 0.001951, 1.515, 4883.
   9446.046640, 1.010700, 0.002270, 1.512, 5261.
   9446.049242, 0.993576, 0.002415, 1.510, 5105.
   9446.051848, 1.007869, 0.003253, 1.507, 5634.
   9446.054449, 0.998869, 0.003850, 1.504, 5737.
   9446.057084, 1.001970, 0.004363, 1.501, 5641.
   9446.059683, 0.998500, 0.003915, 1.499, 4952.
   9446.064955, 0.994574, 0.003102, 1.493, 5014.
   9446.070383, 0.997441, 0.002820, 1.487, 4800.
   9446.075837, 0.996849, 0.002645, 1.480, 4382.
   9446.078621, 1.005948, 0.001998, 1.476, 4176.
   9446.083825, 1.005915, 0.002211, 1.470, 4220.
   9446.086463, 0.995612, 0.002504, 1.467, 4290.
   9446.089067, 0.999990, 0.002112, 1.463, 4220.
   9446.091670, 0.982450, 0.002724, 1.460, 4440.
   9446.096877, 0.995239, 0.002223, 1.452, 4730.
   9446.099504, 1.007347, 0.001908, 1.449, 4578.
   9446.102106, 0.988579, 0.001898, 1.445, 4387.
   9446.104709, 0.997301, 0.001977, 1.442, 4109.
   9446.109910, 1.009487, 0.002259, 1.434, 4108.
   9446.112532, 0.999317, 0.002095, 1.430, 3922.
   9446.115133, 0.998056, 0.001881, 1.426, 3917.
   9446.117745, 0.992710, 0.002156, 1.423, 3835.
   9446.120347, 0.998768, 0.002046, 1.419, 3905.
   9446.122951, 0.997938, 0.001960, 1.415, 3990.
   9446.125552, 0.997573, 0.001939, 1.411, 4141.
   9446.128154, 0.997291, 0.001928, 1.407, 4232.
   9446.130754, 0.996717, 0.001950, 1.403, 4402.
   9446.133358, 0.994096, 0.001937, 1.399, 4610.
   9446.135959, 1.004054, 0.001993, 1.395, 4777.
   9446.138561, 0.994330, 0.002009, 1.391, 4848.
   9446.141161, 0.996325, 0.002010, 1.387, 4865.
   9446.143763, 0.998641, 0.001893, 1.383, 4216.
   9446.146362, 0.998936, 0.001864, 1.379, 4070.
   9446.148963, 1.004293, 0.001874, 1.375, 4087.
   9446.151564, 0.998616, 0.001883, 1.371, 3999.
   9446.154165, 1.000916, 0.001853, 1.366, 3956.
   9446.156767, 1.003569, 0.001841, 1.362, 3931.
   9446.159367, 0.990914, 0.002077, 1.358, 3932.
   9446.161972, 1.003240, 0.002155, 1.354, 3717.
   9446.164573, 1.001850, 0.001895, 1.350, 3691.
   9446.167177, 1.002849, 0.001741, 1.346, 3317.
   9446.169778, 0.992202, 0.001703, 1.342, 3158.
   9446.172381, 0.995878, 0.001658, 1.338, 3055.
   9446.174984, 0.996035, 0.001664, 1.334, 3080.
   9446.177584, 0.997645, 0.001699, 1.329, 3248.
   9446.182786, 0.996578, 0.001709, 1.321, 3181.
   9446.185386, 0.993366, 0.001802, 1.317, 3127.
   9446.187986, 0.992929, 0.001689, 1.313, 3093.
   9446.190587, 0.994324, 0.001759, 1.309, 3085.
   9446.193189, 0.991005, 0.001695, 1.305, 3044.
   9446.195790, 0.991248, 0.001720, 1.301, 3025.
   9446.198393, 0.995791, 0.001726, 1.297, 2934.
   9446.200994, 0.994780, 0.001667, 1.293, 2798.
   9446.203595, 0.993049, 0.001660, 1.289, 2814.
   9446.206195, 0.992122, 0.001658, 1.285, 2774.
   9446.208933, 0.988560, 0.001640, 1.281, 2732.
   9446.211604, 0.994751, 0.001651, 1.277, 2730.
   9446.214216, 0.991390, 0.001651, 1.273, 2768.
   9446.216868, 0.991946, 0.001613, 1.269, 2575.
   9446.219470, 0.993138, 0.001625, 1.265, 2581.
   9446.222075, 0.990630, 0.001661, 1.261, 2537.
   9446.224676, 0.990315, 0.001722, 1.257, 2516.
   9446.227282, 0.985576, 0.001615, 1.254, 2487.
   9446.229903, 0.995525, 0.001650, 1.250, 2488.
   9446.232506, 0.989189, 0.001622, 1.246, 2468.
   9446.235112, 0.991174, 0.001681, 1.242, 2648.
   9446.237717, 0.986232, 0.001751, 1.239, 2773.
   9446.240326, 0.987329, 0.001721, 1.235, 2794.
