#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.00993466122291866,0.0024297525829596036,0.0023262621772902736,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,100.65768500420133,19.097759235763505,32.58844069486587,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0010675183140049069,0.00029737109886167335,0.0003211147008703129,derived
Inclination b; $i_\mathrm{b}$ (deg),89.81843955142884,0.09863601183828052,0.12146684735492386,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.31673445002406786,0.21872032928934954,0.27614894022868364,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),7.395121909567465,2.2632408734314273,1.9529672196302554,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.780213451040378,2.0486143572847526,1.5774707206992948,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),12.593918925157821,2.2915421864924124,3.669017393374885,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),12.593918925157821,2.2915421864924124,3.669017393374885,derived
Limb darkening; $u_\mathrm{1; TESS_1800s}$,0.2923531982992628,0.203594563833771,0.31452742493420444,derived
Limb darkening; $u_\mathrm{2; TESS_1800s}$,0.05130853861066519,0.22682408071013255,0.3359958840621508,derived
