#time,flux,flux_err
2.459446003436999861e+06,1.004709999999999992e+00,1.876000000000000063e-03
2.459446006039000116e+06,9.993400000000000061e-01,1.871999999999999966e-03
2.459446008642000146e+06,1.002089999999999925e+00,1.892999999999999934e-03
2.459446011241999920e+06,9.961649999999999672e-01,1.853999999999999962e-03
2.459446013842999935e+06,9.980170000000000430e-01,1.887999999999999921e-03
2.459446016443999950e+06,1.001341999999999954e+00,1.962999999999999901e-03
2.459446019044999965e+06,9.914250000000000007e-01,1.968000000000000131e-03
2.459446023808000144e+06,9.969740000000000268e-01,2.020000000000000094e-03
2.459446026411999948e+06,1.002261000000000069e+00,2.318999999999999881e-03
2.459446029014000203e+06,9.977899999999999547e-01,2.142999999999999940e-03
2.459446031618000008e+06,1.006409000000000109e+00,1.895999999999999899e-03
2.459446034219999798e+06,1.004656999999999911e+00,1.962999999999999901e-03
2.459446038834000006e+06,1.002029000000000059e+00,1.900999999999999912e-03
2.459446041437999811e+06,1.004348999999999936e+00,1.930999999999999991e-03
2.459446044040000066e+06,9.971309999999999896e-01,1.951000000000000043e-03
2.459446046639999840e+06,1.010699999999999932e+00,2.269999999999999882e-03
2.459446049242000096e+06,9.935760000000000147e-01,2.415000000000000046e-03
2.459446051847999915e+06,1.007868999999999904e+00,3.252999999999999815e-03
2.459446054448999930e+06,9.988690000000000069e-01,3.850000000000000124e-03
2.459446057084000204e+06,1.001970000000000027e+00,4.362999999999999691e-03
2.459446059683000203e+06,9.985000000000000542e-01,3.915000000000000077e-03
2.459446064954999834e+06,9.945739999999999581e-01,3.102000000000000157e-03
2.459446070383000188e+06,9.974410000000000220e-01,2.820000000000000024e-03
2.459446075836999808e+06,9.968489999999999851e-01,2.645000000000000216e-03
2.459446078621000051e+06,1.005948000000000064e+00,1.998000000000000210e-03
2.459446083825000096e+06,1.005914999999999893e+00,2.210999999999999858e-03
2.459446086463000160e+06,9.956120000000000525e-01,2.504000000000000149e-03
2.459446089066999964e+06,9.999900000000000455e-01,2.112000000000000162e-03
2.459446091669999994e+06,9.824500000000000455e-01,2.723999999999999859e-03
2.459446096876999829e+06,9.952389999999999848e-01,2.223000000000000149e-03
2.459446099504000042e+06,1.007346999999999992e+00,1.907999999999999974e-03
2.459446102105999831e+06,9.885789999999999855e-01,1.897999999999999948e-03
2.459446104708999861e+06,9.973009999999999931e-01,1.977000000000000025e-03
2.459446109910000116e+06,1.009487000000000023e+00,2.259000000000000157e-03
2.459446112532000057e+06,9.993170000000000108e-01,2.095000000000000074e-03
2.459446115133000072e+06,9.980560000000000542e-01,1.881000000000000076e-03
2.459446117744999938e+06,9.927099999999999813e-01,2.155999999999999930e-03
2.459446120347000193e+06,9.987679999999999891e-01,2.046000000000000076e-03
2.459446122950999998e+06,9.979379999999999917e-01,1.959999999999999937e-03
2.459446125552000012e+06,9.975730000000000430e-01,1.938999999999999968e-03
2.459446128153999802e+06,9.972910000000000386e-01,1.928000000000000026e-03
2.459446130754000042e+06,9.967169999999999641e-01,1.949999999999999910e-03
2.459446133357999846e+06,9.940959999999999797e-01,1.936999999999999920e-03
2.459446135958999861e+06,1.004054000000000002e+00,1.992999999999999980e-03
2.459446138561000116e+06,9.943300000000000471e-01,2.008999999999999935e-03
2.459446141160999890e+06,9.963250000000000162e-01,2.010000000000000068e-03
2.459446143763000146e+06,9.986410000000000009e-01,1.892999999999999934e-03
2.459446146362000145e+06,9.989360000000000461e-01,1.863999999999999988e-03
2.459446148963000160e+06,1.004293000000000102e+00,1.874000000000000015e-03
2.459446151564000174e+06,9.986159999999999481e-01,1.882999999999999908e-03
2.459446154165000189e+06,1.000915999999999917e+00,1.853000000000000046e-03
2.459446156766999979e+06,1.003568999999999933e+00,1.840999999999999972e-03
2.459446159367000218e+06,9.909139999999999615e-01,2.076999999999999853e-03
2.459446161971999798e+06,1.003239999999999910e+00,2.154999999999999798e-03
2.459446164572999813e+06,1.001849999999999907e+00,1.894999999999999983e-03
2.459446167177000083e+06,1.002849000000000101e+00,1.740999999999999926e-03
2.459446169778000098e+06,9.922020000000000284e-01,1.703000000000000087e-03
2.459446172381000128e+06,9.958780000000000410e-01,1.657999999999999969e-03
2.459446174984000158e+06,9.960350000000000037e-01,1.663999999999999898e-03
2.459446177583999932e+06,9.976450000000000040e-01,1.698999999999999989e-03
2.459446182785999961e+06,9.965779999999999639e-01,1.709000000000000016e-03
2.459446185386000201e+06,9.933659999999999712e-01,1.801999999999999999e-03
2.459446187985999975e+06,9.929289999999999505e-01,1.688999999999999963e-03
2.459446190586999990e+06,9.943239999999999856e-01,1.758999999999999930e-03
2.459446193188999780e+06,9.910050000000000248e-01,1.694999999999999892e-03
2.459446195789999794e+06,9.912480000000000180e-01,1.719999999999999958e-03
2.459446198392999824e+06,9.957909999999999817e-01,1.726000000000000104e-03
2.459446200993999839e+06,9.947799999999999976e-01,1.667000000000000079e-03
2.459446203594999854e+06,9.930489999999999595e-01,1.660000000000000017e-03
2.459446206195000093e+06,9.921219999999999484e-01,1.657999999999999969e-03
2.459446208932999987e+06,9.885599999999999943e-01,1.639999999999999965e-03
2.459446211604000069e+06,9.947510000000000518e-01,1.650999999999999907e-03
2.459446214215999935e+06,9.913899999999999935e-01,1.650999999999999907e-03
2.459446216868000105e+06,9.919459999999999944e-01,1.613000000000000067e-03
2.459446219469999894e+06,9.931379999999999653e-01,1.624999999999999925e-03
2.459446222074999940e+06,9.906300000000000106e-01,1.660999999999999933e-03
2.459446224675999954e+06,9.903149999999999453e-01,1.722000000000000006e-03
2.459446227281999774e+06,9.855760000000000076e-01,1.614999999999999899e-03
2.459446229902999941e+06,9.955249999999999932e-01,1.649999999999999991e-03
2.459446232505999971e+06,9.891889999999999850e-01,1.621999999999999961e-03
2.459446235111999791e+06,9.911739999999999995e-01,1.680999999999999986e-03
2.459446237716999836e+06,9.862319999999999975e-01,1.750999999999999952e-03
2.459446240325999912e+06,9.873290000000000122e-01,1.721000000000000090e-03
2.459446242932000197e+06,9.901990000000000514e-01,1.662999999999999982e-03
2.459446245536000002e+06,9.883319999999999883e-01,1.698000000000000074e-03
2.459446248137999792e+06,9.857099999999999751e-01,1.753000000000000001e-03
2.459446250740000047e+06,9.873180000000000289e-01,1.670999999999999959e-03
2.459446253339999821e+06,9.893720000000000292e-01,1.735999999999999913e-03
2.459446255942000076e+06,9.941299999999999581e-01,1.716000000000000077e-03
2.459446258543000091e+06,9.894680000000000142e-01,1.711999999999999980e-03
2.459446261146000121e+06,9.906220000000000026e-01,1.711999999999999980e-03
2.459446263749000151e+06,9.918420000000000014e-01,1.701999999999999954e-03
2.459446266348999925e+06,9.840170000000000305e-01,1.657999999999999969e-03
2.459446268949000165e+06,9.896249999999999769e-01,1.675999999999999972e-03
2.459446271550999954e+06,9.924049999999999816e-01,1.686999999999999915e-03
2.459446274153000209e+06,9.903849999999999598e-01,1.673000000000000008e-03
2.459446276752999984e+06,9.936760000000000037e-01,1.650999999999999907e-03
2.459446279353999998e+06,9.893800000000000372e-01,1.608000000000000054e-03
2.459446281955999788e+06,9.914880000000000360e-01,1.579000000000000108e-03
2.459446284556000028e+06,9.927209999999999646e-01,1.554000000000000043e-03
2.459446287157999817e+06,9.893809999999999549e-01,1.536999999999999955e-03
2.459446289758000057e+06,9.917150000000000132e-01,1.533000000000000074e-03
2.459446292359000072e+06,9.948019999999999641e-01,1.528999999999999977e-03
2.459446294960000087e+06,9.917110000000000092e-01,1.526000000000000013e-03
2.459446297561999876e+06,9.921959999999999669e-01,1.559000000000000056e-03
2.459446300164000131e+06,9.894960000000000422e-01,1.533000000000000074e-03
2.459446302763999905e+06,9.933089999999999975e-01,1.546000000000000065e-03
2.459446305368999951e+06,9.931130000000000235e-01,1.525000000000000097e-03
2.459446307973000221e+06,9.894450000000000189e-01,1.510999999999999973e-03
2.459446310572999995e+06,9.928690000000000015e-01,1.503999999999999912e-03
2.459446313174000010e+06,9.930350000000000010e-01,1.495000000000000018e-03
2.459446315775000025e+06,9.933959999999999457e-01,1.487999999999999956e-03
2.459446318378000055e+06,9.934129999999999905e-01,1.485999999999999908e-03
2.459446320977999829e+06,9.913809999999999567e-01,1.495999999999999934e-03
