#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.01040437142546895,0.00018905297554535835,0.00021101762879335677,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,96.11344684908993,1.910587689775511,1.778753467727384,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0009697228516485114,2.3749610617828103e-05,2.6137701600897683e-05,derived
Inclination b; $i_\mathrm{b}$ (deg),89.77085719752736,0.02922785800284089,0.028346525925954325,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.3845064055714519,0.04154499328640615,0.04078427687824304,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),7.522509773237058,0.047005571579889605,0.04805588449640297,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),6.035657738494639,0.047542234511697146,0.03876995276260509,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),1.963448365908282,0.11477102843890252,0.11102617430243367,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_R}$ (ppt),10.702105262958671,0.08734340643168181,0.07079101807716626,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_R}$ (ppt),10.702105262958671,0.08734340643168181,0.07079101807716626,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_B}$ (ppt),10.693170010614761,0.0819296998182395,0.07512367161244171,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_B}$ (ppt),10.693170010614761,0.0819296998182395,0.07512367161244171,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_Rc}$ (ppt),10.694016379096283,0.08159910344240906,0.07507278756802016,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_Rc}$ (ppt),10.694016379096283,0.08159910344240906,0.07507278756802016,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; CHAT_I}$ (ppt),14.121596589983243,0.7063581660111673,0.5294018042821822,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; CHAT_I}$ (ppt),14.121596589983243,0.7063581660111673,0.5294018042821822,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_R}$ (ppt),9.24687022192272,0.330709317479581,0.5632336783060197,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_R}$ (ppt),9.24687022192272,0.330709317479581,0.5632336783060197,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_I}$ (ppt),14.112040952080296,0.6520089184404156,0.454163924531791,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_I}$ (ppt),14.112040952080296,0.6520089184404156,0.454163924531791,derived
Limb darkening; $u_\mathrm{1; CHAT_I}$,1.8498594997052853,0.1408107587688694,0.0848436581660108,derived
Limb darkening; $u_\mathrm{2; CHAT_I}$,-0.8786973362748277,0.07246369067424796,0.12962934288088968,derived
Limb darkening; $u_\mathrm{1; OMES_R}$,0.049369874815297136,0.036562405835503166,0.07184246091692012,derived
Limb darkening; $u_\mathrm{2; OMES_R}$,0.25315798927516175,0.19821755418838344,0.3964189329938713,derived
Limb darkening; $u_\mathrm{1; OMES_I}$,1.8348667265553424,0.13531398196214428,0.08972127849043798,derived
Limb darkening; $u_\mathrm{2; OMES_I}$,-0.870174293625094,0.07446753984321153,0.12348331709465443,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),1.963448365908282,0.11477102843890252,0.11102617430243367,derived
