#time,flux,flux_err
2.458798627900000196e+06,1.005472423265830084e+00,8.447120885689999659e-04
2.458798629579999950e+06,1.000747277052334017e+00,8.409926958020000429e-04
2.458798631260000169e+06,1.000101750744351037e+00,8.426984739409999585e-04
2.458798632980000228e+06,1.001143572310529972e+00,8.432931694419999865e-04
2.458798634889999870e+06,1.001099793863089893e+00,8.433071155990000531e-04
2.458798636620000005e+06,9.998982587904180486e-01,8.307050475669999767e-04
2.458798638300000224e+06,9.995779883300579538e-01,8.258231456509999933e-04
2.458798640250000171e+06,9.988184422114000371e-01,8.240705246799999570e-04
2.458798641929999925e+06,9.996784176536039901e-01,8.383227785130000116e-04
2.458798643610000145e+06,9.979474318196199789e-01,8.354746321600000237e-04
2.458798645330000203e+06,1.002254055397949983e+00,8.152577790780000336e-04
2.458798647229999769e+06,9.965474472753299562e-01,8.358834810140000540e-04
2.458798648959999904e+06,1.001676670896910037e+00,8.075434027559999679e-04
2.458798650630000047e+06,1.001629876438459910e+00,8.094312309459999501e-04
2.458798652590000071e+06,9.986564213640599652e-01,8.377702701949999971e-04
2.458798654269999824e+06,1.001231726866500082e+00,7.889927043670000263e-04
2.458798655939999968e+06,1.002551432079419991e+00,8.131976855349999558e-04
2.458798657809999771e+06,1.002158697707250079e+00,8.116991132960000048e-04
2.458798659489999991e+06,9.996922675693480365e-01,8.218465435260000236e-04
2.458798661170000210e+06,1.002389396024129908e+00,8.224822638070000387e-04
2.458798663120000158e+06,9.985884569437899483e-01,8.194847746380000018e-04
2.458798664789999835e+06,9.992621416613289842e-01,8.179975255680000312e-04
2.458798666470000055e+06,1.002775816673409981e+00,8.069305665180000198e-04
2.458798668409999926e+06,1.000375707163950079e+00,8.075415744659999963e-04
2.458798670090000145e+06,1.001693633694600072e+00,8.195703814429999498e-04
2.458798671769999899e+06,1.001218306435559979e+00,7.992290806259999504e-04
2.458798673700000159e+06,1.000356741990644061e+00,8.066166606580000035e-04
2.458798675379999913e+06,1.001150821260309964e+00,8.052167988639999992e-04
2.458798677060000133e+06,1.000645637621536910e+00,8.064452838499999634e-04
2.458798678940000013e+06,1.002380913710319899e+00,8.082796796080000479e-04
2.458798680610000156e+06,1.002335106909929996e+00,8.047084980559999871e-04
2.458798682299999986e+06,1.004918898887350087e+00,8.065956332689999675e-04
2.458798684229999781e+06,1.001641298279100090e+00,8.028770866059999501e-04
2.458798685920000076e+06,9.993771726213359630e-01,8.022135596020000181e-04
2.458798687599999830e+06,1.001466740288289969e+00,8.042066800229999510e-04
2.458798689559999853e+06,1.003328327534819930e+00,8.061193558329999989e-04
2.458798691229999997e+06,1.001300511377259950e+00,8.056222944100000470e-04
2.458798692900000140e+06,1.001895946667110016e+00,8.037999027229999821e-04
2.458798694850000087e+06,1.001404003751259930e+00,8.045542572939999842e-04
2.458798696529999841e+06,1.002086445418330030e+00,8.043896996269999690e-04
2.458798698189999908e+06,1.002169775874280022e+00,7.881967909469999667e-04
2.458798699909999967e+06,1.001631910711950013e+00,7.884648449299999943e-04
2.458798701799999923e+06,9.997091919856649911e-01,7.828535939769999848e-04
2.458798703530000057e+06,1.002149845969110054e+00,8.016958760489999994e-04
2.458798705219999887e+06,1.001923454474110020e+00,8.064372996649999716e-04
2.458798707100000232e+06,1.000468551203806955e+00,7.720653149919999873e-04
2.458798708779999986e+06,1.000354555402960033e+00,7.990521983760000540e-04
2.458798710460000206e+06,1.001757774344580021e+00,7.849700641519999703e-04
2.458798712340000086e+06,9.982694237689300198e-01,7.882491695079999567e-04
2.458798714010000229e+06,1.002591546886079987e+00,7.695277446130000497e-04
2.458798715689999983e+06,1.003093937268900060e+00,7.859727263340000143e-04
2.458798717650000006e+06,1.003313135727939898e+00,7.748873000780000285e-04
2.458798719320000149e+06,1.002220084344410012e+00,7.767802131210000413e-04
2.458798720989999827e+06,1.003920254880990015e+00,7.706373792349999717e-04
2.458798722870000172e+06,1.002373847835329901e+00,7.601942137670000387e-04
2.458798724539999850e+06,1.002930048476569969e+00,7.705908875319999671e-04
2.458798726410000119e+06,1.004507049654910000e+00,7.730341425080000011e-04
2.458798728089999873e+06,1.002559658467129911e+00,7.719916665329999922e-04
2.458798729979999829e+06,1.004984954702009992e+00,7.741774682230000018e-04
2.458798731639999896e+06,1.006182877866020009e+00,7.714261963360000531e-04
2.458798733399999794e+06,1.006945210443979999e+00,7.499956833939999635e-04
2.458798735129999928e+06,1.009808030811260027e+00,7.842136700349999984e-04
2.458798736949999817e+06,1.009820026386849978e+00,7.908389038450000172e-04
2.458798738679999951e+06,1.010249343594399996e+00,7.663583218160000335e-04
2.458798740579999983e+06,1.007732168845159926e+00,7.851040420159999559e-04
2.458798742310000118e+06,1.009371576601489906e+00,7.742531534900000357e-04
2.458798744140000083e+06,1.010896638429999994e+00,7.763484970890000090e-04
2.458798745860000141e+06,1.010722098002500013e+00,7.798696420579999573e-04
2.458798747549999971e+06,1.013441396173800024e+00,7.677497873729999950e-04
2.458798749480000231e+06,1.012317611113100035e+00,7.847202460890000163e-04
2.458798751159999985e+06,1.013102068513400011e+00,7.873710677220000257e-04
2.458798753039999865e+06,1.012327622453200071e+00,7.839591366490000377e-04
2.458798754720000084e+06,1.013380925413299938e+00,7.720780174509999988e-04
2.458798756610000040e+06,1.014406422572700084e+00,7.595604852759999925e-04
2.458798758289999794e+06,1.013463093614400012e+00,7.691657376470000538e-04
2.458798760230000131e+06,1.011543870199600015e+00,7.548033779569999699e-04
2.458798761909999885e+06,1.015672443801399982e+00,7.590786011439999747e-04
2.458798763850000221e+06,1.013283411101900011e+00,7.631123189690000109e-04
2.458798765529999975e+06,1.013225563654299943e+00,7.682878914450000504e-04
2.458798767210000195e+06,1.014415026858300095e+00,7.546690955289999878e-04
2.458798769150000066e+06,1.014329150509899913e+00,7.553916949909999764e-04
2.458798770829999819e+06,1.013974628207100048e+00,7.570306935810000408e-04
2.458798772780000232e+06,1.011460159905199996e+00,7.834387093940000475e-04
2.458798774470000062e+06,1.013392551786000073e+00,7.564564903139999819e-04
2.458798776409999933e+06,1.013998468067800030e+00,7.679872217740000206e-04
2.458798778090000153e+06,1.015146668197699942e+00,7.382488124649999508e-04
2.458798780019999947e+06,1.014620335700100018e+00,7.578091717200000034e-04
2.458798781700000167e+06,1.015033961870499990e+00,7.719686832850000246e-04
2.458798783590000123e+06,1.015853585692299887e+00,7.627238191540000383e-04
2.458798785269999877e+06,1.012711140224799911e+00,7.520766931509999904e-04
2.458798786929999944e+06,1.014757438825300007e+00,7.672259463199999690e-04
2.458798788809999824e+06,1.015663933470200009e+00,7.505052810990000319e-04
2.458798790490000043e+06,1.014272033362100034e+00,7.481874094249999635e-04
2.458798792429999914e+06,1.017066923874299977e+00,7.491817957389999968e-04
2.458798794110000134e+06,1.013202314076200095e+00,7.161426575569999680e-04
2.458798796060000081e+06,1.016270862580400003e+00,7.458811239440000249e-04
2.458798797739999834e+06,1.014778506474699915e+00,7.483487158700000228e-04
2.458798800720000174e+06,1.014165574298800054e+00,7.406958944199999598e-04
2.458798802629999816e+06,1.016312939958200046e+00,7.388620811339999782e-04
2.458798804349999875e+06,1.016714673596099905e+00,7.490263944309999812e-04
2.458798806179999840e+06,1.016068695796999988e+00,7.533890986149999885e-04
2.458798808929999825e+06,1.016003771042800041e+00,7.541319513629999964e-04
2.458798810829999857e+06,1.015246977008400053e+00,7.341988786600000443e-04
2.458798812570000067e+06,1.015513376154900005e+00,7.489335457440000334e-04
2.458798814470000099e+06,1.015797388222599906e+00,7.559215569630000275e-04
2.458798816190000158e+06,1.015072777851000030e+00,7.378653017849999681e-04
2.458798818099999800e+06,1.018290186549799969e+00,7.242183171029999969e-04
2.458798819829999935e+06,1.014677025890099893e+00,7.381087788939999852e-04
2.458798821500000078e+06,1.014487943970499906e+00,7.387765971599999587e-04
2.458798823309999891e+06,1.016338943828799968e+00,7.605394382080000147e-04
2.458798824980000034e+06,1.016934920237900108e+00,7.409892154839999500e-04
2.458798826650000177e+06,1.018867152252799890e+00,7.407401666519999655e-04
