#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.011009058975629891,0.0007834545640073645,0.0008175055897219168,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,90.83428494784536,6.278876274791344,6.959445362654961,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0011125279823491364,9.773068044474469e-05,0.00010114336227592122,derived
Inclination b; $i_\mathrm{b}$ (deg),89.6300576718646,0.0750122923838461,0.0879619670464109,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.5865275638356683,0.10529698239354118,0.07168642159648797,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),7.127032685258458,0.1431067209149557,0.1696265721739474,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.204891745489301,0.21870055153109558,0.21794452392699526,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),1.7152847166089153,0.3307312235204405,0.42933481512277405,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),10.9809296861747,0.2378931547364349,0.2292308868114823,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),10.9809296861747,0.2378931547364349,0.2292308868114823,derived
Limb darkening; $u_\mathrm{1; TESS_1800s}$,0.4469613156823172,0.24943691749229843,0.2131224447206876,derived
Limb darkening; $u_\mathrm{2; TESS_1800s}$,-0.0203232265831779,0.23422860904023893,0.369518665993967,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),1.7152847166089153,0.3307312235204405,0.42933481512277405,derived
