#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.092,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.0154,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2459261.299853,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS_1800s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_1800s}}$,
host_ldc_q2_TESS_1800s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_1800s}}$,
host_ldc_q1_TESS_600s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_600s}}$,
host_ldc_q2_TESS_600s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_600s}}$,
host_ldc_q1_TESS_180s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_180s}}$,
host_ldc_q2_TESS_180s,0.0,(fixed),(fixed),$q_{2; \mathrm{TESS_180s}}$,
ln_err_flux_TESS_1800s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_600s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_180s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_TESS_1800s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,
baseline_offset_flux_TESS_600s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_600s)}$,
baseline_offset_flux_TESS_180s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_180s)}$,
b_ttv_transit_1,-0.014192185079743347,0.0032424869529697475,0.0034655383232163137,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,0.0007596383217987959,0.003499190189250233,0.006117966641902894,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,0.009651283200080463,0.0028792720484907344,0.0030603410390400224,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,0.04200453271420773,0.0033067348044096834,0.003355170910356739,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.03972751124042943,0.0005717088653690028,0.0005540188153562095,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.014884107901189297,0.0004184573540140721,0.00041385377176563626,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.024190713663392843,0.00034597404532587736,0.0003470743145797747,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.021158095677880146,0.0009478640268940595,0.0009136034130398894,TTV$_\mathrm{b;8}$,d
