#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09966504322433017,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.012592188259948553,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0073685180431900645,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2261.323,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS,0.32427969613947893,0.06265268327025464,0.0736101732048004,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.5887116545995181,0.23167660958145736,0.22196750611040938,$q_{2; \mathrm{TESS}}$,
ln_err_flux_TESS,-4.7897170470859995,0.011658358318347162,0.01115496640376179,$\log{\sigma_\mathrm{TESS}}$,log (rel. flux)
baseline_offset_flux_TESS,-0.0018608145827953412,0.00011380537160516572,0.00011826884117124435,$\mathrm{offset (TESS)}$,rel. flux
b_ttv_transit_1,-0.0022071007699024717,0.027233185565058993,0.02938560264781962,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.0013211799569888445,0.027356561710125297,0.029392415332829564,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-6.049390143651051e-06,0.027980252549574678,0.027760242465532787,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,-0.0005408188729564001,0.027985809629947418,0.028227241487684282,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.0022768617647133116,0.029383185236017646,0.02701270491192033,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,-0.0008729144923727145,0.028185642041761935,0.028631981953046306,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.0008316511787114095,0.028712200381605827,0.02722208772923268,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.0008370556597304922,0.027350387184816208,0.028723938605868554,TTV$_\mathrm{b;8}$,d
