#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09966504322433017,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.012592188259948553,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0073685180431900645,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2261.323,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS,0.3220432952002249,0.06748529338955456,0.07093298619628852,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.16209948518929665,0.11368321048190072,0.18816872451780656,$q_{2; \mathrm{TESS}}$,
ln_err_flux_TESS,-4.847446100836152,0.011116955886515179,0.010998742549036322,$\log{\sigma_\mathrm{TESS}}$,log (rel. flux)
baseline_offset_flux_TESS,-0.0003769664329161121,0.06784507099393315,0.06829963090540765,$\mathrm{offset (TESS)}$,rel. flux
b_ttv_transit_1,-0.02673338777162099,0.002712926962874271,0.0026620381037567864,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.009301565381729177,0.002426756379420537,0.0024308778027906687,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.009255014669016817,0.0024390064833113116,0.0026744420940407014,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,0.0015945973664929051,0.0021437508508864926,0.0021924305322044255,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.005317697303218474,0.0017411125341076895,0.001749841508579996,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.0037122551272228965,0.0013565032380277592,0.0013804948646087799,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.010563480809957889,0.0014436700660361117,0.0014143708503045853,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.03382439253360727,0.0033731394204924263,0.003401121243097237,TTV$_\mathrm{b;8}$,d
