#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09966504322433017,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.012592188259948553,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0073685180431900645,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2261.323,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS,0.3146346591745239,0.06439149810431649,0.07039525404620728,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.06458806607018543,0.04748276725387435,0.095206074192717,$q_{2; \mathrm{TESS}}$,
ln_err_flux_TESS,-4.843767388475401,0.006471980644427333,0.006399864826972745,$\log{\sigma_\mathrm{TESS}}$,log (rel. flux)
baseline_offset_flux_TESS,-0.002342876042442349,0.06717800537359818,0.06911287726212378,$\mathrm{offset (TESS)}$,rel. flux
b_ttv_transit_1,-0.026441921771870994,0.002521443424088051,0.002517183223568354,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.009312590928958905,0.002451284509683781,0.002401661262994667,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.009449864066857834,0.0022738875822610194,0.0025995544983752686,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,0.0013118427269933758,0.002278037489431693,0.002156022352942459,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.005261683408038363,0.0017760368812029946,0.0017961200639206552,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.003689897151947355,0.0013503448458672541,0.0013683118626867108,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.010609844984853713,0.0014021781941739447,0.001387690236837047,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.033888640119667995,0.0031799759397780347,0.0031699126892822393,TTV$_\mathrm{b;8}$,d
