#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.00903815952806945,7.715909357606035e-05,0.00019917419239094507,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,110.64199485463163,2.3856483522818905,0.9526878273065478,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0008482003940693295,9.168180064447447e-06,2.340282733835706e-05,derived
Inclination b; $i_\mathrm{b}$ (deg),89.93539263450201,0.06348908291836608,0.044231191126684166,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.1248890888579289,0.08525049151464845,0.11721504850219075,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),6.940221537436364,0.032572591201510015,0.03889385619995789,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.720811087394049,0.03537345284431748,0.02938785277828959,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),2.9950747997481053,0.18959090887084695,0.07803576496957687,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),11.017273344498534,0.08720033375519876,0.09430388151676716,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),11.017273344498534,0.08720033375519876,0.09430388151676716,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_600s}$ (ppt),10.976121400531834,0.08983076800217304,0.0838314206436106,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_600s}$ (ppt),10.976121400531834,0.08983076800217304,0.0838314206436106,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_180s}$ (ppt),9.57573229456765,0.09456226007364776,0.10940656977864904,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_180s}$ (ppt),9.57573229456765,0.09456226007364776,0.10940656977864904,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),2.9950747997481053,0.18959090887084695,0.07803576496957687,derived
