#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.009510597427203603,0.0003898422722030427,0.0006039212482491611,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,105.14586572094198,6.278086433833579,4.494178661977159,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0008980799322261838,4.942900326778451e-05,7.744396622413256e-05,derived
Inclination b; $i_\mathrm{b}$ (deg),89.82421877590401,0.0892307939411694,0.0947149918567618,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.3224165909835214,0.16750336444717362,0.13484354071757382,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),7.030432700352422,0.06193145828507163,0.0934239647811772,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.685978990890776,0.11998349554574261,0.07065153540653668,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),2.5705389181729754,0.4334975829683141,0.34390068699645315,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),11.17162385585624,0.08384489885837709,0.07950880240825597,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),11.17162385585624,0.08384489885837709,0.07950880240825597,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_600s}$ (ppt),11.203945260488402,0.08629440240126662,0.07908813386725555,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_600s}$ (ppt),11.203945260488402,0.08629440240126662,0.07908813386725555,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_180s}$ (ppt),10.067388282365751,0.2729740541799188,0.35749123226991486,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_180s}$ (ppt),10.067388282365751,0.2729740541799188,0.35749123226991486,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_R}$ (ppt),11.16836882069283,0.0792583135840168,0.08780379420181461,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_R}$ (ppt),11.16836882069283,0.0792583135840168,0.08780379420181461,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_B}$ (ppt),11.16333851253415,0.07603663784083814,0.08053215613312759,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_B}$ (ppt),11.16333851253415,0.07603663784083814,0.08053215613312759,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_Rc}$ (ppt),11.168799397091478,0.0818309526168246,0.07802205530060924,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_Rc}$ (ppt),11.168799397091478,0.0818309526168246,0.07802205530060924,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; CHAT_I}$ (ppt),11.16836882069283,0.08071338044124232,0.07790852410405336,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; CHAT_I}$ (ppt),11.16836882069283,0.08071338044124232,0.07790852410405336,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_R}$ (ppt),11.164419245346725,0.08196093877710453,0.08426440088404874,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_R}$ (ppt),11.164419245346725,0.08196093877710453,0.08426440088404874,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_I}$ (ppt),11.169297275877788,0.08517930187201905,0.08061467806741263,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_I}$ (ppt),11.169297275877788,0.08517930187201905,0.08061467806741263,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),2.5705389181729754,0.4334975829683141,0.34390068699645315,derived
