#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09442365324972578,0.001376794913050955,0.002018011577954837,$R_b / R_\star$,
b_rsuma,0.010408551840351887,0.00043824483270675507,0.0006769276948321197,$(R_\star + R_b) / a_b$,
b_cosi,0.003067956310857739,0.0016435417993147343,0.0015511912536519965,$\cos{i_b}$,
b_epoch,2459261.331939757,0.000498396810144186,0.0004733907990157604,$T_{0;b}$,BJD
b_period,92.49164551613198,0.00011465961271994729,0.00010705208468664296,$P_b$,days
host_ldc_q1_TESS_1800s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_1800s}}$,
host_ldc_q2_TESS_1800s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_1800s}}$,
host_ldc_q1_TESS_600s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_600s}}$,
host_ldc_q2_TESS_600s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_600s}}$,
host_ldc_q1_TESS_180s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_180s}}$,
host_ldc_q2_TESS_180s,0.0,(fixed),(fixed),$q_{2; \mathrm{TESS_180s}}$,
host_ldc_q1_ASTEP_R,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_R}}$,
host_ldc_q2_ASTEP_R,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_R}}$,
host_ldc_q1_ASTEP_B,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_B}}$,
host_ldc_q2_ASTEP_B,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_B}}$,
host_ldc_q1_ASTEP_Rc,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_Rc}}$,
host_ldc_q2_ASTEP_Rc,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_Rc}}$,
host_ldc_q1_CHAT_I,0.5,(fixed),(fixed),$q_{1; \mathrm{CHAT_I}}$,
host_ldc_q2_CHAT_I,0.5,(fixed),(fixed),$q_{2; \mathrm{CHAT_I}}$,
host_ldc_q1_OMES_R,0.5,(fixed),(fixed),$q_{1; \mathrm{OMES_R}}$,
host_ldc_q2_OMES_R,0.5,(fixed),(fixed),$q_{2; \mathrm{OMES_R}}$,
host_ldc_q1_OMES_I,0.5,(fixed),(fixed),$q_{1; \mathrm{OMES_I}}$,
host_ldc_q2_OMES_I,0.5,(fixed),(fixed),$q_{2; \mathrm{OMES_I}}$,
ln_err_flux_TESS_1800s,-6.824369297318102,0.046226381459073096,0.04855288690519188,$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_600s,-5.157650400931954,0.0063010258644364825,0.006150020413659973,$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_180s,-5.693176890293172,0.0246406998877573,0.025608348453794783,$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_R,-5.531721694465959,0.02881614849924663,0.02792970866210176,$\log{\sigma_\mathrm{ASTEP_R}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_B,-5.53101270722426,0.03095802695174843,0.030649077249229606,$\log{\sigma_\mathrm{ASTEP_B}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_Rc,-5.705398929040046,0.05083304291256763,0.05021803853452145,$\log{\sigma_\mathrm{ASTEP_Rc}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_CHAT_I,-5.977362477481459,0.06524074760618692,0.06581413163675442,$\log{\sigma_\mathrm{CHAT_I}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_OMES_R,-5.004727786370702,0.00649808486141179,0.00349513591201589,$\log{\sigma_\mathrm{OMES_R}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_OMES_I,-5.606423144377107,0.04850420895198937,0.0512070264222384,$\log{\sigma_\mathrm{OMES_I}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_TESS_1800s,-3.690546505065147e-05,0.001995182811753003,0.002059525367812442,$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,
baseline_offset_flux_TESS_600s,2.644497459939124e-06,0.0019342591568317603,0.001984496647692008,$\mathrm{gp: \log{\sigma} (TESS_600s)}$,
baseline_offset_flux_TESS_180s,6.805957738975589e-05,0.001997915530562446,0.0019379196547384988,$\mathrm{gp: \log{\sigma} (TESS_180s)}$,
baseline_offset_flux_ASTEP_R,0.00024072525209773484,0.002060411195835331,0.0018822888404496007,$\mathrm{gp: \log{\sigma} (ASTEP_R)}$,
baseline_offset_flux_ASTEP_B,-0.0001535004689311296,0.0019373597292604598,0.0021155711420812293,$\mathrm{gp: \log{\sigma} (ASTEP_B)}$,
baseline_offset_flux_ASTEP_Rc,0.00028653665884988133,0.0021430002239381097,0.0017881485958881702,$\mathrm{gp: \log{\sigma} (ASTEP_Rc)}$,
baseline_offset_flux_CHAT_I,2.3399703287536183e-05,0.001995495051396979,0.001965269860161392,$\mathrm{gp: \log{\sigma} (CHAT_I)}$,
baseline_offset_flux_OMES_R,-5.7002125381925336e-05,0.0019427535034637626,0.0019502232697952639,$\mathrm{gp: \log{\sigma} (OMES_R)}$,
baseline_offset_flux_OMES_I,-5.667836950976209e-05,0.0019549935360779905,0.002010131475624671,$\mathrm{gp: \log{\sigma} (OMES_I)}$,
