#name,value,fit,bounds,label,unit,truth
#companion b astrophysical params,,,,,,
b_rr,0.009510597427203603,1,uniform 0.0090 0.0100,$R_b / R_\star$,,0.092
b_rsuma,0.0154,1,uniform 0.001 0.04,$(R_\star + R_b) / a_b$,,0.0154
b_cosi,0,1,uniform 0.0 0.4,$\cos{i_b}$,,0.01745
#b_epoch,2458336.410853,0,uniform 2458334.0 2458338.0,$T_{0;b}$,BJD,
b_epoch,2459446.318165131,0,uniform 2459445.0 2459447.0,$T_{0;b}$,BJD,
#b_epoch,2459446.41,1,uniform 2459445.0 2459447.0,$T_{0;b}$,BJD,
b_period,92.492276010932,0,uniform 91.0 94.0,$P_b$,days,92.492276010932
#limb darkening coefficients per instrument,,,,,,
host_ldc_q1_TESS_1800s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_1800s}}$,,0.64
host_ldc_q2_TESS_1800s,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_1800s}}$,,0.38
host_ldc_q1_TESS_600s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_600s}}$,,0.64
host_ldc_q2_TESS_600s,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_600s}}$,,0.38
host_ldc_q1_TESS_180s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_180s}}$,,0.64
host_ldc_q2_TESS_180s,0.0,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_180s}}$,,0.38
host_ldc_q1_ASTEP_R,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_R}}$,,0.64
host_ldc_q2_ASTEP_R,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_R}}$,,0.38
host_ldc_q1_ASTEP_B,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_B}}$,,0.64
host_ldc_q2_ASTEP_B,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_B}}$,,0.38
host_ldc_q1_ASTEP_Rc,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_Rc}}$,,0.64
host_ldc_q2_ASTEP_Rc,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_Rc}}$,,0.38
host_ldc_q1_CHAT_I,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{CHAT_I}}$,,0.64
host_ldc_q2_CHAT_I,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{CHAT_I}}$,,0.38
host_ldc_q1_OMES_R,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{OMES_R}}$,,0.64
host_ldc_q2_OMES_R,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{OMES_R}}$,,0.38
host_ldc_q1_OMES_I,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{OMES_I}}$,,0.64
host_ldc_q2_OMES_I,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{OMES_I}}$,,0.38
#errors per instrument,,,,,,
ln_err_flux_TESS_1800s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_TESS_600s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_TESS_180s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_ASTEP_R,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_R}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_ASTEP_B,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_B}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_ASTEP_Rc,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_Rc}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_CHAT_I,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{CHAT_I}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_OMES_R,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{OMES_R}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_OMES_I,-7,1,uniform -8 -5,$\log{\sigma_\mathrm{OMES_I}}$,$\log{ \mathrm{rel. flux.} }$,
#baseline per instrument,,,,,,
baseline_offset_flux_TESS_1800s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,,
baseline_offset_flux_TESS_600s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_600s)}$,,
baseline_offset_flux_TESS_180s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_180s)}$,,
baseline_offset_flux_ASTEP_R,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_R)}$,,
baseline_offset_flux_ASTEP_B,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_B)}$,,
baseline_offset_flux_ASTEP_Rc,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_Rc)}$,,
baseline_offset_flux_CHAT_I,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (CHAT_I)}$,,
baseline_offset_flux_OMES_R,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (OMES_R)}$,,
baseline_offset_flux_OMES_I,0,1,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (OMES_I)}$,,
#TTV companion b
b_ttv_transit_1,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;1}$,d,
b_ttv_transit_2,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;2}$,d,
b_ttv_transit_3,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;3}$,d,
b_ttv_transit_4,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;4}$,d,
b_ttv_transit_5,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;5}$,d,
b_ttv_transit_6,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;6}$,d,
b_ttv_transit_7,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;7}$,d,
b_ttv_transit_8,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;8}$,d,
b_ttv_transit_9,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;9}$,d,
b_ttv_transit_10,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;10}$,d,
b_ttv_transit_11,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;11}$,d,
b_ttv_transit_12,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;12}$,d,
