#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.10075736559478674,0.0022829567471076007,0.0019158330859617018,$R_b / R_\star$,
b_rsuma,0.012173550169211093,0.0008624084783684077,0.0008574551118486849,$(R_\star + R_b) / a_b$,
b_cosi,0.006522252744280606,0.0014667756912179449,0.00123233462857965,$\cos{i_b}$,
b_epoch,2459260.2488276325,0.24615673394873738,0.2519791331142187,$T_{0;b}$,BJD
b_period,91.41182831297691,0.24832689296319188,0.2533885250690133,$P_b$,days
host_ldc_q1_TESS_1800s,0.4857384546530352,0.26864416753620124,0.27451605482866515,$q_{1; \mathrm{TESS_1800s}}$,
host_ldc_q2_TESS_1800s,0.5830216912385321,0.324749990301019,0.2743881456296231,$q_{2; \mathrm{TESS_1800s}}$,
host_ldc_q1_TESS_600s,0.2717627630265623,0.11700195755379436,0.19575710616293263,$q_{1; \mathrm{TESS_600s}}$,
host_ldc_q2_TESS_600s,0.39614224936947684,0.22683537649841012,0.27409932523115954,$q_{2; \mathrm{TESS_600s}}$,
host_ldc_q1_TESS_180s,0.3722001129771175,0.22283924685477904,0.27088599012632575,$q_{1; \mathrm{TESS_180s}}$,
host_ldc_q2_TESS_180s,0.5861396130437183,0.293105165602535,0.2500574889472208,$q_{2; \mathrm{TESS_180s}}$,
host_ldc_q1_ASTEP_R,0.41787066874477835,0.23488669985862498,0.2673253490803423,$q_{1; \mathrm{ASTEP_R}}$,
host_ldc_q2_ASTEP_R,0.24875184426717814,0.16567979943581468,0.21657757742261016,$q_{2; \mathrm{ASTEP_R}}$,
host_ldc_q1_ASTEP_B,0.5123735419298961,0.30471908255342495,0.2957142761519337,$q_{1; \mathrm{ASTEP_B}}$,
host_ldc_q2_ASTEP_B,0.33667364932046817,0.2105957154970659,0.2581374184276053,$q_{2; \mathrm{ASTEP_B}}$,
host_ldc_q1_ASTEP_Rc,0.42080233435140657,0.2550281467140409,0.2766492890429253,$q_{1; \mathrm{ASTEP_Rc}}$,
host_ldc_q2_ASTEP_Rc,0.31932269296453597,0.2005784292642388,0.22157498506856577,$q_{2; \mathrm{ASTEP_Rc}}$,
