#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.009309815586688912,0.0001420162522760126,0.0002757021277681095,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,107.41351326333367,3.0894663219999643,1.6639178107005677,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0009045753171516587,2.0067212861712763e-05,3.582593553501845e-05,derived
Inclination b; $i_\mathrm{b}$ (deg),89.83110052503419,0.04846441819083225,0.031614313279874295,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.31676564402827434,0.05593470339870538,0.07941694515141295,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),6.914066328292757,0.05053730804733103,0.062207879345608674,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.554626012646723,0.09167893625476875,0.07694570879834206,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),2.740461698786764,0.2297339742361224,0.1293440694649468,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS}$ (ppt),10.991180306444193,0.21842928524728933,0.19837689424195837,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS}$ (ppt),10.991180306444193,0.21842928524728933,0.19837689424195837,derived
Limb darkening; $u_\mathrm{1; TESS}$,0.5146982500046546,0.15378295232447475,0.12137498707537997,derived
Limb darkening; $u_\mathrm{2; TESS}$,-0.03308312929259596,0.20951268138667048,0.2892990861783087,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),2.740461698786764,0.2297339742361224,0.1293440694649468,derived
