#time,flux,flux_err
798.62790,9.945275767341699158e-01,8.447120885689998575e-04
798.62958,9.992527229476658723e-01,8.409926958020000429e-04
798.63126,9.998982492556488522e-01,8.426984739409998501e-04
798.63298,9.988564276894700278e-01,8.432931694419999865e-04
798.63489,9.989002061369102181e-01,8.433071155990000531e-04
798.63662,1.000101741209582062e+00,8.307050475669998683e-04
798.63830,1.000422011669942046e+00,8.258231456509999933e-04
798.64025,1.001181557788600074e+00,8.240705246799998485e-04
798.64193,1.000321582346396010e+00,8.383227785130000116e-04
798.64361,1.002052568180380021e+00,8.354746321600000237e-04
798.64533,9.977459446020499056e-01,8.152577790780000336e-04
798.64723,1.003452552724670044e+00,8.358834810140000540e-04
798.64896,9.983233291030899625e-01,8.075434027559998595e-04
798.65063,9.983701235615399794e-01,8.094312309459998417e-04
798.65259,1.001343578635939924e+00,8.377702701949999971e-04
798.65427,9.987682731335000286e-01,7.889927043670000263e-04
798.65594,9.974485679205800093e-01,8.131976855349998473e-04
798.65781,9.978413022927500320e-01,8.116991132960000048e-04
798.65949,1.000307732430651964e+00,8.218465435260000236e-04
798.66117,9.976106039758700916e-01,8.224822638070000387e-04
798.66312,1.001411543056210052e+00,8.194847746380000018e-04
798.66479,1.000737858338671016e+00,8.179975255680000312e-04
798.66647,9.972241833265901301e-01,8.069305665180000198e-04
798.66841,9.996242928360499214e-01,8.075415744659999963e-04
798.67009,9.983063663054000392e-01,8.195703814429998414e-04
798.67177,9.987816935644400207e-01,7.992290806259998420e-04
798.67370,9.996432580093560505e-01,8.066166606580000035e-04
798.67538,9.988491787396899246e-01,8.052167988639999992e-04
798.67706,9.993543623784627572e-01,8.064452838499998550e-04
798.67894,9.976190862896802125e-01,8.082796796080000479e-04
798.68061,9.976648930900701151e-01,8.047084980559999871e-04
798.68230,9.950811011126499128e-01,8.065956332689998591e-04
798.68423,9.983587017209000214e-01,8.028770866059998417e-04
798.68592,1.000622827378663926e+00,8.022135596020000181e-04
798.68760,9.985332597117100306e-01,8.042066800229998426e-04
798.68956,9.966716724651799586e-01,8.061193558329999989e-04
798.69123,9.986994886227400503e-01,8.056222944100000470e-04
798.69290,9.981040533328898734e-01,8.037999027229999821e-04
798.69485,9.985959962487399588e-01,8.045542572939999842e-04
798.69653,9.979135545816700814e-01,8.043896996269998606e-04
798.69819,9.978302241257199778e-01,7.881967909469998583e-04
798.69991,9.983680892880498758e-01,7.884648449299999943e-04
798.70180,1.000290808014334898e+00,7.828535939769999848e-04
798.70353,9.978501540308899465e-01,8.016958760489999994e-04
798.70522,9.980765455258898688e-01,8.064372996649998631e-04
798.70710,9.995314487961929339e-01,7.720653149919999873e-04
798.70878,9.996454445970399671e-01,7.990521983760000540e-04
798.71046,9.982422256554199791e-01,7.849700641519998618e-04
798.71234,1.001730576231069980e+00,7.882491695079998483e-04
798.71401,9.974084531139200127e-01,7.695277446130000497e-04
798.71569,9.969060627311000511e-01,7.859727263340000143e-04
798.71765,9.966868642720602134e-01,7.748873000780000285e-04
798.71932,9.977799156555900995e-01,7.767802131210000413e-04
798.72099,9.960797451190098739e-01,7.706373792349998633e-04
798.72287,9.976261521646700992e-01,7.601942137670000387e-04
798.72454,9.970699515234300314e-01,7.705908875319998587e-04
798.72641,9.954929503450901107e-01,7.730341425080000011e-04
798.72809,9.974403415328700895e-01,7.719916665329999922e-04
798.72998,9.950150452979901194e-01,7.741774682230000018e-04
798.73164,9.938171221339802131e-01,7.714261963360000531e-04
798.73340,9.930547895560200011e-01,7.499956833939998551e-04
798.73513,9.901919691887399733e-01,7.842136700349999984e-04
798.73695,9.901799736131501328e-01,7.908389038450000172e-04
798.73868,9.897506564056000045e-01,7.663583218160000335e-04
798.74058,9.922678311548399632e-01,7.851040420159998475e-04
798.74231,9.906284233985100940e-01,7.742531534900000357e-04
798.74414,9.891033615700000059e-01,7.763484970890000090e-04
798.74586,9.892779019975002086e-01,7.798696420579998489e-04
798.74755,9.865586038261999757e-01,7.677497873729999950e-04
798.74948,9.876823888868999646e-01,7.847202460890000163e-04
798.75116,9.868979314865999886e-01,7.873710677220000257e-04
798.75304,9.876723775468000399e-01,7.839591366490000377e-04
798.75472,9.866190745866999512e-01,7.720780174509999988e-04
798.75661,9.855935774273000272e-01,7.595604852759999925e-04
798.75829,9.865369063855999876e-01,7.691657376470000538e-04
798.76023,9.884561298003999852e-01,7.548033779569998615e-04
798.76191,9.843275561986000177e-01,7.590786011439998662e-04
798.76385,9.867165888981002109e-01,7.631123189690000109e-04
798.76553,9.867744363456999457e-01,7.682878914450000504e-04
798.76721,9.855849731417000159e-01,7.546690955289999878e-04
798.76915,9.856708494900999762e-01,7.553916949909998679e-04
798.77083,9.860253717928999517e-01,7.570306935810000408e-04
798.77278,9.885398400948000042e-01,7.834387093940000475e-04
798.77447,9.866074482140000379e-01,7.564564903139999819e-04
798.77641,9.860015319321999705e-01,7.679872217740000206e-04
798.77809,9.848533318022999472e-01,7.382488124649998424e-04
798.78002,9.853796642999002042e-01,7.578091717200000034e-04
798.78170,9.849660381295000100e-01,7.719686832850000246e-04
798.78359,9.841464143077000015e-01,7.627238191540000383e-04
798.78527,9.872888597751999784e-01,7.520766931509999904e-04
798.78693,9.852425611747002154e-01,7.672259463199998606e-04
798.78881,9.843360665298002132e-01,7.505052810990000319e-04
798.79049,9.857279666378999661e-01,7.481874094249998551e-04
798.79243,9.829330761257000226e-01,7.491817957389999968e-04
798.79411,9.867976859238000165e-01,7.161426575569999680e-04
798.79606,9.837291374196001081e-01,7.458811239440000249e-04
798.79774,9.852214935252999739e-01,7.483487158700000228e-04
798.80072,9.858344257011999456e-01,7.406958944199998514e-04
798.80263,9.836870600417999544e-01,7.388620811339998698e-04
798.80435,9.832853264039002061e-01,7.490263944309999812e-04
798.80618,9.839313042030000123e-01,7.533890986149999885e-04
798.80893,9.839962289571999587e-01,7.541319513629999964e-04
798.81083,9.847530229915999467e-01,7.341988786600000443e-04
798.81257,9.844866238451001061e-01,7.489335457440000334e-04
798.81447,9.842026117773999827e-01,7.559215569630000275e-04
798.81619,9.849272221489999701e-01,7.378653017849998597e-04
798.81810,9.817098134502000306e-01,7.242183171029999969e-04
798.81983,9.853229741099001071e-01,7.381087788939999852e-04
798.82150,9.855120560295002052e-01,7.387765971599998503e-04
798.82331,9.836610561712000322e-01,7.605394382080000147e-04
798.82498,9.830650797621000025e-01,7.409892154839998416e-04
798.82665,9.811328477472001097e-01,7.407401666519998571e-04
