#time,flux,flux_err
1538.55895,1.001377913826518640e+00,4.233390818789600427e-03
1538.55940,9.930760069232205112e-01,4.154417879564100032e-03
1538.55984,9.917068112870849328e-01,4.160216675638499575e-03
1538.56028,1.004603537779206412e+00,4.188302133318299626e-03
1538.56072,1.000485873874101594e+00,4.201353579625100206e-03
1538.56116,9.903402891366067662e-01,4.132753825962599825e-03
1538.56160,9.943355961862131442e-01,4.114870994244799844e-03
1538.56204,9.995141261258984056e-01,4.169809934324000128e-03
1538.56248,1.003932015176980830e+00,4.195485150188999791e-03
1538.56292,1.003048132544657634e+00,4.146958595786400317e-03
1538.56335,1.006755251231973958e+00,4.124787411147400398e-03
1538.56379,1.000471280055060808e+00,4.127301249764199660e-03
1538.56423,9.906161152144601356e-01,4.233326913973299750e-03
1538.56467,1.007941504651820308e+00,4.147876942664100418e-03
1538.56511,9.909095812624312272e-01,4.157271438686999630e-03
1538.56557,9.923490284309878229e-01,4.214427844151399580e-03
1538.56601,9.948410466065187308e-01,4.055036192181600205e-03
1538.56645,9.964242083204435385e-01,4.123862226657499901e-03
1538.56688,1.000832660731427959e+00,4.099986734364900395e-03
1538.56732,9.946857469065529811e-01,4.063245064895900337e-03
1538.56776,9.946870554882015769e-01,4.105442633183099647e-03
1538.56819,9.921494402036074023e-01,4.079645613887499661e-03
1538.56863,9.937113959376401295e-01,4.080729305410400048e-03
1538.56907,9.835823295674115396e-01,4.023532814277800372e-03
1538.56951,9.967709604397327894e-01,4.117308543451400280e-03
1538.56995,9.995085520038031746e-01,4.080148671897899752e-03
1538.57039,1.001623595523396304e+00,4.055083321489500077e-03
1538.57083,9.943943891799233992e-01,4.024450158330500349e-03
1538.57127,9.928222516184384006e-01,4.094428704239300339e-03
1538.57171,9.950281989661784454e-01,4.100351108694300431e-03
1538.57214,9.983496804968099436e-01,3.992767045893900156e-03
1538.57258,9.955116215686652392e-01,4.062189852000799677e-03
1538.57302,9.979614218458821018e-01,4.107442669815500151e-03
1538.57346,9.928723719380816437e-01,4.012122968746099742e-03
1538.57390,9.946840506871235110e-01,3.960876978793799810e-03
1538.57434,9.943547770985280421e-01,4.096435622716499726e-03
1538.57478,1.000924719349232772e+00,3.990603554419200338e-03
1538.57522,9.985331901610480232e-01,3.992216999913100056e-03
1538.57566,9.902315696978892801e-01,3.986871983162200428e-03
1538.57610,9.947292207467937075e-01,3.959933224253400254e-03
1538.57653,1.000776034228985534e+00,4.009011990976699830e-03
1538.57697,1.005546390264715706e+00,3.969658569173899892e-03
1538.57741,9.997563536800466721e-01,4.103089674966599841e-03
1538.57785,9.951609773202563236e-01,4.049415887384199761e-03
1538.57829,9.987147645024175846e-01,3.916637218143500382e-03
1538.57873,1.003547520358260225e+00,4.011986363272599873e-03
1538.57917,9.898677588539827044e-01,4.004037901418400214e-03
1538.57960,9.918873862762112026e-01,3.926010903168899654e-03
1538.58004,9.928645729707111789e-01,3.948265663721199810e-03
1538.58048,9.951168995978834086e-01,3.910088235583199581e-03
1538.58091,9.935705194611159641e-01,3.903816423694200007e-03
1538.58135,1.002907884137319128e+00,3.995925548361900156e-03
1538.58179,1.001415272915598509e+00,4.040072080271999572e-03
1538.58223,1.005927542046013201e+00,4.038868378545300286e-03
1538.58267,1.001631215213725223e+00,3.924905800020600348e-03
1538.58311,9.987401392809167611e-01,3.936792125946099626e-03
1538.58355,9.961759349324658119e-01,3.980678973670199669e-03
1538.58399,9.972608082195453250e-01,3.884238040313699788e-03
1538.58443,9.898761939568189172e-01,3.950063683092800391e-03
1538.58487,1.001957563026245168e+00,3.985038694138700287e-03
