#name,value,fit,bounds,label,unit,truth
#companion b astrophysical params,,,,,,
b_rr,0.09328632398530333,0,uniform 0.02 0.0.16,$R_b / R_\star$,,0.09328632398530333
b_rsuma,0.009944756157219625,0,uniform 0.002 0.05,$(R_\star + R_b) / a_b$,,0.009944756157219625
b_cosi,0.0013492719384718581,0,uniform 0.0 0.1,$\cos{i_b}$,,0.0013492719384718581
b_epoch,2459261.331757554,1,uniform 2459260.0 2459262.0,$T_{0;b}$,BJD,2459261.331757554
b_period,92.49159669417968,0,uniform 91.0 94.0,$P_b$,days,92.49159669417968
#limb darkening coefficients per instrument,,,,,,
host_ldc_q1_TESS_1800s,0.6665910399495663,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_1800s}}$,,0.6665910399495663
host_ldc_q2_TESS_1800s,0.2703765314911838,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_1800s}}$,,0.2703765314911838
host_ldc_q1_TESS_600s,0.6763154326269042,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_600s}}$,,0.6763154326269042
host_ldc_q2_TESS_600s,0.23222760346172433,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_600s}}$,,0.23222760346172433
host_ldc_q1_TESS_180s,0.14100101189218986,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_180s}}$,,0.14100101189218986
host_ldc_q2_TESS_180s,0.14100101189218986,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_180s}}$,,0.14100101189218986
host_ldc_q1_ASTEP_R,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_R}}$,,0.64
host_ldc_q2_ASTEP_R,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_R}}$,,0.38
host_ldc_q1_ASTEP_B,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_B}}$,,0.64
host_ldc_q2_ASTEP_B,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_B}}$,,0.38
host_ldc_q1_ASTEP_Rc,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{ASTEP_Rc}}$,,0.64
host_ldc_q2_ASTEP_Rc,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{ASTEP_Rc}}$,,0.38
host_ldc_q1_CHAT_I,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{CHAT_I}}$,,0.64
host_ldc_q2_CHAT_I,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{CHAT_I}}$,,0.38
host_ldc_q1_OMES_R,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{OMES_R}}$,,0.64
host_ldc_q2_OMES_R,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{OMES_R}}$,,0.38
