#time,flux,flux_err
2.075347847985318822e+03,9.954000038109436233e-01,2.696074359238200078e-03
2.075349236906774422e+03,9.984450725906636182e-01,2.701999429451699963e-03
2.075350625828230477e+03,9.960714170805859968e-01,1.204449952003899989e-03
2.075350625828230477e+03,9.946442499891448019e-01,2.698511840242100081e-03
2.075352014749686532e+03,9.989681714374784027e-01,2.700149355013399966e-03
2.075353403671142132e+03,9.941079065519176083e-01,2.697505415366199984e-03
2.075354792592596823e+03,9.985111081192775684e-01,2.698357850402900195e-03
2.075356181514053333e+03,9.986096928535751482e-01,2.698540148992199794e-03
2.075357570435479829e+03,1.000070846063810803e+00,1.206963329743099929e-03
2.075357570435480739e+03,9.977045625427364284e-01,2.699366959729200110e-03
2.075358959356936793e+03,1.000781055987445045e+00,2.704098181617600131e-03
2.075360348278364199e+03,1.000448504314019216e+00,2.700855121439400038e-03
2.075361737199790241e+03,9.981375107104691891e-01,2.699444076669299877e-03
2.075363126121216737e+03,9.984058386152904196e-01,2.699369888220600009e-03
2.075364515042643234e+03,9.975891096980076256e-01,2.700494428915999837e-03
2.075364515042643234e+03,9.996423960588596280e-01,1.206345662099800060e-03
2.075365903964068821e+03,9.988197945401672273e-01,2.698946721214099970e-03
2.075367292885496227e+03,1.005261975811754471e+00,2.706396315239300177e-03
2.075368681806923178e+03,9.956709556440539455e-01,2.697996913838600092e-03
2.075370070728348765e+03,9.929047729567953562e-01,2.695343212553400012e-03
2.075371459649746612e+03,1.001414797143791668e+00,2.701534043360999914e-03
2.075371459649747976e+03,9.979894461855736143e-01,1.204645306783999961e-03
2.075372848571173108e+03,1.000865459014083969e+00,2.702031398816100074e-03
2.075374237492571865e+03,9.963849765111562062e-01,2.697391936324700003e-03
2.075375626413969712e+03,9.988296655084936138e-01,2.699706664730900166e-03
2.075377015335396209e+03,9.980937785723144051e-01,2.700143498030600168e-03
2.075378404256794056e+03,9.980642281418183881e-01,2.699308633942299786e-03
2.075378404256794056e+03,9.984791211839414427e-01,1.204897889166799997e-03
2.075379793178191903e+03,1.001459341450226415e+00,2.700898560728400098e-03
2.075381182099588841e+03,9.971053073010491818e-01,2.700007567221700093e-03
2.075382571020956675e+03,1.000650234419879103e+00,2.701262425784199846e-03
2.075383959942354977e+03,1.009021127933060091e+00,2.706320174463100123e-03
2.075385348863751915e+03,9.976033538801496459e-01,2.700441716070900097e-03
2.075385348863751915e+03,1.001539058890634326e+00,1.205914563762499996e-03
2.075386737785120204e+03,1.002588880104282376e+00,2.701890343147299832e-03
2.075388126706517141e+03,1.001113545186387954e+00,2.699929718158800007e-03
2.075389515627886340e+03,9.951854039615694036e-01,2.699399661216400105e-03
2.075390904549255083e+03,9.979582089440344195e-01,2.697651107813100156e-03
2.075392293470623827e+03,9.984876177136400299e-01,2.700606931793699851e-03
2.075392293470623827e+03,9.977336131773679728e-01,1.204553913448399953e-03
2.075393682391993025e+03,9.946257575421537656e-01,2.696443105113000092e-03
2.075395071313361314e+03,1.000706711352581824e+00,2.703307732982100208e-03
2.075396460234728693e+03,9.990379554350770075e-01,2.704775395252600155e-03
2.075397849156096981e+03,1.004109696445857569e+00,2.702909458152500180e-03
2.075399238077436621e+03,9.931416761966284090e-01,2.695423990107699997e-03
2.075399238077436621e+03,9.992972870143351782e-01,1.205313124842400047e-03
2.075400626998805819e+03,1.001654886582261650e+00,2.702723254907999847e-03
2.075402015920145004e+03,9.988844556301536004e-01,2.699249087950599847e-03
2.075403404841512838e+03,9.993761922864630165e-01,2.701679003685000021e-03
2.075404793762852478e+03,9.993189656599632542e-01,2.701216302044699789e-03
2.075406182684192117e+03,1.000748881628659825e+00,2.701787113825600186e-03
2.075406182684192117e+03,1.000819915115919834e+00,1.206661817149899977e-03
2.075407571605532212e+03,1.000997092749930095e+00,2.702416251393499787e-03
2.075408960526871397e+03,1.001804450494750753e+00,2.700458310855499960e-03
2.075410349448211036e+03,1.002637860099015565e+00,2.702571217396500074e-03
2.075411738369521117e+03,9.969069508172756500e-01,2.702728135727000113e-03
2.075413127290860302e+03,1.001087805699359512e+00,2.701912794914699927e-03
2.075413127290860302e+03,9.997503519656190107e-01,1.205508357601999979e-03
2.075414516212199032e+03,9.969987258329175983e-01,2.698019853687799990e-03
2.075415905133509114e+03,9.967982452167192253e-01,2.697408531109299866e-03
2.075417294054820104e+03,1.000137631286221573e+00,2.699105103790400140e-03
2.075418682976158834e+03,9.992331257202136108e-01,2.701393963856000072e-03
2.075420071897468915e+03,9.974078712225975529e-01,2.699120234329199872e-03
2.075420071897469370e+03,9.990546361220588034e-01,1.205469799131999968e-03
2.075421460818779451e+03,9.998194487439036049e-01,2.701212885471399906e-03
2.075422849740089077e+03,9.974218030323239725e-01,2.697973973989300014e-03
2.075424238661400068e+03,9.991957659793327950e-01,2.703544940785099996e-03
