#property,value,lower_error,upper_error,source
Total transit duration b; $T_\mathrm{tot;b}$ (h),10.876198963055552,2.3324977030725336e-05,2.3923537234793457e-05,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),9.04346902738056,1.9394524507276856e-05,1.9892222340445187e-05,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),0.7892275093362663,3.471994485026997e-06,3.385148213519429e-06,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_R}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_R}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_B}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_B}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; ASTEP_Rc}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; ASTEP_Rc}$ (ppt),11.026904484353285,0.0,0.0,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),0.7892275093362663,3.471994485026997e-06,3.385148213519429e-06,derived
