#property,value,lower_error,upper_error,source
Total transit duration b; $T_\mathrm{tot;b}$ (h),10.882631821894499,1.9203608696116703e-05,1.8840553941856797e-05,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),9.048817896030824,1.596764099964787e-05,1.5665763987371406e-05,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),0.7882947407363974,2.7294631042007467e-06,2.7820740526873777e-06,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; CHAT_I}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; CHAT_I}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_R}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_R}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; OMES_I}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; OMES_I}$ (ppt),11.026904484353285,0.0,0.0,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),0.7882947407363974,2.7294631042007467e-06,2.7820740526873777e-06,derived
