#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09916099026626472,0.0013562181195965195,0.0011944879039408607,$R_b / R_\star$,
b_rsuma,0.010885591168281378,0.0005162053899153696,0.0005128369242845265,$(R_\star + R_b) / a_b$,
b_cosi,0.004794731386190826,0.0011143876014270016,0.0009250377629577205,$\cos{i_b}$,
b_epoch,2459261.3315849802,0.0004936265759170055,0.0005293190479278564,$T_{0;b}$,BJD
b_period,92.49162991061255,0.00011515919260318697,0.00011405693392418925,$P_b$,days
host_ldc_q1_TESS_1800s,0.23699071011487996,0.07934123192644699,0.1252431112735228,$q_{1; \mathrm{TESS_1800s}}$,
host_ldc_q2_TESS_1800s,0.5303064326441024,0.2904859962177282,0.3000478051784774,$q_{2; \mathrm{TESS_1800s}}$,
host_ldc_q1_TESS_600s,0.14647240840125664,0.03497554186305432,0.055106253163455576,$q_{1; \mathrm{TESS_600s}}$,
host_ldc_q2_TESS_600s,0.7655983789911073,0.22560952799793,0.16394209845827568,$q_{2; \mathrm{TESS_600s}}$,
host_ldc_q1_TESS_180s,0.48175620224242094,0.3266115871110107,0.3409883791969894,$q_{1; \mathrm{TESS_180s}}$,
host_ldc_q2_TESS_180s,0.48536348383537214,0.3262878857976947,0.3497874325983448,$q_{2; \mathrm{TESS_180s}}$,
ln_err_flux_TESS_1800s,-6.813588144688859,0.04889628677207902,0.04867837056908719,$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_600s,-5.158114464876639,0.006277945720696287,0.006269755671794108,$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_180s,-5.687973167269703,0.02559799735603452,0.026307770883774673,$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_TESS_1800s,0.00011671924898810741,0.0021041694298874584,0.0019584491750790772,$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,
baseline_offset_flux_TESS_600s,1.512881279333968e-05,0.0020364634797803804,0.001993807170849925,$\mathrm{gp: \log{\sigma} (TESS_600s)}$,
baseline_offset_flux_TESS_180s,-5.881512343770736e-05,0.0020027001540544468,0.0020323331445204467,$\mathrm{gp: \log{\sigma} (TESS_180s)}$,
