#name,value,fit,bounds,label,unit,truth
#companion b astrophysical params,,,,,,
b_rr,0.092,0,uniform 0.00 0.25,$R_b / R_\star$,,0.092
b_rsuma,0.0154,0,uniform 0.001 0.04,$(R_\star + R_b) / a_b$,,0.0154
b_cosi,0,0,uniform 0.0 0.4,$\cos{i_b}$,,0.01745
b_epoch,2458336.410853,0,uniform 2458334.0 2458338.0,$T_{0;b}$,BJD,
b_period,92.4889,0,uniform 91.0 94.0,$P_b$,days,92.492276010932
#limb darkening coefficients per instrument,,,,,,
host_ldc_q1_TESS_1800s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_1800s}}$,,0.64
host_ldc_q2_TESS_1800s,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_1800s}}$,,0.38
host_ldc_q1_TESS_600s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_600s}}$,,0.64
host_ldc_q2_TESS_600s,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_600s}}$,,0.38
host_ldc_q1_TESS_180s,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{TESS_180s}}$,,0.64
host_ldc_q2_TESS_180s,0.0,0,uniform 0.0 1.0,$q_{2; \mathrm{TESS_180s}}$,,0.38
#errors per instrument,,,,,,
ln_err_flux_TESS_1800s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_TESS_600s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_TESS_180s,-7,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$,
#baseline per instrument,,,,,,
baseline_offset_flux_TESS_1800s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,,
baseline_offset_flux_TESS_600s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_600s)}$,,
baseline_offset_flux_TESS_180s,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_180s)}$,,
#TTV companion b
b_ttv_transit_1,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;1}$,d,
b_ttv_transit_2,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;2}$,d,
b_ttv_transit_3,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;3}$,d,
b_ttv_transit_4,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;4}$,d,
b_ttv_transit_5,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;5}$,d,
b_ttv_transit_6,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;6}$,d,
b_ttv_transit_7,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;7}$,d,
b_ttv_transit_8,0,1,uniform -0.05 0.05,TTV$_\mathrm{b;8}$,d,
