#time,flux,flux_err
2.459075347847985104e+06,9.954000038109437343e-01,2.696074359238200078e-03
2.459075349236906972e+06,9.984450725906637292e-01,2.701999429451699963e-03
2.459075350625828374e+06,9.960714170805861079e-01,1.204449952003899989e-03
2.459075350625828374e+06,9.946442499891448019e-01,2.698511840242100081e-03
2.459075352014749777e+06,9.989681714374784027e-01,2.700149355013399966e-03
2.459075353403671179e+06,9.941079065519176083e-01,2.697505415366199984e-03
2.459075354792592581e+06,9.985111081192775684e-01,2.698357850402900195e-03
2.459075356181513984e+06,9.986096928535751482e-01,2.698540148992199794e-03
2.459075357570435386e+06,1.000070846063810803e+00,1.206963329743099929e-03
2.459075357570435386e+06,9.977045625427363174e-01,2.699366959729200110e-03
2.459075358959356789e+06,1.000781055987445045e+00,2.704098181617600131e-03
2.459075360348278191e+06,1.000448504314019216e+00,2.700855121439400038e-03
2.459075361737199593e+06,9.981375107104690780e-01,2.699444076669299877e-03
2.459075363126120996e+06,9.984058386152904196e-01,2.699369888220600009e-03
2.459075364515042864e+06,9.975891096980076256e-01,2.700494428915999837e-03
2.459075364515042864e+06,9.996423960588595170e-01,1.206345662099800060e-03
2.459075365903964266e+06,9.988197945401672273e-01,2.698946721214099970e-03
2.459075367292885669e+06,1.005261975811754471e+00,2.706396315239300177e-03
2.459075368681807071e+06,9.956709556440540565e-01,2.697996913838600092e-03
2.459075370070728473e+06,9.929047729567952452e-01,2.695343212553400012e-03
2.459075371459649876e+06,1.001414797143791668e+00,2.701534043360999914e-03
2.459075371459649876e+06,9.979894461855736143e-01,1.204645306783999961e-03
2.459075372848571278e+06,1.000865459014083969e+00,2.702031398816100074e-03
2.459075374237492681e+06,9.963849765111562062e-01,2.697391936324700003e-03
2.459075375626414083e+06,9.988296655084936138e-01,2.699706664730900166e-03
2.459075377015335485e+06,9.980937785723144051e-01,2.700143498030600168e-03
2.459075378404256888e+06,9.980642281418186101e-01,2.699308633942299786e-03
2.459075378404256888e+06,9.984791211839414427e-01,1.204897889166799997e-03
2.459075379793178290e+06,1.001459341450226415e+00,2.700898560728400098e-03
2.459075381182099693e+06,9.971053073010492929e-01,2.700007567221700093e-03
2.459075382571021095e+06,1.000650234419879103e+00,2.701262425784199846e-03
2.459075383959942497e+06,1.009021127933060091e+00,2.706320174463100123e-03
2.459075385348863900e+06,9.976033538801496459e-01,2.700441716070900097e-03
2.459075385348863900e+06,1.001539058890634326e+00,1.205914563762499996e-03
2.459075386737785302e+06,1.002588880104282376e+00,2.701890343147299832e-03
2.459075388126706704e+06,1.001113545186387954e+00,2.699929718158800007e-03
2.459075389515628107e+06,9.951854039615694036e-01,2.699399661216400105e-03
2.459075390904549044e+06,9.979582089440344195e-01,2.697651107813100156e-03
2.459075392293470446e+06,9.984876177136400299e-01,2.700606931793699851e-03
2.459075392293470446e+06,9.977336131773679728e-01,1.204553913448399953e-03
2.459075393682391848e+06,9.946257575421536545e-01,2.696443105113000092e-03
2.459075395071313251e+06,1.000706711352581824e+00,2.703307732982100208e-03
2.459075396460234653e+06,9.990379554350770075e-01,2.704775395252600155e-03
2.459075397849156056e+06,1.004109696445857569e+00,2.702909458152500180e-03
2.459075399238077458e+06,9.931416761966285200e-01,2.695423990107699997e-03
2.459075399238077458e+06,9.992972870143351782e-01,1.205313124842400047e-03
2.459075400626998860e+06,1.001654886582261650e+00,2.702723254907999847e-03
2.459075402015920263e+06,9.988844556301536004e-01,2.699249087950599847e-03
2.459075403404841665e+06,9.993761922864630165e-01,2.701679003685000021e-03
2.459075404793763068e+06,9.993189656599632542e-01,2.701216302044699789e-03
