#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.092,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.0154,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2459816.3449085406,0.0005441647954285145,0.0005401908420026302,$T_{0;b}$,BJD
b_period,92.4438206174615,0.00019675662613849454,0.0002024063123826636,$P_b$,days
host_ldc_q1_ASTEP_R,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_R}}$,
host_ldc_q2_ASTEP_R,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_R}}$,
host_ldc_q1_ASTEP_B,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_B}}$,
host_ldc_q2_ASTEP_B,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_B}}$,
host_ldc_q1_ASTEP_Rc,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_Rc}}$,
host_ldc_q2_ASTEP_Rc,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_Rc}}$,
ln_err_flux_ASTEP_R,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_R}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_B,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_B}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_Rc,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_Rc}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_ASTEP_R,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (ASTEP_R)}$,
baseline_offset_flux_ASTEP_B,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (ASTEP_B)}$,
baseline_offset_flux_ASTEP_Rc,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (ASTEP_Rc)}$,
