#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09320696224202059,0.000679530501011244,0.0007010390669529437,$R_b / R_\star$,
b_rsuma,0.011373830527651882,0.00021100963950836799,0.0002363388599590701,$(R_\star + R_b) / a_b$,
b_cosi,0.003999285699364585,0.0004933065311576259,0.0005067945830478232,$\cos{i_b}$,
b_epoch,2459446.3208770654,0.0013523465022444725,0.0013980758376419544,$T_{0;b}$,BJD
b_period,92.48960673887944,0.0002798615625607681,0.00027321863603901875,$P_b$,days
host_ldc_q1_ASTEP_R,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_R}}$,
host_ldc_q2_ASTEP_R,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_R}}$,
host_ldc_q1_ASTEP_B,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_B}}$,
host_ldc_q2_ASTEP_B,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_B}}$,
host_ldc_q1_ASTEP_Rc,0.5,(fixed),(fixed),$q_{1; \mathrm{ASTEP_Rc}}$,
host_ldc_q2_ASTEP_Rc,0.5,(fixed),(fixed),$q_{2; \mathrm{ASTEP_Rc}}$,
host_ldc_q1_CHAT_I,0.9592549787660065,0.057703217277783714,0.029445565562670084,$q_{1; \mathrm{CHAT_I}}$,
host_ldc_q2_CHAT_I,0.9528034983682496,0.06495837872016896,0.03431071829414556,$q_{2; \mathrm{CHAT_I}}$,
host_ldc_q1_OMES_R,0.10830263074521204,0.0957626484541951,0.39976198338186886,$q_{1; \mathrm{OMES_R}}$,
host_ldc_q2_OMES_R,0.08555843025269479,0.06630388842403448,0.16993801520324736,$q_{2; \mathrm{OMES_R}}$,
host_ldc_q1_OMES_I,0.9457138797549309,0.06334906546770913,0.03899302896343515,$q_{1; \mathrm{OMES_I}}$,
host_ldc_q2_OMES_I,0.9508476204102558,0.0619034018544069,0.03544024877313645,$q_{2; \mathrm{OMES_I}}$,
ln_err_flux_ASTEP_R,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_R}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_B,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_B}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_ASTEP_Rc,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{ASTEP_Rc}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_CHAT_I,-6.250474847707834,0.06355319808997706,0.06500604898087392,$\log{\sigma_\mathrm{CHAT_I}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_OMES_R,-5.008640561576259,0.010905644986291207,0.006037634673304204,$\log{\sigma_\mathrm{OMES_R}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_OMES_I,-5.64918522382194,0.045898710091246464,0.047987520467824396,$\log{\sigma_\mathrm{OMES_I}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_ASTEP_R,-0.00028574063866071333,0.001869495051026251,0.0021117268687343106,$\mathrm{gp: \log{\sigma} (ASTEP_R)}$,
baseline_offset_flux_ASTEP_B,-0.0005607370556784332,0.0016631593611561072,0.0020816256502454136,$\mathrm{gp: \log{\sigma} (ASTEP_B)}$,
baseline_offset_flux_ASTEP_Rc,2.765386672289906e-05,0.0019437099624853866,0.0018857422155869122,$\mathrm{gp: \log{\sigma} (ASTEP_Rc)}$,
baseline_offset_flux_CHAT_I,-0.00015720124808992885,0.001976896110857678,0.0019968181031469346,$\mathrm{gp: \log{\sigma} (CHAT_I)}$,
baseline_offset_flux_OMES_R,0.0008397299338141723,0.00208183533477024,0.001448758728769756,$\mathrm{gp: \log{\sigma} (OMES_R)}$,
baseline_offset_flux_OMES_I,-1.6986016025195144e-05,0.0019626841716952823,0.0019440994691243317,$\mathrm{gp: \log{\sigma} (OMES_I)}$,
