#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.010365254026496615,0.0008773671062783442,0.0009006236253269722,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,96.47616907831762,7.712556432645783,8.92137713397456,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0010204672074103434,0.00011321456085242087,0.00011503970313392537,derived
Inclination b; $i_\mathrm{b}$ (deg),89.68705515182393,0.09202456309601814,0.12250731638266643,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.5268692537198237,0.17635012259632704,0.10144295657131452,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),7.068554891622199,0.14657462951192635,0.16755716790650865,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),5.363112744944308,0.27425772505317614,0.25281479022625764,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),1.9855866268624496,0.43914969200123655,0.603320230639735,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),10.887245335900463,0.24769003428881575,0.2540305777333227,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),10.887245335900463,0.24769003428881575,0.2540305777333227,derived
Limb darkening; $u_\mathrm{1; TESS_1800s}$,0.4114648891215701,0.24777960343021807,0.24626217918218007,derived
Limb darkening; $u_\mathrm{2; TESS_1800s}$,0.2315941151080575,0.393772016651329,0.37756632850246297,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),1.9855866268624496,0.43914969200123655,0.603320230639735,derived
