#property,value,lower_error,upper_error,source
Total transit duration b; $T_\mathrm{tot;b}$ (h),10.880999462760489,1.0331586745238042e-05,1.0044836480815889e-05,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),9.047460602980179,8.590628494786756e-06,8.352198033634295e-06,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),0.7885312772136975,1.4558693433031067e-06,1.4974342976703525e-06,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_1800s}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_1800s}$ (ppt),11.026904484353285,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_600s}$ (ppt),11.056598788890648,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_600s}$ (ppt),11.056598788890648,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; TESS_180s}$ (ppt),8.464000000000027,0.0,0.0,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; TESS_180s}$ (ppt),8.464000000000027,0.0,0.0,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),0.7885312772136975,1.4558693433031067e-06,1.4974342976703525e-06,derived
