#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.092,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.0154,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2459261.322796521,0.00019825529307127,0.00019294722005724907,$T_{0;b}$,BJD
b_period,92.4846231565751,8.715093544253705e-05,8.489870650407738e-05,$P_b$,days
host_ldc_q1_TESS_1800s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_1800s}}$,
host_ldc_q2_TESS_1800s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_1800s}}$,
host_ldc_q1_TESS_600s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_600s}}$,
host_ldc_q2_TESS_600s,0.5,(fixed),(fixed),$q_{2; \mathrm{TESS_600s}}$,
host_ldc_q1_TESS_180s,0.5,(fixed),(fixed),$q_{1; \mathrm{TESS_180s}}$,
host_ldc_q2_TESS_180s,0.0,(fixed),(fixed),$q_{2; \mathrm{TESS_180s}}$,
ln_err_flux_TESS_1800s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_600s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$
ln_err_flux_TESS_180s,-7.0,(fixed),(fixed),$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$
baseline_offset_flux_TESS_1800s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,
baseline_offset_flux_TESS_600s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_600s)}$,
baseline_offset_flux_TESS_180s,0.0,(fixed),(fixed),$\mathrm{gp: \log{\sigma} (TESS_180s)}$,
