#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09966504322433017,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.012592188259948553,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0073685180431900645,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2261.323,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS,0.32472239699016714,0.05955348385054304,0.07243540589225339,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.5792667839722927,0.2188614238266991,0.2214249269657853,$q_{2; \mathrm{TESS}}$,
ln_err_flux_TESS,-4.789595671799655,0.01122276441340464,0.011211362714599993,$\log{\sigma_\mathrm{TESS}}$,log (rel. flux)
baseline_offset_flux_TESS,-0.001860964378670043,0.00011457031225154887,0.00011647433771302951,$\mathrm{offset (TESS)}$,rel. flux
b_ttv_transit_1,0.00028343858122380043,0.009659308851624701,0.009265109373052895,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.0002922839471748949,0.00950559408550868,0.009651978350319486,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-1.6881281492586026e-05,0.009268196299043342,0.009246422529244978,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,-5.423370948424468e-05,0.00950100386430993,0.009411307245649961,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.00042309036419784125,0.0097972477061535,0.009326349105915063,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,-0.00020551647761502846,0.009513668825370782,0.009557508211198785,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.0004381339404688888,0.009761785649168344,0.009303165512241647,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.0005022987432708546,0.009257871295795904,0.009806897825924164,TTV$_\mathrm{b;8}$,d
