#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09966504322433017,(fixed),(fixed),$R_b / R_\star$,
b_rsuma,0.012592188259948553,(fixed),(fixed),$(R_\star + R_b) / a_b$,
b_cosi,0.0073685180431900645,(fixed),(fixed),$\cos{i_b}$,
b_epoch,2261.323,(fixed),(fixed),$T_{0;b}$,BJD
b_period,92.4889,(fixed),(fixed),$P_b$,days
host_ldc_q1_TESS,0.3308666188244933,0.06922196431530214,0.07380715214368272,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.223472804493154,0.1479939581825077,0.22101238250288602,$q_{2; \mathrm{TESS}}$,
ln_err_flux_TESS,-4.839641799085058,0.011255825945197806,0.01122858002480509,$\log{\sigma_\mathrm{TESS}}$,log (rel. flux)
baseline_offset_flux_TESS,-0.0003083990649678098,0.01986461309776127,0.020567286612357842,$\mathrm{offset (TESS)}$,rel. flux
b_ttv_transit_1,-0.013637557808288254,0.0002690023290522637,0.000572100923718873,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.00917996692290781,0.002295601991197724,0.002391054502694585,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.009183357125869365,0.002331847178218738,0.002622078347603799,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,0.0015632149731788485,0.002289166777233136,0.0022259957140288557,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.005274737084065787,0.0017622725293271278,0.0018143052633536483,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.0037388723437021456,0.001354071753377887,0.0013876746771911272,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.010586580700824846,0.001432121729387465,0.0013875622459189711,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.01354811451965932,0.0007345999651258081,0.0003387050959573045,TTV$_\mathrm{b;8}$,d
