####time,flux,flux_err
2.459816046211000066e+06,1.001741999999999910e+00,1.379999999999999933e-03
2.459816047369000036e+06,9.989860000000000406e-01,1.374999999999999920e-03
2.459816048510000110e+06,1.000696000000000030e+00,1.378000000000000102e-03
2.459816049649999943e+06,9.964499999999999469e-01,1.374999999999999920e-03
2.459816050791999791e+06,9.975899999999999768e-01,1.376000000000000053e-03
2.459816051932999864e+06,1.002105999999999941e+00,1.381999999999999982e-03
2.459816053280999884e+06,9.982039999999999802e-01,1.381000000000000066e-03
2.459816054421999957e+06,9.983509999999999884e-01,1.386000000000000079e-03
2.459816055563000031e+06,9.977369999999999850e-01,1.381999999999999982e-03
2.459816056878999807e+06,9.979970000000000230e-01,1.376000000000000053e-03
2.459816058021000121e+06,1.001703000000000010e+00,1.381000000000000066e-03
2.459816059344000183e+06,9.935209999999999875e-01,1.361999999999999929e-03
2.459816060670000035e+06,1.000612000000000057e+00,1.376999999999999969e-03
2.459816061811000109e+06,1.003196999999999894e+00,1.381000000000000066e-03
2.459816062952999957e+06,9.966899999999999649e-01,1.387999999999999911e-03
2.459816064094000030e+06,1.004172000000000065e+00,1.389999999999999960e-03
2.459816065235999878e+06,1.001222999999999974e+00,1.379999999999999933e-03
2.459816066376999952e+06,9.947789999999999688e-01,1.376000000000000053e-03
2.459816067518000025e+06,1.001697000000000060e+00,1.382999999999999898e-03
2.459816068659999873e+06,1.003336000000000006e+00,1.379999999999999933e-03
2.459816069800999947e+06,9.982710000000000194e-01,1.379999999999999933e-03
2.459816070942999795e+06,9.967930000000000401e-01,1.371999999999999956e-03
2.459816072269999888e+06,1.001384000000000052e+00,1.371999999999999956e-03
2.459816073410999961e+06,1.002016999999999936e+00,1.376000000000000053e-03
2.459816074552000035e+06,1.003233999999999959e+00,1.378000000000000102e-03
2.459816075693000108e+06,9.990830000000000544e-01,1.364999999999999894e-03
2.459816077018000185e+06,9.965479999999999894e-01,1.369999999999999907e-03
2.459816078158999793e+06,9.974009999999999820e-01,1.391000000000000092e-03
2.459816079301000107e+06,1.005560999999999927e+00,1.392999999999999924e-03
2.459816080442999955e+06,9.959400000000000475e-01,1.368999999999999991e-03
2.459816081584999803e+06,1.006783999999999901e+00,1.386000000000000079e-03
2.459816082725999877e+06,9.963950000000000307e-01,1.381999999999999982e-03
2.459816084050999954e+06,1.003948000000000063e+00,1.381999999999999982e-03
2.459816085192000028e+06,1.004062000000000010e+00,1.379999999999999933e-03
