# time,flux,flux_err
0.000000000000000000e+00,1.000000000000000000e+00,1.867205462272695637e-03
2.602000000479165465e-03,9.946551741298483851e-01,1.863224213952284622e-03
5.205000001296866685e-03,9.973922823501307766e-01,1.884125767634441638e-03
7.805000001098960638e-03,9.914950582755223119e-01,1.845308596510435812e-03
1.040600000123959035e-02,9.933383762478725787e-01,1.879149207233928032e-03
1.300700000138022006e-02,9.966477889142140167e-01,1.953797613241631693e-03
1.560799999970186036e-02,9.867772790158354512e-01,1.958774173642145733e-03
2.037100000052305404e-02,9.923002657483254163e-01,2.010530401807486978e-03
2.297499999986030161e-02,9.975624807158285368e-01,2.308128713758198815e-03
2.557700000033946708e-02,9.931124404056891342e-01,2.132953787660120653e-03
2.818100000149570405e-02,1.001691035224094639e+00,1.887111703874749845e-03
3.078300000015588012e-02,9.999472484597544675e-01,1.953797613241631693e-03
3.539700000146694947e-02,9.973315683132446541e-01,1.892088264275263451e-03
3.800100000080419704e-02,9.996406923390828148e-01,1.921947626678345089e-03
4.060300000128336251e-02,9.924565297449015056e-01,1.941853868280399298e-03
4.320300000108545646e-02,1.005961919359815271e+00,2.259358421833165560e-03
4.580499999974563252e-02,9.889181953001363601e-01,2.403678673448059709e-03
4.841099999975995161e-02,1.003144190861044338e+00,3.237750196574135618e-03
5.101199999990058132e-02,9.941863821401200063e-01,3.831951508395457350e-03
5.364700000063749030e-02,9.972728449005185958e-01,4.342546605488150149e-03
5.624600000010104850e-02,9.938191119825622311e-01,3.896646793602134232e-03
6.151800000043294858e-02,9.899115167560788020e-01,3.087458072478625921e-03
6.694600000082573388e-02,9.927650764897333335e-01,2.806780065889659653e-03
7.240000000092550181e-02,9.921758517383125753e-01,2.632600451871684732e-03
7.518400000117253512e-02,1.001232196355167137e+00,1.988633536045227371e-03
8.038800000031187665e-02,1.001199351056523579e+00,2.200635009107105525e-03
8.302600000024540350e-02,9.909446506952255262e-01,2.492261448577201381e-03
8.563000000140164047e-02,9.953021269819152250e-01,2.102099113176936641e-03
8.823300000040035229e-02,9.778443530969136432e-01,2.711230106199798758e-03
9.344000000055530109e-02,9.905733992893471784e-01,2.212578754068338354e-03
9.606700000040291343e-02,1.002624637955230824e+00,1.899055448835982457e-03
9.866900000088207889e-02,9.839446208358630930e-01,1.889102328034955244e-03
1.012719999998807907e-01,9.926257327985189560e-01,1.967731982363070137e-03
1.064729999998235144e-01,1.004754605806650769e+00,2.248409988952035973e-03
1.090949999997974373e-01,9.946322819520060365e-01,2.085178807815190639e-03
1.116959999999380670e-01,9.933771934189965513e-01,1.872182022673209243e-03
1.143080000001646113e-01,9.880562550387673726e-01,2.145892844701456290e-03
1.169100000006437767e-01,9.940858556200297125e-01,2.036408515890157384e-03
1.195139999999810243e-01,9.932597465935444347e-01,1.950811677001323702e-03
1.221150000001216540e-01,9.928964576843070100e-01,1.929910123319166686e-03
1.247170000006008195e-01,9.926157796777179687e-01,1.918961690438036882e-03
1.273170000004029134e-01,9.920444705437390098e-01,1.940858556200296490e-03
1.299209999997401610e-01,9.894357575817898098e-01,1.927919499158961287e-03
1.325219999998807907e-01,9.993470752754526343e-01,1.983656975644713331e-03
1.351240000003599562e-01,9.896686606085338678e-01,1.999581968926356958e-03
1.377240000001620501e-01,9.916543082083387750e-01,2.000577281006459766e-03
1.403260000006412156e-01,9.939594509858565852e-01,1.884125767634441638e-03
1.429250000001047738e-01,9.942530680494869877e-01,1.855261717311463025e-03
1.455260000002454035e-01,9.995849548625972414e-01,1.865214838112490238e-03
1.481270000003860332e-01,9.939345681838539504e-01,1.874172646833414642e-03
1.507280000005266629e-01,9.962237859680902474e-01,1.844313284430333221e-03
1.533300000010058284e-01,9.988643489166026956e-01,1.832369539469100609e-03
1.559300000008079223e-01,9.862686745429029012e-01,2.067263190373341396e-03
1.585350000004837057e-01,9.985368912422489807e-01,2.144897532621353048e-03
1.611360000006243354e-01,9.971534074509061929e-01,1.886116391794647254e-03
1.637399999999615829e-01,9.981477242189289445e-01,1.732838331458828917e-03
1.663410000001022127e-01,9.875506365020753075e-01,1.695016472414925899e-03
1.689440000009199139e-01,9.912094037085328324e-01,1.650227428810303442e-03
1.715469999999186257e-01,9.913656677051089217e-01,1.656199301290919640e-03
1.741469999997207196e-01,9.929681201540743185e-01,1.691035224094514884e-03
1.793490000000019791e-01,9.919061221646047199e-01,1.700988344895542096e-03
1.819489999998040730e-01,9.887091797633147383e-01,1.793552368345094567e-03
1.845490000014251564e-01,9.882742283843098940e-01,1.681082103293487671e-03
1.871499999997467967e-01,9.896626887360532310e-01,1.750753948900677726e-03
1.897520000002259621e-01,9.863592479421923187e-01,1.687053975774103869e-03
1.923530000003665918e-01,9.866011087776572763e-01,1.711936777776671900e-03
1.949560000011842931e-01,9.911228115575638764e-01,1.717908650257288315e-03
1.975570000013249228e-01,9.901165510445800733e-01,1.659185237531228064e-03
2.001580000014655525e-01,9.883936658339221859e-01,1.652218052970508841e-03
2.027580000012676464e-01,9.874710115356669649e-01,1.650227428810303442e-03
2.054960000004939502e-01,9.839257099063410950e-01,1.632311811368454633e-03
2.081670000006852206e-01,9.900876869942570879e-01,1.643260244249584437e-03
2.107790000009117648e-01,9.867424430930318291e-01,1.643260244249584437e-03
2.134310000001278240e-01,9.872958366095688776e-01,1.605438385205681419e-03
2.160330000006069895e-01,9.884822486090513172e-01,1.617382130166913814e-03
2.186380000002827728e-01,9.859860059121537956e-01,1.653213365050611649e-03
