# time,flux,flux_err
0.000000000000000000e+00,1.000000000000000000e+00,1.165307141668053782e-03
7.149999999995770850e-04,9.993879396193463549e-01,1.127427183256260934e-03
1.429999999999154170e-03,9.989064654111122765e-01,1.072600927660244570e-03
2.144000000001256012e-03,9.988606107246138510e-01,1.043692538345981653e-03
2.859000000000833097e-03,9.962259599329724713e-01,1.051667266432674804e-03
3.573000000002934939e-03,9.960086485926099575e-01,1.044689379356818432e-03
4.288000000002512024e-03,9.974959353807782980e-01,1.045686220367654995e-03
5.002000000004613867e-03,9.959049771274830487e-01,1.061635676541041514e-03
5.717000000004190952e-03,9.922475674587233341e-01,1.070607245638571445e-03
6.431000000006292794e-03,9.975746858206344658e-01,1.074594609681917912e-03
7.146000000005869879e-03,9.924648787990857368e-01,1.071604086649408007e-03
7.860000000007971721e-03,9.978926781030913462e-01,1.078581973725264813e-03
8.575000000007548806e-03,9.904253420909139294e-01,1.059641994519368172e-03
9.290000000007125891e-03,9.941634958815513956e-01,1.035717810259288284e-03
1.000500000000670298e-02,9.957315267915973767e-01,1.037711492280961626e-03
1.071900000000880482e-02,9.922764758480375757e-01,1.053660948454348146e-03
1.143400000000838190e-02,9.900824287831860859e-01,1.060638835530204951e-03
1.214900000000795899e-02,9.958212424825727549e-01,1.055654630476021488e-03
1.286300000001006083e-02,9.974630396274206667e-01,1.055654630476021488e-03
1.357800000000963792e-02,9.901671602691072271e-01,1.050670425421838241e-03
1.429300000000921500e-02,9.957085994483482194e-01,1.087553542822794527e-03
1.500699999999710599e-02,9.943798103809028399e-01,1.085559860801121185e-03
1.572199999999668307e-02,9.955969532551344203e-01,1.081572496757774718e-03
1.643700000001047101e-02,9.903635379482420564e-01,1.081572496757774718e-03
1.715099999999836200e-02,9.830796206820586747e-01,1.095528270909487895e-03
1.786599999999793909e-02,1.001656749760010623e+00,1.126430342245424154e-03
1.858000000000004093e-02,9.962588556863299916e-01,1.166303982678890561e-03
1.929499999999961801e-02,9.922027096132356450e-01,1.176272392787257271e-03
2.000900000000171985e-02,9.976175499841004601e-01,1.145370321451320795e-03
2.072400000000129694e-02,1.001977732565499934e+00,1.113471409104547756e-03
2.143800000000339878e-02,9.959348823578080268e-01,1.083566178779448060e-03
2.215300000000297587e-02,9.948622814301478767e-01,1.172285028743910587e-03
2.286700000000507771e-02,9.900923971932944490e-01,1.226114443329090172e-03
2.358200000000465479e-02,9.974112038948572678e-01,1.203187100079846847e-03
2.429700000000423188e-02,9.872543908354425302e-01,1.152348208527177384e-03
2.929900000000884575e-02,9.915607440022569108e-01,1.125433501234587592e-03
3.001400000000842283e-02,9.917242259280339978e-01,1.106493522028691168e-03
3.072800000001052467e-02,9.995623867962426523e-01,1.100512475963671142e-03
3.144300000001010176e-02,1.003201853326807447e+00,1.157332413581360631e-03
3.215800000000967884e-02,9.941375780152695851e-01,1.166303982678890561e-03
3.287199999999756983e-02,9.915737029353978160e-01,1.154341890548850726e-03
3.358699999999714692e-02,9.876122567583328626e-01,1.168297664700564120e-03
3.430099999999924876e-02,9.926712248883288181e-01,1.155338731559687505e-03
3.501599999999882584e-02,9.989882063740007645e-01,1.177269233798093834e-03
3.573000000000092768e-02,9.934397893076839514e-01,1.202190259069010284e-03
3.644500000000050477e-02,9.944117092932497348e-01,1.209168146144867090e-03
3.715900000000260661e-02,9.929942013758400465e-01,1.220133397264070146e-03
3.787400000000218370e-02,9.908300595413136458e-01,1.211161828166540215e-03
3.858900000000176078e-02,9.999900315898915260e-01,1.178266074808930614e-03
3.930300000000386262e-02,1.002205012315970700e+00,1.167300823689727124e-03
4.001800000000343971e-02,1.005251358445087506e+00,1.163313459646380657e-03
4.073200000000554155e-02,9.930051666269592570e-01,1.163313459646380657e-03
4.144700000000511864e-02,9.981857493602773745e-01,1.169294505711400683e-03
4.216200000000469572e-02,1.001641797144847912e+00,1.149357685494667262e-03
4.287700000000427281e-02,9.949948612845892493e-01,1.163313459646380657e-03
4.359100000000637465e-02,9.925645629001693671e-01,1.195212371993153696e-03
4.430600000000595173e-02,9.919355562223315381e-01,1.193218689971480354e-03
4.502100000000552882e-02,9.950317444019901592e-01,1.234089171415783323e-03
4.573500000000763066e-02,1.004729013755409239e+00,1.252032309610843185e-03
4.645000000000720775e-02,1.003261663787457403e+00,1.243060740513313471e-03
4.716400000000930959e-02,9.997238750399981555e-01,1.197206054014827038e-03
4.787900000000888667e-02,9.921249560143903246e-01,1.148360844483830700e-03
4.859400000000846376e-02,9.953836292788155182e-01,1.146367162462157358e-03
4.930800000001056560e-02,1.004129912307896388e+00,1.152348208527177384e-03
5.002300000001014268e-02,9.901681571101180745e-01,1.115465091126221098e-03
5.073699999999803367e-02,1.002262829094599184e+00,1.151351367516340821e-03
5.145199999999761076e-02,9.951174727289220368e-01,1.132411388310444397e-03
5.216599999999971260e-02,9.905898208577019748e-01,1.157332413581360631e-03
5.288099999999928968e-02,9.940777675546194070e-01,1.149357685494667262e-03
5.359599999999886677e-02,9.933680167549037154e-01,1.166303982678890561e-03
5.431099999999844385e-02,9.940329097091318289e-01,1.160322936613870752e-03
5.502500000000054570e-02,9.970712811101619666e-01,1.187237643906460544e-03
5.574000000000012278e-02,9.998335275511902598e-01,1.221130238274906708e-03
5.645400000000222462e-02,9.946619163869696578e-01,1.258013355675863211e-03
5.716900000000180171e-02,9.891922497605089015e-01,1.244057581524150033e-03
5.788300000000390355e-02,9.977840224329099783e-01,1.290909109033472812e-03
5.859800000000348064e-02,9.961462126521055671e-01,1.360687979792038916e-03
5.931200000000558248e-02,9.915388135000184899e-01,1.334770113510285903e-03
6.002700000000515956e-02,9.891424077099670864e-01,1.295893314087656276e-03
6.074100000000726141e-02,9.877388555667091508e-01,1.285924903979289565e-03
6.145600000000683849e-02,9.902060370685298318e-01,1.242063899502476691e-03
6.217000000000894033e-02,9.983681712652604512e-01,1.241067058491640129e-03
6.288500000000851742e-02,9.768184622929935168e-01,1.238076535459130007e-03
6.359900000001061926e-02,9.956737100129688933e-01,1.235086012426620103e-03
6.431400000001019635e-02,9.902259738887465579e-01,1.219136556253233366e-03
6.502799999999808733e-02,9.820528744408967281e-01,1.242063899502476691e-03
6.574299999999766442e-02,9.854919759282833036e-01,1.250038627589169843e-03
6.645799999999724150e-02,9.888323901555969853e-01,1.242063899502476691e-03
6.717199999999934334e-02,9.853863107811345889e-01,1.194215530982317133e-03
6.788699999999892043e-02,9.866532957059079845e-01,1.199199736036500380e-03
6.860100000000102227e-02,9.866243873165937428e-01,1.204183941090683843e-03
6.931600000000059936e-02,9.788639800472304087e-01,1.190228166938970449e-03
7.003000000000270120e-02,9.872244856051174411e-01,1.136398752353790865e-03
7.074500000000227828e-02,9.910443803586435063e-01,1.116461932137057661e-03
7.145900000000438013e-02,9.955291680663975740e-01,1.118455614158731003e-03
7.217400000000395721e-02,9.919305720172773011e-01,1.101509316974507921e-03
7.288800000000605905e-02,9.851042047750678821e-01,1.101509316974507921e-03
7.360300000000563614e-02,9.822841415554108835e-01,1.103502998996181046e-03
7.431800000000521322e-02,9.857262335658298902e-01,1.129420865277934059e-03
7.503200000000731507e-02,9.773746995770403734e-01,1.138392434375464207e-03
7.574700000000689215e-02,9.877817197301751451e-01,1.146367162462157358e-03
7.646200000000646924e-02,9.901841065662915220e-01,1.166303982678890561e-03
7.717600000000857108e-02,9.981887398833098057e-01,1.147364003472993920e-03
7.789100000000814816e-02,9.975876447537753711e-01,1.124436660223751029e-03
7.860500000001025001e-02,9.933989188262396519e-01,1.123439819212914250e-03
7.932000000000982709e-02,9.909257562783538864e-01,1.093534588887814553e-03
8.003399999999771808e-02,9.883708527675796329e-01,1.096525111920324674e-03
8.074899999999729516e-02,9.915338292949642529e-01,1.075591450692754691e-03
8.146299999999939701e-02,9.877508176588392086e-01,1.060638835530204951e-03
8.217799999999897409e-02,9.832630394280524877e-01,1.064626199573551419e-03
8.289299999999855117e-02,9.893786590295354788e-01,1.087553542822794527e-03
8.360799999999812826e-02,9.860821058066985279e-01,1.084563019790284622e-03
8.432299999999770534e-02,9.804529446185039632e-01,1.107490363039527730e-03
8.503699999999980719e-02,9.830427375646576538e-01,1.073597768671081349e-03
8.575199999999938427e-02,9.833238467297135132e-01,1.069610404627734665e-03
2.700020000000051823e-01,9.815654191865976763e-01,9.739136675874155488e-04
2.707170000000047594e-01,9.831095259123836527e-01,9.908599647716388476e-04
2.714310000000068612e-01,9.903834747684587825e-01,1.010796784988371834e-03
2.721460000000064383e-01,9.727623162198991702e-01,1.008803102966698709e-03
2.728610000000060154e-01,9.749125022802738183e-01,1.020765195096738328e-03
2.735750000000081172e-01,9.839997049350608371e-01,1.035717810259288284e-03
2.742900000000076943e-01,9.865476305587593808e-01,1.051667266432674804e-03
2.750050000000072714e-01,9.823529235851585772e-01,1.056651471486858051e-03
2.757200000000068485e-01,9.990928746801386318e-01,1.046683061378491557e-03
2.764340000000089503e-01,9.927818742405317698e-01,1.027743082172595133e-03
2.771490000000085274e-01,9.838990239929663595e-01,1.035717810259288284e-03
2.778640000000081045e-01,9.820618460099943547e-01,1.045686220367654995e-03
2.785780000000102063e-01,9.803871531117887006e-01,1.032727287226778380e-03
2.792930000000097834e-01,9.836727410835063301e-01,1.025749400150921791e-03
2.800080000000093605e-01,9.935574165469627239e-01,1.057648312497694830e-03
2.807219999999972515e-01,9.920442118925125730e-01,1.080575655746937938e-03
2.814369999999968286e-01,9.917910142757601077e-01,1.076588291703591254e-03
2.821520000000106165e-01,9.841970794552064028e-01,1.051667266432674804e-03
2.828670000000101936e-01,9.822781605093459101e-01,1.057648312497694830e-03
2.835809999999980846e-01,9.951573463693554888e-01,1.057648312497694830e-03
2.842959999999976617e-01,9.797551559109183295e-01,1.056651471486858051e-03
2.850099999999997635e-01,9.893068864767552428e-01,1.096525111920324674e-03
