# time,flux,flux_err
0.000000000000000000e+00,1.000000000000000000e+00,1.417455667077595826e-03
1.150000000009754331e-03,9.981862556710704437e-01,1.329613344047434961e-03
2.288000000007173185e-03,9.902854376394372160e-01,1.306654555073642841e-03
3.425000000007116796e-03,9.931742522172699594e-01,1.301663513992383807e-03
4.563000000004535650e-03,9.920542625986354945e-01,1.323624094749923860e-03
5.700000000004479261e-03,9.917498090926786247e-01,1.338597217993701179e-03
6.837000000004422873e-03,9.966470186016100907e-01,1.349577508372471315e-03
7.974000000004366484e-03,1.007107242499712951e+00,1.345584675507464131e-03
9.111000000004310095e-03,9.956088820567081665e-01,1.299667097559880106e-03
1.024800000000425371e-02,9.938570266371862250e-01,1.320629470101168310e-03
1.138600000000167256e-02,9.878478131753501978e-01,1.324622302966175710e-03
1.252300000000161617e-02,9.942293583018481096e-01,1.321627678317420377e-03
1.366100000001324588e-02,9.960121581760740250e-01,1.349577508372471315e-03
1.479900000001066473e-02,9.989478885400706609e-01,1.368543464481256251e-03
1.593600000001060835e-02,9.991285642272123013e-01,1.360557798751241667e-03
1.707400000000802720e-02,9.958444591957436032e-01,1.378525546643774536e-03
1.821100000000797081e-02,1.000519068272450962e+00,1.460378620376424517e-03
1.934800000000791442e-02,1.001311645596155042e+00,1.435423414970128696e-03
2.048500000000785803e-02,9.943900698246647130e-01,1.381520171292529870e-03
2.162400000000275213e-02,9.978139240064084481e-01,1.445405497132646981e-03
2.276100000000269574e-02,9.972469417395773972e-01,1.543229902325326131e-03
2.389900000000011460e-02,9.961988231125129545e-01,1.456385787511417116e-03
2.958399999999983265e-02,1.001753851835954556e+00,1.393498669887551855e-03
3.072099999999977626e-02,9.950159463762545675e-01,1.415459250645092126e-03
3.185799999999971988e-02,1.004756462150439900e+00,1.474353535403949986e-03
3.299499999999966349e-02,9.998462759346972151e-01,1.474353535403949986e-03
3.413300000001129320e-02,9.947564122400291975e-01,1.462375036808928001e-03
3.527000000001123681e-02,1.005120808149371880e+00,1.522267529784037711e-03
3.640700000001118042e-02,9.940337094914628580e-01,1.531251403730304146e-03
3.754600000000607452e-02,9.964054522132772540e-01,1.521269321567785861e-03
3.868300000000601813e-02,1.000513079023153340e+00,1.465369661457683334e-03
3.982000000000596174e-02,9.976013056563468595e-01,1.468364286106439102e-03
4.095700000000590535e-02,9.926032771175739011e-01,1.447401913565150465e-03
4.209500000000332420e-02,1.002337803642461944e+00,1.453391162862661566e-03
4.323200000000326781e-02,9.968466602448604608e-01,1.499308740810245807e-03
4.436900000000321143e-02,1.001224801481341187e+00,1.535244236595311547e-03
4.550600000000315504e-02,9.983549528596168399e-01,1.570181524164125436e-03
4.664300000000309865e-02,9.989728437454769017e-01,1.523265738000289561e-03
4.778000000000304226e-02,9.959013570640700141e-01,1.447401913565150465e-03
4.891800000000046111e-02,9.997155106583681672e-01,1.439416247835135880e-03
5.005600000001209082e-02,1.008168337833588835e+00,1.439416247835135880e-03
5.119400000000950968e-02,1.011273763594348063e+00,1.450396538213906232e-03
5.233200000000692853e-02,1.002398694343653140e+00,1.464371453241431701e-03
5.346900000000687214e-02,1.001918556191635945e+00,1.480342784701460870e-03
5.460600000000681575e-02,9.939308940451888619e-01,1.495315907945238190e-03
5.574300000000675936e-02,9.908843625691883261e-01,1.578167189894140020e-03
5.688000000000670298e-02,9.985306375056773875e-01,1.586152855624154605e-03
5.801700000000664659e-02,9.929296912042883116e-01,1.683977260816833755e-03
5.915400000000659020e-02,9.976212698206718965e-01,1.671000554005559920e-03
6.029100000000653381e-02,1.002520475746035977e+00,1.635065058220494180e-03
6.142800000000647742e-02,9.999301254248623705e-01,1.562195858434110851e-03
6.256500000000642103e-02,1.001358561382318602e+00,1.590145688489162006e-03
6.370300000000383989e-02,1.002309853812406670e+00,1.568185107731621735e-03
6.484000000000378350e-02,9.932281554609475593e-01,1.587151063840406455e-03
6.597800000000120235e-02,9.995258510972804267e-01,1.594138521354169190e-03
6.711500000000114596e-02,1.006047145374053597e+00,1.546224526974081465e-03
6.825200000000108957e-02,9.896855145014697985e-01,1.548220943406585165e-03
7.052800000001013814e-02,9.884427452722364116e-01,1.423444916375106711e-03
7.166500000001008175e-02,1.001269720851072353e+00,1.420450291726351160e-03
7.280200000001002536e-02,9.966639881412864277e-01,1.419452083510099527e-03
7.394000000000744421e-02,9.994040696948977009e-01,1.449398329997654165e-03
7.507700000000738783e-02,9.998053493978309447e-01,1.456385787511417116e-03
7.621400000000733144e-02,9.917917338377612024e-01,1.467366077890187035e-03
