BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.472956, 1.003169, 0.001169, 1.233, 1359.
     93.473671, 1.002555, 0.001131, 1.232, 1334.
     93.474386, 1.002072, 0.001076, 1.231, 1317.
     93.475100, 1.002026, 0.001047, 1.230, 1320.
     93.475815, 0.999383, 0.001055, 1.229, 1328.
     93.476529, 0.999165, 0.001048, 1.229, 1332.
     93.477244, 1.000657, 0.001049, 1.228, 1342.
     93.477958, 0.999061, 0.001065, 1.227, 1372.
     93.478673, 0.995392, 0.001074, 1.226, 1394.
     93.479387, 1.000736, 0.001078, 1.225, 1398.
     93.480102, 0.995610, 0.001075, 1.224, 1407.
     93.480816, 1.001055, 0.001082, 1.223, 1417.
     93.481531, 0.993564, 0.001063, 1.222, 1435.
     93.482246, 0.997314, 0.001039, 1.221, 1454.
     93.482961, 0.998887, 0.001041, 1.220, 1478.
     93.483675, 0.995421, 0.001057, 1.219, 1513.
     93.484390, 0.993220, 0.001064, 1.218, 1531.
     93.485105, 0.998977, 0.001059, 1.217, 1540.
     93.485819, 1.000624, 0.001059, 1.216, 1556.
     93.486534, 0.993305, 0.001054, 1.215, 1572.
     93.487249, 0.998864, 0.001091, 1.214, 1600.
     93.487963, 0.997531, 0.001089, 1.213, 1635.
     93.488678, 0.998752, 0.001085, 1.212, 1654.
     93.489393, 0.993502, 0.001085, 1.211, 1666.
     93.490107, 0.986195, 0.001099, 1.210, 1678.
     93.490822, 1.004831, 0.001130, 1.209, 1691.
     93.491536, 0.999416, 0.001170, 1.208, 1719.
     93.492251, 0.995347, 0.001180, 1.207, 1728.
     93.492965, 1.000779, 0.001149, 1.206, 1729.
     93.493680, 1.005153, 0.001117, 1.205, 1757.
     93.494394, 0.999091, 0.001087, 1.205, 1799.
     93.495109, 0.998015, 0.001176, 1.204, 1908.
     93.495823, 0.993230, 0.001230, 1.203, 1943.
     93.496538, 1.000572, 0.001207, 1.202, 1938.
     93.497253, 0.990383, 0.001156, 1.201, 1952.
     93.502255, 0.994703, 0.001129, 1.194, 2154.
     93.502970, 0.994867, 0.001110, 1.194, 2169.
     93.503684, 1.002730, 0.001104, 1.193, 2211.
     93.504399, 1.006381, 0.001161, 1.192, 2341.
     93.505114, 0.997288, 0.001170, 1.191, 2432.
     93.505828, 0.994716, 0.001158, 1.190, 2474.
     93.506543, 0.990742, 0.001172, 1.189, 2531.
     93.507257, 0.995817, 0.001159, 1.188, 2605.
     93.507972, 1.002154, 0.001181, 1.187, 2699.
     93.508686, 0.996588, 0.001206, 1.186, 2784.
     93.509401, 0.997563, 0.001213, 1.186, 2867.
     93.510115, 0.996141, 0.001224, 1.185, 2951.
     93.510830, 0.993970, 0.001215, 1.184, 3002.
     93.511545, 1.003159, 0.001182, 1.183, 2955.
     93.512259, 1.005381, 0.001171, 1.182, 3024.
     93.512974, 1.008437, 0.001167, 1.181, 3092.
     93.513688, 0.996152, 0.001167, 1.180, 3150.
     93.514403, 1.001349, 0.001173, 1.180, 3260.
     93.515118, 1.004816, 0.001153, 1.179, 3334.
     93.515833, 0.998148, 0.001167, 1.178, 3415.
     93.516547, 0.995710, 0.001199, 1.177, 3539.
     93.517262, 0.995079, 0.001197, 1.176, 3614.
     93.517977, 0.998185, 0.001238, 1.175, 3765.
     93.518691, 1.007913, 0.001256, 1.175, 3870.
     93.519406, 1.006441, 0.001247, 1.174, 3955.
     93.520120, 1.002892, 0.001201, 1.173, 4020.
     93.520835, 0.995269, 0.001152, 1.172, 4125.
     93.521550, 0.998538, 0.001150, 1.171, 4267.
     93.522264, 1.007312, 0.001156, 1.170, 4330.
     93.522979, 0.993306, 0.001119, 1.170, 4369.
     93.523693, 1.005439, 0.001155, 1.169, 4517.
     93.524408, 0.998271, 0.001136, 1.168, 4761.
     93.525122, 0.993729, 0.001161, 1.167, 4968.
     93.525837, 0.997228, 0.001153, 1.166, 5151.
     93.526552, 0.996516, 0.001170, 1.165, 5445.
     93.527267, 0.997183, 0.001164, 1.165, 5614.
     93.527981, 1.000231, 0.001191, 1.164, 5885.
     93.528696, 1.003002, 0.001225, 1.163, 6246.
     93.529410, 0.997814, 0.001262, 1.162, 6617.
     93.530125, 0.992327, 0.001248, 1.162, 6877.
     93.530839, 1.000946, 0.001295, 1.161, 7287.
     93.531554, 0.999303, 0.001365, 1.160, 7806.
     93.532268, 0.994681, 0.001339, 1.159, 8190.
     93.532983, 0.992277, 0.001300, 1.158, 8235.
     93.533697, 0.990869, 0.001290, 1.158, 8130.
     93.534412, 0.993344, 0.001246, 1.157, 8276.
     93.535126, 1.001532, 0.001245, 1.156, 8506.
     93.535841, 0.979914, 0.001242, 1.155, 8810.
     93.536555, 0.998829, 0.001239, 1.155, 9164.
     93.537270, 0.993364, 0.001223, 1.154, 9459.
     93.537984, 0.985165, 0.001246, 1.153, 9824.
     93.538699, 0.988615, 0.001254, 1.152,10350.
     93.539414, 0.991966, 0.001246, 1.151,10867.
     93.540128, 0.988509, 0.001198, 1.151,11264.
     93.540843, 0.989780, 0.001203, 1.150,11677.
     93.541557, 0.989751, 0.001208, 1.149,12256.
     93.542272, 0.981966, 0.001194, 1.149,12286.
     93.542986, 0.990353, 0.001140, 1.148,12120.
     93.543701, 0.994185, 0.001120, 1.147,12297.
     93.544415, 0.998684, 0.001122, 1.146,12733.
     93.545130, 0.995074, 0.001105, 1.146,13007.
     93.545844, 0.988226, 0.001105, 1.145,13476.
     93.546559, 0.985397, 0.001107, 1.144,13956.
     93.547274, 0.988850, 0.001133, 1.143,14473.
     93.547988, 0.980472, 0.001142, 1.143,14931.
     93.548703, 0.990912, 0.001150, 1.142,15466.
     93.549418, 0.993322, 0.001170, 1.141,16230.
     93.550132, 1.001352, 0.001151, 1.141,16624.
     93.550847, 1.000749, 0.001128, 1.140,17242.
     93.551561, 0.996547, 0.001127, 1.139,17808.
     93.552276, 0.994066, 0.001097, 1.139,18221.
     93.552990, 0.991503, 0.001100, 1.138,18870.
     93.553705, 0.994676, 0.001079, 1.137,19268.
     93.554419, 0.990881, 0.001064, 1.136,19712.
     93.555134, 0.986379, 0.001068, 1.136,20638.
     93.555849, 0.992514, 0.001091, 1.135,21993.
     93.556564, 0.989207, 0.001088, 1.134,22680.
     93.557279, 0.983560, 0.001111, 1.134,23528.
     93.557993, 0.986158, 0.001077, 1.133,24210.
     93.558708, 0.986440, 0.001073, 1.132,24537.
     93.742958, 0.984676, 0.000977, 1.071,36436.
     93.743673, 0.986225, 0.000994, 1.071,36020.
     93.744387, 0.993522, 0.001014, 1.072,35924.
     93.745102, 0.975845, 0.001012, 1.072,35137.
     93.745817, 0.978002, 0.001024, 1.072,34298.
     93.746531, 0.987118, 0.001039, 1.072,34200.
     93.747246, 0.989674, 0.001055, 1.072,34828.
     93.747961, 0.985466, 0.001060, 1.073,34155.
     93.748676, 1.002259, 0.001050, 1.073,31618.
     93.749390, 0.995928, 0.001031, 1.073,29955.
     93.750105, 0.987017, 0.001039, 1.073,29704.
     93.750820, 0.985174, 0.001049, 1.074,29044.
     93.751534, 0.983494, 0.001036, 1.074,28078.
     93.752249, 0.986790, 0.001029, 1.074,27343.
     93.752964, 0.996706, 0.001061, 1.074,27013.
     93.753678, 0.995188, 0.001084, 1.075,26720.
     93.754393, 0.994934, 0.001080, 1.075,25655.
     93.755108, 0.987316, 0.001055, 1.075,24043.
     93.755823, 0.985391, 0.001061, 1.075,23355.
     93.756537, 0.998311, 0.001061, 1.076,22614.
     93.757252, 0.982860, 0.001060, 1.076,22108.
     93.757966, 0.992442, 0.001100, 1.076,22480.
     93.758681, 0.993807, 0.001112, 1.076,22367.
     93.759396, 0.989847, 0.001077, 1.077,20914.
     93.760111, 0.997809, 0.001075, 1.077,20007.
     93.760825, 0.985947, 0.001076, 1.077,19522.
     93.761540, 0.978837, 0.001101, 1.077,19473.
     93.762255, 0.992227, 0.001134, 1.078,19317.
     93.762969, 0.992956, 0.001103, 1.078,17953.
     93.763684, 0.998897, 0.001076, 1.078,16738.
     93.764399, 0.990848, 0.001073, 1.079,16157.
     93.765115, 0.994391, 0.001099, 1.079,16039.
     93.765829, 0.989283, 0.001129, 1.079,16272.
     93.766544, 0.991555, 0.001171, 1.080,16322.
     93.767259, 0.997362, 0.001214, 1.080,16223.
     93.767974, 0.990869, 0.001224, 1.080,15948.
     93.768688, 1.000724, 0.001211, 1.080,14946.
     93.770118, 0.984965, 0.001183, 1.081,13741.
     93.770832, 0.992835, 0.001133, 1.081,12536.
     93.771547, 0.992203, 0.001121, 1.082,11996.
     93.772261, 0.996931, 0.001152, 1.082,11663.
     93.772976, 0.995687, 0.001125, 1.082,11021.
     93.773690, 0.992392, 0.001106, 1.083,10459.
     93.774405, 0.984216, 0.001088, 1.083,10005.
     93.775120, 0.987107, 0.001089, 1.083, 9620.
     93.775834, 0.993870, 0.001084, 1.084, 9260.
     93.776549, 0.992659, 0.001073, 1.084, 8851.
     93.777263, 0.989018, 0.001074, 1.085, 8543.
     93.777978, 0.991652, 0.001108, 1.085, 8624.
     93.778693, 0.992017, 0.001127, 1.085, 8499.
     93.779407, 0.994256, 0.001113, 1.086, 8001.
     93.780122, 0.988346, 0.001110, 1.086, 7730.
     93.780837, 0.989094, 0.001082, 1.086, 7343.
     93.781551, 0.995502, 0.001052, 1.087, 6865.
     93.782266, 0.989293, 0.001025, 1.087, 6421.
     93.782980, 0.994850, 0.001013, 1.088, 6049.
     93.783695, 0.989069, 0.000996, 1.088, 5757.
     93.784409, 0.988761, 0.000991, 1.088, 5557.
     93.785124, 0.990798, 0.001012, 1.089, 5538.
     93.785839, 0.985355, 0.001020, 1.089, 5495.
     93.786553, 0.989276, 0.001007, 1.090, 5273.
     93.787268, 0.988211, 0.000986, 1.090, 4998.
     93.787983, 0.985240, 0.000976, 1.090, 4775.
     93.788697, 0.991164, 0.000992, 1.091, 4683.
     93.789412, 0.987686, 0.000982, 1.091, 4469.
     93.790127, 0.992430, 0.000977, 1.092, 4294.
     93.790842, 0.990181, 0.000968, 1.092, 4159.
     93.791556, 0.988458, 0.000969, 1.092, 4045.
     93.792271, 0.993079, 0.000976, 1.093, 3951.
     93.792985, 0.989608, 0.000981, 1.093, 3883.
     93.793700, 0.990760, 0.000984, 1.094, 3792.
     93.794414, 0.993888, 0.000970, 1.094, 3657.
     93.795129, 0.986241, 0.000957, 1.095, 3543.
     93.795843, 0.990226, 0.000966, 1.095, 3465.
     93.796558, 0.992804, 0.000965, 1.095, 3388.
     93.797272, 0.990356, 0.000960, 1.096, 3291.
     93.797987, 0.990506, 0.000956, 1.096, 3195.
     93.798702, 0.987366, 0.000955, 1.097, 3139.
     93.799416, 0.990887, 0.000968, 1.097, 3115.
     93.800131, 0.993466, 0.000976, 1.098, 3070.
     93.800846, 0.993118, 0.000966, 1.098, 3001.
     93.801560, 0.990119, 0.000955, 1.099, 2963.
     93.802275, 0.988162, 0.000956, 1.099, 2924.
     93.802989, 0.992247, 0.000952, 1.100, 2830.
     93.803704, 0.988296, 0.000939, 1.100, 2735.
     93.804418, 0.992717, 0.000940, 1.101, 2668.
     93.805133, 0.982740, 0.000936, 1.101, 2641.
     93.805848, 0.991584, 0.000944, 1.102, 2613.
     93.806562, 0.989884, 0.000946, 1.102, 2578.
     93.807278, 0.990148, 0.000954, 1.103, 2558.
     93.807993, 0.990292, 0.000962, 1.103, 2546.
     93.808708, 0.988091, 0.000957, 1.104, 2494.
     93.809422, 0.990922, 0.000952, 1.104, 2437.
     93.810137, 0.985433, 0.000946, 1.105, 2395.
     93.810852, 0.986766, 0.000944, 1.105, 2384.
     93.811566, 0.990360, 0.000950, 1.106, 2378.
     93.812281, 0.996360, 0.000953, 1.106, 2362.
     93.812995, 0.993249, 0.000949, 1.107, 2334.
     93.813710, 0.990366, 0.000942, 1.107, 2286.
     93.814425, 0.990719, 0.000933, 1.108, 2253.
     93.815140, 0.987956, 0.000926, 1.108, 2226.
     93.815854, 0.994131, 0.000924, 1.109, 2174.
     93.816568, 0.994042, 0.000932, 1.109, 2114.
     93.817283, 0.988730, 0.000923, 1.110, 2097.
     93.817998, 0.992818, 0.000920, 1.110, 2092.
     93.818712, 0.993309, 0.000923, 1.111, 2081.
     93.819427, 0.990927, 0.000922, 1.112, 2074.
     93.820142, 0.991830, 0.000924, 1.112, 2080.
     93.820856, 0.987355, 0.000926, 1.113, 2102.
     93.821571, 0.994646, 0.000939, 1.113, 2125.
     93.822285, 0.991361, 0.000937, 1.114, 2114.
     93.823000, 0.990874, 0.000941, 1.114, 2124.
     93.823715, 0.991176, 0.000941, 1.115, 2112.
     93.824430, 0.994457, 0.000941, 1.116, 2085.
     93.825145, 0.989198, 0.000934, 1.116, 2069.
     93.825859, 0.996895, 0.000938, 1.117, 2052.
     93.826574, 0.991192, 0.000940, 1.117, 2060.
