BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.473154, 1.001795, 0.001420, 1.233, 3340.
     93.474304, 0.999978, 0.001332, 1.231, 3232.
     93.475442, 0.992063, 0.001309, 1.229, 3235.
     93.476579, 0.994957, 0.001304, 1.228, 3276.
     93.477717, 0.993835, 0.001326, 1.226, 3369.
     93.478854, 0.993530, 0.001341, 1.225, 3480.
     93.479991, 0.998436, 0.001352, 1.223, 3553.
     93.481128, 1.008915, 0.001348, 1.222, 3637.
     93.482265, 0.997396, 0.001302, 1.220, 3740.
     93.483402, 0.995641, 0.001323, 1.219, 3861.
     93.484540, 0.989621, 0.001327, 1.217, 3921.
     93.485677, 0.996014, 0.001324, 1.215, 3972.
     93.486815, 0.997800, 0.001352, 1.214, 3999.
     93.487953, 1.000741, 0.001371, 1.212, 4113.
     93.489090, 1.000922, 0.001363, 1.211, 4123.
     93.490228, 0.997632, 0.001381, 1.209, 4078.
     93.491365, 1.002315, 0.001463, 1.208, 4035.
     93.492502, 1.003109, 0.001438, 1.206, 3951.
     93.493639, 0.996175, 0.001384, 1.205, 3959.
     93.494778, 0.999605, 0.001448, 1.204, 4135.
     93.495915, 0.999037, 0.001546, 1.202, 4175.
     93.497053, 0.997987, 0.001459, 1.201, 4165.
     93.502738, 1.003552, 0.001396, 1.193, 4143.
     93.503875, 0.996802, 0.001418, 1.192, 4235.
     93.505012, 1.006560, 0.001477, 1.191, 4389.
     93.506149, 1.001641, 0.001477, 1.189, 4440.
     93.507287, 0.996542, 0.001465, 1.188, 4522.
     93.508424, 1.006925, 0.001525, 1.186, 4614.
     93.509561, 0.995818, 0.001534, 1.185, 4646.
     93.510700, 0.998194, 0.001524, 1.184, 4619.
     93.511837, 1.002309, 0.001468, 1.182, 4530.
     93.512974, 0.999392, 0.001471, 1.181, 4532.
     93.514111, 0.994385, 0.001450, 1.179, 4619.
     93.515249, 1.004137, 0.001456, 1.178, 4694.
     93.516386, 0.998636, 0.001502, 1.177, 4804.
     93.517523, 1.003022, 0.001538, 1.175, 4896.
     93.518660, 1.000147, 0.001573, 1.174, 5033.
     93.519797, 1.000766, 0.001526, 1.173, 5044.
     93.520934, 0.997689, 0.001450, 1.171, 5131.
     93.522072, 1.001510, 0.001442, 1.170, 5158.
     93.523210, 1.009978, 0.001442, 1.169, 5131.
     93.524348, 1.013089, 0.001453, 1.168, 5372.
     93.525486, 1.004198, 0.001467, 1.166, 5597.
     93.526623, 1.003717, 0.001483, 1.165, 5968.
     93.527760, 0.995715, 0.001498, 1.164, 6234.
     93.528897, 0.992663, 0.001581, 1.162, 6726.
     93.530034, 1.000323, 0.001589, 1.161, 6999.
     93.531171, 0.994712, 0.001687, 1.160, 7638.
     93.532308, 0.999412, 0.001674, 1.159, 8130.
