time,flux,flux_err
6.009225898393988609e+04,1.004672716487359674e+00,3.304714439680399990e-03
6.009226037282450125e+04,1.002370906632821912e+00,3.303710211173099907e-03
6.009226176170865074e+04,1.003611150070892855e+00,3.304635614453699938e-03
6.009226315059373155e+04,1.000360540241844731e+00,3.304148508718400112e-03
6.009226453947834671e+04,1.008248630949796443e+00,3.310353981982900196e-03
6.009226592836296186e+04,1.000871269141010211e+00,3.302379211834400100e-03
6.009226731724757701e+04,1.004861576849705118e+00,3.304557521349800204e-03
6.009226870613219216e+04,9.999865055116552437e-01,3.303054473141700011e-03
6.009227009501680732e+04,1.001661446402984712e+00,3.303901051195599990e-03
6.009227148390095681e+04,1.005439653241629205e+00,3.306210410701000083e-03
6.009227287278510630e+04,1.002475676340944366e+00,3.305026079972899801e-03
6.009227426167018712e+04,1.003108417905561600e+00,3.302498791899600213e-03
6.009227565055480227e+04,1.001953139764477418e+00,3.301718837025000020e-03
6.009227703943941742e+04,1.006056338864095290e+00,3.308615434258499813e-03
6.009227842832403257e+04,1.005758148156362441e+00,3.305495126677899815e-03
6.009227981720864773e+04,9.992283776594995670e-01,3.302448275423100054e-03
6.009228120609279722e+04,1.002600312934685656e+00,3.303652617508999901e-03
6.009228259497741237e+04,1.003791638852506107e+00,3.305066834811500043e-03
6.009228398386249319e+04,1.000614249117625976e+00,3.304648304583000188e-03
6.009228537274710834e+04,1.007189063716787958e+00,3.307052840058700115e-03
6.009228676163218915e+04,1.004328482085598218e+00,3.305895109794199874e-03
6.009228815051633865e+04,1.000482365483847502e+00,3.304437209161700025e-03
6.009228953940095380e+04,1.003745782581926704e+00,3.304435988957000157e-03
6.009229092828463763e+04,1.002429632646915536e+00,3.302344069937600008e-03
6.009229231716971844e+04,1.006049154298541248e+00,3.307190479154200041e-03
6.009229370605433360e+04,1.004703953728898869e+00,3.306935944443899818e-03
6.009229509493894875e+04,9.985238529138256158e-01,3.303250682065099909e-03
6.009229648382356390e+04,1.004254699721082611e+00,3.306050563878999964e-03
6.009229787270817906e+04,1.004719697298634307e+00,3.303208462980899898e-03
6.009229926159279421e+04,9.985263518931486448e-01,3.302861680791599995e-03
6.009230065047740936e+04,1.005205873725949939e+00,3.307278821977999855e-03
6.009230203936202452e+04,1.008630912311752725e+00,3.307318112570799967e-03
6.009230342824617401e+04,1.002362660001055561e+00,3.302026084580399982e-03
6.009230481713125482e+04,1.002050225111181136e+00,3.304440137653099924e-03
6.009230620601586998e+04,1.003059188012896064e+00,3.305379695308799902e-03
6.009230759490048513e+04,1.004107822211365519e+00,3.304913089013299804e-03
6.009230898378463462e+04,1.002925492619108461e+00,3.306520830788699846e-03
6.009231037266971543e+04,9.997189897751136423e-01,3.304033565431200182e-03
6.009231176155339926e+04,1.002645107139052749e+00,3.304682958397899863e-03
6.009231315043848008e+04,9.994158635832175452e-01,3.302844841966099797e-03
6.009231453932309523e+04,1.005200375971439186e+00,3.308676444495900135e-03
6.009231592820817605e+04,1.006797848503751647e+00,3.308748192535100087e-03
6.009231731709232554e+04,9.984267050926387554e-01,3.303769269082899862e-03
6.009231870597694069e+04,1.001547492945850104e+00,3.306681653774499931e-03
6.009232009486109018e+04,1.002629238620351027e+00,3.306595507319300131e-03
6.009232148374617100e+04,1.003565356274796372e+00,3.305962465096199798e-03
6.009232287263078615e+04,1.000270576986211912e+00,3.306334627544300128e-03
6.009232426151540130e+04,1.005175386178207564e+00,3.309217971362899986e-03
6.009232565040001646e+04,1.008823458668600015e+00,3.311685957485399970e-03
6.009232703928463161e+04,9.989178794786003346e-01,3.303957668695900029e-03
6.009232842816878110e+04,1.010365141487523655e+00,3.311724271914499862e-03
6.009232981705339625e+04,1.001171583981167679e+00,3.310015009104000025e-03
6.009233120593801141e+04,1.004817407390169004e+00,3.308932443452000053e-03
6.009233259482262656e+04,1.001735791037847934e+00,3.306272885184000174e-03
6.009233398370724171e+04,1.001891165077263501e+00,3.307491137604100066e-03
6.009233537259185687e+04,1.004382335090011624e+00,3.311588097064699886e-03
6.009233676147647202e+04,1.001341014779276062e+00,3.307427930998100164e-03
6.009233815036062151e+04,1.003332888723261984e+00,3.316058195137099821e-03
6.009233953924570233e+04,1.002328736356744354e+00,3.314450453361700213e-03
6.009234092813031748e+04,1.000937054771691592e+00,3.309897869448299827e-03
6.009234231701493263e+04,1.005336133023168488e+00,3.314534403448299998e-03
6.009234370589954779e+04,1.001234245887695273e+00,3.310403766336600037e-03
6.009234509478416294e+04,1.007472635395480376e+00,3.316748586983300079e-03
6.009234648366831243e+04,1.005219180790845490e+00,3.313417672063299901e-03
6.009234787255292758e+04,1.007209430398271710e+00,3.317864586245499858e-03
6.009234926143707708e+04,9.985146066903296536e-01,3.311953182325199935e-03
6.009235065032215789e+04,1.004590250169696386e+00,3.316028910223200142e-03
6.009235203920677304e+04,1.005448087296844761e+00,3.317190545142899814e-03
6.009235342809138820e+04,1.005555106086357897e+00,3.318397571679300093e-03
6.009235481697600335e+04,1.007341938776880719e+00,3.319034762598500193e-03
6.009235620586061850e+04,1.000842905725692900e+00,3.313102859238400109e-03
6.009235759474476799e+04,1.001845558704616890e+00,3.318059819005099789e-03
6.009235898362938315e+04,1.003135656780183904e+00,3.315719222258200084e-03
6.009236037251353264e+04,1.003790326888361673e+00,3.315819523088499830e-03
6.009236176139861345e+04,1.006421439743204749e+00,3.318944223406200111e-03
6.009236315028322861e+04,9.987410766914888161e-01,3.313262950101300130e-03
6.009236453916784376e+04,1.009541165530203566e+00,3.326699844782099978e-03
6.009236592805245891e+04,1.005700859055379537e+00,3.319083326747399986e-03
6.009236731693660840e+04,1.000785241777811141e+00,3.317221294302600057e-03
6.009236870582168922e+04,1.003426225600981159e+00,3.320021908239299997e-03
6.009237009470630437e+04,9.972892946537148529e-01,3.316972128493099903e-03
6.009237148359091952e+04,1.012001223250378779e+00,3.327371933557100089e-03
6.009237287247506902e+04,9.994374797543629230e-01,3.317564415877599995e-03
6.009237426136014983e+04,1.006752429554553574e+00,3.322945518814600114e-03
6.009237565024383366e+04,1.003888911622659030e+00,3.321393418375599964e-03
6.009237703912891448e+04,1.005535676522120392e+00,3.322308815977299996e-03
6.009237842801306397e+04,1.005586343327897092e+00,3.321893214240299787e-03
