time,flux,flux_err
1.335427156297955662e+03,1.000000000000000000e+00,6.928035198787557952e-04
1.335447989991616623e+03,9.995062641602320275e-01,6.925134162000083377e-04
1.335468823685102052e+03,9.986788521063427737e-01,6.923356933785170149e-04
1.335489657378354877e+03,9.994022441459066153e-01,6.923162921230297624e-04
1.335510491071434217e+03,1.001408924542382284e+00,6.923965205851860321e-04
1.335531324764280953e+03,1.000015556146286455e+00,6.922237395929225524e-04
1.335552158456951702e+03,9.996878774825407321e-01,6.921641325910011079e-04
1.335572992149389165e+03,1.000406771359322988e+00,6.925614922670646342e-04
1.335593825841594708e+03,1.000662291995113140e+00,6.926117647026667351e-04
1.335614659533567647e+03,9.996949370991285999e-01,6.921716978604364277e-04
1.335635493225365963e+03,1.001390432095391025e+00,6.923771803399361149e-04
1.335656326916931221e+03,9.993487035139085872e-01,6.924363602701958872e-04
1.335677160608263648e+03,1.000878203808631906e+00,6.919272298392500128e-04
1.335697994299362790e+03,9.997471032924989398e-01,6.917927022658245870e-04
1.335718827990287082e+03,1.001064565191654543e+00,6.921255131107388256e-04
1.335739661680979907e+03,1.000626993912173912e+00,6.919811628890949404e-04
1.335760495371381921e+03,1.000331864454111930e+00,6.916242530004151640e-04
1.335781329061607948e+03,9.997692817339918214e-01,6.914794757071096067e-04
1.335802162751600918e+03,1.001387808167101712e+00,6.921071490292871400e-04
1.335822996441361511e+03,9.998112021121373649e-01,6.914308505479168591e-04
1.335843830130948163e+03,9.999548309487343856e-01,6.915660492339535149e-04
1.335864663820243095e+03,1.000890198909383022e+00,6.912580695556533794e-04
1.335885497509305651e+03,9.993213396903202206e-01,6.908098883518513011e-04
1.335906331198135376e+03,9.993207774199724946e-01,6.909554587782427591e-04
1.335927164886732498e+03,1.001442410865312160e+00,6.912568493509056982e-04
1.335947998575095426e+03,9.995499338239037801e-01,6.910656432669531977e-04
1.335968832263226432e+03,1.000556585169744661e+00,6.907054388254547147e-04
1.335989665951125289e+03,9.998428142005749697e-01,6.907131261153647049e-04
1.336010499638732881e+03,1.001522503152618704e+00,6.911045677984023732e-04
1.336031333326165395e+03,9.995637406846641371e-01,6.905244824613821289e-04
1.336052167013306189e+03,1.000318120067834826e+00,6.908072039014064893e-04
1.336073000700214152e+03,1.000488050661807904e+00,6.906792654336182599e-04
1.336093834386832896e+03,1.000821851824895248e+00,6.914010165418374692e-04
1.336114668073276334e+03,1.000272513695187548e+00,6.906232580357023068e-04
1.336135501759427598e+03,9.997351706662309656e-01,6.903588396668922968e-04
1.336156335445288050e+03,1.000169680696040730e+00,6.903055777296584908e-04
1.336177169130974335e+03,1.000235091479823701e+00,6.912172537068454010e-04
1.336198002816369808e+03,1.000152750111126476e+00,6.907328934322762943e-04
1.336218836501474016e+03,1.000303688462243601e+00,6.902914233545860831e-04
1.336239670186345620e+03,1.000469933061715055e+00,6.902474959836716207e-04
1.336260503870984166e+03,9.995094503588690671e-01,6.901877669612755057e-04
1.336281337555331675e+03,9.968249842954768347e-01,6.898749064639848622e-04
1.336302171239387690e+03,9.915586977443899830e-01,6.885616611043551480e-04
1.336323004923211101e+03,9.911178777917893923e-01,6.880054307701511003e-04
1.336343838606744839e+03,9.898108491313079016e-01,6.881182997093062423e-04
1.336364672290044609e+03,9.894050773637143026e-01,6.878454009175002330e-04
1.336385505973053114e+03,9.898481463977056860e-01,6.877280782310162552e-04
1.336406339655770580e+03,9.895853162473952080e-01,6.876292416464587420e-04
1.336427173338254988e+03,9.895590144900192620e-01,6.876468125948245269e-04
1.336448007020391287e+03,9.879600425701127175e-01,6.874466990162143550e-04
1.336468840702294756e+03,9.897013313624716258e-01,6.878086117443594182e-04
1.336489674383964484e+03,9.899601006713820706e-01,6.882441028187862193e-04
1.336510508065284512e+03,9.920797974077463222e-01,6.888896521405163224e-04
1.336531341746314183e+03,9.949558102362566769e-01,6.891160001212005013e-04
1.336552175427111024e+03,1.001591225084004666e+00,6.906516888063219013e-04
1.336573009107559528e+03,1.000942177679304157e+00,6.904704884012998660e-04
1.336593842787774292e+03,1.000762126219072456e+00,6.908583304803319345e-04
1.336614676467697109e+03,1.001068750982020861e+00,6.907981133760367036e-04
1.336635510147272043e+03,9.999062882753825265e-01,6.906036737495029401e-04
1.336656343826613693e+03,1.000320494098191793e+00,6.903045405556230323e-04
1.336677177505606096e+03,1.000273450812433795e+00,6.904590184766721617e-04
1.336739678540837531e+03,1.000740822420342679e+00,6.902994156956830749e-04
1.336760512218665781e+03,1.000871519038942559e+00,6.912182298706434158e-04
1.336781345896144330e+03,1.001077434935168764e+00,6.904036211811301034e-04
1.336802179573390504e+03,9.999945022454891363e-01,6.906524209291704667e-04
1.336823013250229906e+03,1.000743196450699646e+00,6.905259467070793680e-04
1.336843846926836022e+03,9.993234638227449507e-01,6.901746497602385564e-04
1.336864680603092893e+03,1.001647264695326056e+00,6.908004317650571786e-04
1.336885514279028712e+03,9.996334622077794885e-01,6.904673768791933820e-04
