#time,flux,flux_err
2.458798627900000196e+06,9.949723928441134291e-01,8.447120885689999659e-04
2.458798629579999950e+06,9.993119692013977540e-01,8.409926958020000429e-04
2.458798631260000169e+06,9.999062884923402006e-01,8.426984739409999585e-04
2.458798632980000228e+06,9.989472854711275440e-01,8.432931694419999865e-04
2.458798634889999870e+06,9.989875652764139691e-01,8.433071155990000531e-04
2.458798636620000005e+06,1.000093711507659799e+00,8.307050475669999767e-04
2.458798638300000224e+06,1.000388762660734621e+00,8.258231456509999933e-04
2.458798640250000171e+06,1.001088847304485663e+00,8.240705246799999570e-04
2.458798641929999925e+06,1.000296232154874065e+00,8.383227785130000116e-04
2.458798643610000145e+06,1.001892273251475229e+00,8.354746321600000237e-04
2.458798645330000203e+06,9.979260917823979948e-01,8.152577790780000336e-04
2.458798647229999769e+06,1.003184979879134575e+00,8.358834810140000540e-04
2.458798648959999904e+06,9.984569208076219393e-01,8.075434027559999679e-04
2.458798650630000047e+06,9.984999545183450564e-01,8.094312309459999501e-04
2.458798652590000071e+06,1.001238247651712099e+00,8.377702701949999971e-04
2.458798654269999824e+06,9.988661808905815453e-01,7.889927043670000263e-04
2.458798655939999968e+06,9.976528031957737630e-01,8.131976855349999558e-04
2.458798657809999771e+06,9.980137411636609279e-01,8.116991132960000048e-04
2.458798659489999991e+06,1.000283472213636671e+00,8.218465435260000236e-04
2.458798661170000210e+06,9.978017047314129417e-01,8.224822638070000387e-04
2.458798663120000158e+06,1.001300924669054737e+00,8.194847746380000018e-04
2.458798664789999835e+06,1.000679823619947451e+00,8.179975255680000312e-04
2.458798666470000055e+06,9.974466437364989391e-01,8.069305665180000198e-04
2.458798668409999926e+06,9.996540207786022147e-01,8.075415744659999963e-04
2.458798670090000145e+06,9.984413217234491267e-01,8.195703814429999498e-04
2.458798671769999899e+06,9.988785276258098644e-01,7.992290806259999504e-04
2.458798673700000159e+06,9.996714824578282199e-01,8.066166606580000035e-04
2.458798675379999913e+06,9.989406159923903683e-01,8.052167988639999992e-04
2.458798677060000133e+06,9.994055225466517145e-01,8.064452838499999634e-04
2.458798678940000013e+06,9.978095000874155351e-01,8.082796796080000479e-04
2.458798680610000156e+06,9.978515981813909086e-01,8.047084980559999871e-04
2.458798682299999986e+06,9.954797738127829643e-01,8.065956332689999675e-04
2.458798684229999781e+06,9.984894504499336465e-01,8.028770866059999501e-04
2.458798685920000076e+06,1.000573809780930468e+00,8.022135596020000181e-04
2.458798687599999830e+06,9.986499943493508669e-01,8.042066800229999510e-04
2.458798689559999853e+06,9.969391909100775440e-01,8.061193558329999989e-04
2.458798691229999997e+06,9.988029018501163314e-01,8.056222944100000470e-04
2.458798692900000140e+06,9.982552923618707164e-01,8.037999027229999821e-04
2.458798694850000087e+06,9.987077004958350157e-01,8.045542572939999842e-04
2.458798696529999841e+06,9.980801580117081295e-01,8.043896996269999690e-04
2.458798698189999908e+06,9.980035581132390421e-01,7.881967909469999667e-04
2.458798699909999967e+06,9.984980836955102967e-01,7.884648449299999943e-04
2.458798701799999923e+06,1.000267879952920547e+00,7.828535939769999848e-04
2.458798703530000057e+06,9.980218777554680232e-01,8.016958760489999994e-04
2.458798705219999887e+06,9.982300012589805371e-01,8.064372996649999716e-04
2.458798707100000232e+06,9.995685414981247963e-01,7.720653149919999873e-04
2.458798708779999986e+06,9.996734957199291394e-01,7.990521983760000540e-04
2.458798710460000206e+06,9.983823398239101143e-01,7.849700641519999703e-04
2.458798712340000086e+06,1.001595190577829086e+00,7.882491695079999567e-04
2.458798714010000229e+06,9.976159434964985140e-01,7.695277446130000497e-04
2.458798715689999983e+06,9.971544347839265132e-01,7.859727263340000143e-04
2.458798717650000006e+06,9.969531403515269341e-01,7.748873000780000285e-04
2.458798719320000149e+06,9.979573158779926345e-01,7.767802131210000413e-04
2.458798720989999827e+06,9.963958225162957705e-01,7.706373792349999717e-04
2.458798722870000172e+06,9.978159937643347188e-01,7.601942137670000387e-04
2.458798724539999850e+06,9.973049637706763448e-01,7.705908875319999671e-04
2.458798726410000119e+06,9.958574579578846064e-01,7.730341425080000011e-04
2.458798728089999873e+06,9.976452442255271391e-01,7.719916665329999922e-04
2.458798729979999829e+06,9.954192110104506108e-01,7.741774682230000018e-04
2.458798731639999896e+06,9.943215427706494358e-01,7.714261963360000531e-04
2.458798733399999794e+06,9.936236405971846652e-01,7.499956833939999635e-04
2.458798735129999928e+06,9.910071495329516589e-01,7.842136700349999984e-04
2.458798736949999817e+06,9.909962006160315529e-01,7.908389038450000172e-04
2.458798738679999951e+06,9.906044225620211918e-01,7.663583218160000335e-04
2.458798740579999983e+06,9.929037077485507456e-01,7.851040420159999559e-04
2.458798742310000118e+06,9.914056037689977785e-01,7.742531534900000357e-04
2.458798744140000083e+06,9.900140194580158148e-01,7.763484970890000090e-04
2.458798745860000141e+06,9.901731846027663764e-01,7.798696420579999573e-04
2.458798747549999971e+06,9.876963333528139266e-01,7.677497873729999950e-04
2.458798749480000231e+06,9.887191720546507634e-01,7.847202460890000163e-04
2.458798751159999985e+06,9.880050686266252935e-01,7.873710677220000257e-04
2.458798753039999865e+06,9.887100553297814010e-01,7.839591366490000377e-04
2.458798754720000084e+06,9.877513452529876892e-01,7.720780174509999988e-04
2.458798756610000040e+06,9.868188369910750879e-01,7.595604852759999925e-04
2.458798758289999794e+06,9.876765953461996705e-01,7.691657376470000538e-04
2.458798760230000131e+06,9.894240257075853640e-01,7.548033779569999699e-04
2.458798761909999885e+06,9.856688288378993024e-01,7.590786011439999747e-04
2.458798763850000221e+06,9.878400631362189710e-01,7.631123189690000109e-04
2.458798765529999975e+06,9.878926961315706023e-01,7.682878914450000504e-04
2.458798767210000195e+06,9.868110166407658701e-01,7.546690955289999878e-04
2.458798769150000066e+06,9.868890715843066097e-01,7.553916949909999764e-04
2.458798770829999819e+06,9.872113702353542131e-01,7.570306935810000408e-04
2.458798772780000232e+06,9.895003132709010440e-01,7.834387093940000475e-04
2.458798774470000062e+06,9.877407681867188538e-01,7.564564903139999819e-04
2.458798776409999933e+06,9.871896939542612603e-01,7.679872217740000206e-04
2.458798778090000153e+06,9.861462616824521188e-01,7.382488124649999508e-04
2.458798780019999947e+06,9.866244318408338154e-01,7.578091717200000034e-04
2.458798781700000167e+06,9.862486352532364720e-01,7.719686832850000246e-04
2.458798783590000123e+06,9.855043956897785451e-01,7.627238191540000383e-04
2.458798785269999877e+06,9.883608720635506106e-01,7.520766931509999904e-04
2.458798786929999944e+06,9.864998520837118257e-01,7.672259463199999690e-04
2.458798788809999824e+06,9.856765548407954158e-01,7.505052810990000319e-04
2.458798790490000043e+06,9.869409900626824328e-01,7.481874094249999635e-04
2.458798792429999914e+06,9.844036842880385940e-01,7.491817957389999968e-04
2.458798794110000134e+06,9.879138507492480903e-01,7.161426575569999680e-04
2.458798796060000081e+06,9.851257132871171773e-01,7.458811239440000249e-04
2.458798797739999834e+06,9.864807102044156339e-01,7.483487158700000228e-04
2.458798800720000174e+06,9.870377667605286787e-01,7.406958944199999598e-04
2.458798802629999816e+06,9.850875357782279407e-01,7.388620811339999782e-04
2.458798804349999875e+06,9.847231106147060764e-01,7.490263944309999812e-04
2.458798806179999840e+06,9.853091632255032151e-01,7.533890986149999885e-04
2.458798808929999825e+06,9.853680844143296591e-01,7.541319513629999964e-04
2.458798810829999857e+06,9.860551579788732202e-01,7.341988786600000443e-04
2.458798812570000067e+06,9.858132465205320383e-01,7.489335457440000334e-04
2.458798814470000099e+06,9.855554065029946686e-01,7.559215569630000275e-04
2.458798816190000158e+06,9.862133766671048463e-01,7.378653017849999681e-04
2.458798818099999800e+06,9.832952141302361282e-01,7.242183171029999969e-04
2.458798819829999935e+06,9.865729179776352442e-01,7.381087788939999852e-04
2.458798821500000078e+06,9.867447454847266819e-01,7.387765971599999587e-04
2.458798823309999891e+06,9.850639427710666807e-01,7.605394382080000147e-04
2.458798824980000034e+06,9.845233752084485701e-01,7.409892154839999500e-04
2.458798826650000177e+06,9.827728248994914706e-01,7.407401666519999655e-04
