#time,flux,flux_err
2.459538558945150115e+06,1.001377913826518640e+00,4.233390818789600427e-03
2.459538559396540746e+06,9.930760069232204001e-01,4.154417879564100032e-03
2.459538559836357366e+06,9.917068112870850438e-01,4.160216675638499575e-03
2.459538560276173986e+06,1.004603537779206412e+00,4.188302133318299626e-03
2.459538560715990607e+06,1.000485873874101594e+00,4.201353579625100206e-03
2.459538561155807227e+06,9.903402891366067662e-01,4.132753825962599825e-03
2.459538561595623381e+06,9.943355961862132553e-01,4.114870994244799844e-03
2.459538562035440002e+06,9.995141261258984056e-01,4.169809934324000128e-03
2.459538562475256622e+06,1.003932015176980830e+00,4.195485150188999791e-03
2.459538562915072776e+06,1.003048132544657634e+00,4.146958595786400317e-03
2.459538563354889862e+06,1.006755251231974180e+00,4.124787411147400398e-03
2.459538563794706482e+06,1.000471280055060808e+00,4.127301249764199660e-03
2.459538564234522171e+06,9.906161152144602466e-01,4.233326913973299750e-03
2.459538564674339723e+06,1.007941504651820308e+00,4.147876942664100418e-03
2.459538565114155877e+06,9.909095812624312272e-01,4.157271438686999630e-03
2.459538565565546509e+06,9.923490284309878229e-01,4.214427844151399580e-03
2.459538566005363129e+06,9.948410466065189528e-01,4.055036192181600205e-03
2.459538566445180215e+06,9.964242083204436495e-01,4.123862226657499901e-03
2.459538566884996369e+06,1.000832660731427959e+00,4.099986734364900395e-03
2.459538567324812524e+06,9.946857469065529811e-01,4.063245064895900337e-03
2.459538567764629144e+06,9.946870554882015769e-01,4.105442633183099647e-03
2.459538568192872219e+06,9.921494402036071802e-01,4.079645613887499661e-03
2.459538568632688373e+06,9.937113959376402406e-01,4.080729305410400048e-03
2.459538569072504528e+06,9.835823295674116507e-01,4.023532814277800372e-03
2.459538569512321148e+06,9.967709604397327894e-01,4.117308543451400280e-03
2.459538569952137768e+06,9.995085520038031746e-01,4.080148671897899752e-03
2.459538570391954388e+06,1.001623595523396304e+00,4.055083321489500077e-03
2.459538570831771009e+06,9.943943891799233992e-01,4.024450158330500349e-03
2.459538571271587163e+06,9.928222516184384006e-01,4.094428704239300339e-03
2.459538571711403783e+06,9.950281989661784454e-01,4.100351108694300431e-03
2.459538572139646392e+06,9.983496804968100546e-01,3.992767045893900156e-03
2.459538572579463013e+06,9.955116215686652392e-01,4.062189852000799677e-03
2.459538573019279167e+06,9.979614218458819908e-01,4.107442669815500151e-03
2.459538573459095787e+06,9.928723719380817547e-01,4.012122968746099742e-03
2.459538573898912407e+06,9.946840506871236220e-01,3.960876978793799810e-03
2.459538574338729028e+06,9.943547770985281531e-01,4.096435622716499726e-03
2.459538574778545648e+06,1.000924719349232994e+00,3.990603554419200338e-03
2.459538575218361802e+06,9.985331901610480232e-01,3.992216999913100056e-03
2.459538575658178423e+06,9.902315696978891690e-01,3.986871983162200428e-03
2.459538576097995043e+06,9.947292207467935965e-01,3.959933224253400254e-03
2.459538576526237652e+06,1.000776034228985534e+00,4.009011990976699830e-03
2.459538576966053806e+06,1.005546390264715706e+00,3.969658569173899892e-03
2.459538577405870426e+06,9.997563536800467832e-01,4.103089674966599841e-03
2.459538577845687047e+06,9.951609773202564346e-01,4.049415887384199761e-03
2.459538578285504133e+06,9.987147645024175846e-01,3.916637218143500382e-03
2.459538578725319821e+06,1.003547520358260225e+00,4.011986363272599873e-03
2.459538579165136442e+06,9.898677588539828154e-01,4.004037901418400214e-03
2.459538579604953062e+06,9.918873862762112026e-01,3.926010903168899654e-03
2.459538580044769682e+06,9.928645729707111789e-01,3.948265663721199810e-03
2.459538580484586302e+06,9.951168995978834086e-01,3.910088235583199581e-03
2.459538580912828445e+06,9.935705194611159641e-01,3.903816423694200007e-03
2.459538581352645066e+06,1.002907884137319128e+00,3.995925548361900156e-03
2.459538581792461686e+06,1.001415272915598509e+00,4.040072080271999572e-03
2.459538582232278306e+06,1.005927542046013201e+00,4.038868378545300286e-03
2.459538582672094461e+06,1.001631215213725223e+00,3.924905800020600348e-03
2.459538583111911081e+06,9.987401392809169831e-01,3.936792125946099626e-03
2.459538583551728167e+06,9.961759349324658119e-01,3.980678973670199669e-03
2.459538583991544321e+06,9.972608082195452139e-01,3.884238040313699788e-03
2.459538584431360476e+06,9.898761939568188062e-01,3.950063683092800391e-03
2.459538584871177096e+06,1.001957563026245168e+00,3.985038694138700287e-03
2.459538585310993716e+06,9.983525866559763706e-01,3.934374061200799667e-03
2.459538585750810336e+06,9.919787436837695926e-01,3.911227720770299975e-03
2.459538586190626957e+06,9.943662296784934185e-01,3.995168861238100264e-03
2.459538586665165611e+06,9.933752665723933895e-01,3.983977603868999601e-03
2.459538587104982231e+06,9.919848133743668361e-01,3.884342475482199884e-03
2.459538587544798851e+06,9.923521437961068115e-01,3.880332593063699938e-03
2.459538587984615006e+06,9.986184316430983809e-01,3.897567206866499843e-03
2.459538588424432091e+06,9.990578754171287601e-01,3.938882647166300037e-03
2.459538588864247780e+06,9.827236051262405736e-01,3.825457004434000031e-03
2.459538589304064866e+06,9.907869463492772200e-01,3.899503749169000184e-03
2.459538589732307009e+06,9.926556467902182268e-01,3.903879088956199901e-03
2.459538590183697641e+06,9.954025390788644456e-01,3.907510349706299832e-03
2.459538590611939784e+06,9.954291390605743972e-01,3.897322982914799838e-03
2.459538591051756404e+06,9.911645692695384424e-01,3.885295293982099930e-03
2.459538591491573025e+06,9.915453433111044435e-01,3.899609416943200079e-03
2.459538591931389645e+06,9.935178258826073971e-01,3.899917729980799906e-03
2.459538592371206265e+06,9.949136214929922284e-01,3.973541580044899837e-03
2.459538592811022419e+06,1.000305635416358641e+00,3.889685540054500183e-03
2.459538593250839040e+06,9.902084160077343489e-01,3.980308482570500163e-03
2.459538593679081649e+06,9.974845261818982012e-01,3.997481138251699796e-03
2.459538594130472280e+06,1.001846695450436808e+00,3.950736821399999932e-03
2.459538594558714423e+06,9.965874736629044550e-01,3.929214270685999974e-03
2.459538595010105055e+06,9.860982076264823704e-01,3.995216488176699804e-03
2.459538595449921675e+06,9.973095003399575775e-01,4.028503317870299645e-03
2.459538595889738295e+06,9.943164998649254294e-01,3.975016709052399747e-03
2.459538596329554450e+06,9.945901171643863892e-01,3.915257876772100347e-03
2.459538596757797059e+06,9.908955723625884060e-01,4.044373772789399725e-03
2.459538597197613679e+06,9.880218823135580308e-01,4.067415688687000229e-03
2.459538597637429833e+06,9.915176646599167531e-01,4.012549143897399875e-03
2.459538598077246454e+06,9.942342374914684422e-01,4.028057467151200353e-03
2.459538598517063074e+06,1.001540203801860596e+00,3.965818830148799823e-03
2.459538598956880160e+06,9.959408207011272163e-01,3.984404250299900148e-03
2.459538599396695849e+06,9.892550354565103898e-01,4.011784248006599642e-03
2.459538599848086480e+06,9.946853022636478192e-01,3.969764420936199717e-03
2.459538600276329089e+06,9.955127296297183737e-01,4.035060805612200249e-03
2.459538600716145709e+06,9.946270601819248158e-01,3.980067150415599574e-03
2.459538601155961864e+06,9.889848822021262142e-01,3.929972651487799798e-03
2.459538601595778484e+06,9.934771027203910254e-01,3.994381213743699796e-03
2.459538602035595104e+06,9.822490209731191690e-01,3.989339642419599888e-03
2.459538602475412190e+06,9.866627275332767733e-01,3.952655380825700199e-03
2.459538602915227879e+06,9.961101121837143690e-01,3.936661192788300234e-03
2.459538603355044499e+06,9.911258890318760395e-01,3.973508824785700402e-03
2.459538603794861119e+06,9.921171067863048254e-01,4.006179240912099634e-03
2.459538604234677274e+06,9.954131540606999673e-01,3.954591479396699777e-03
2.459538604674493894e+06,9.936710259157900405e-01,3.938696802457700326e-03
2.459538605114310514e+06,9.843213128120340549e-01,3.949015842875600209e-03
2.459538605554127134e+06,9.940610795916303699e-01,4.046432727878099787e-03
2.459538605993943755e+06,9.949137137808555797e-01,3.971816871409399909e-03
2.459538606433759909e+06,9.851691971444935803e-01,3.948603872018100272e-03
2.459538606862002052e+06,9.896483587078176436e-01,3.928946421077200019e-03
2.459538607301818673e+06,9.910920252890675908e-01,3.949829631581400213e-03
2.459538607741635758e+06,9.978336261831404208e-01,3.992516204496100382e-03
2.459538608181451913e+06,9.978077062707594314e-01,4.037819982980600346e-03
2.459538608621268068e+06,9.955046599458563517e-01,3.998561118227599888e-03
2.459538609061084688e+06,9.898014331362779972e-01,3.995260105750599727e-03
2.459538609489327762e+06,9.900087987893515518e-01,4.038350571926600276e-03
2.459538609929143451e+06,9.927766450644730511e-01,4.093488768674500081e-03
2.459538610368960071e+06,9.895931675164172381e-01,4.101146881186699955e-03
2.459538610808776692e+06,9.907170483659599736e-01,4.080216900538400152e-03
2.459538611248592846e+06,1.003074081505336945e+00,4.040480350547899675e-03
2.459538611688409001e+06,9.924333566168728193e-01,4.037935050043599781e-03
2.459538612128226086e+06,1.001250371859297106e+00,4.094620011698199905e-03
2.459538612568042241e+06,9.954704147571221684e-01,4.123521682745499677e-03
2.459538613007858861e+06,1.000440785661574905e+00,4.092619351766500074e-03
2.459538613447675481e+06,9.976192757242445808e-01,4.053813744065599793e-03
2.459538613887492102e+06,9.877514164580839529e-01,4.058249698080600154e-03
2.459538614327308256e+06,9.870101765820695761e-01,4.068617393077600050e-03
2.459538614755550865e+06,9.986631633186160428e-01,4.135463208309300177e-03
2.459538615195367020e+06,9.935291382698590024e-01,4.109417511976800122e-03
2.459538615635184105e+06,9.994965785119167556e-01,4.133401472488700164e-03
2.459538616075000260e+06,9.949614414038580046e-01,4.013199073642999964e-03
2.459538616514816415e+06,1.001574162270360890e+00,4.114933436693599990e-03
2.459538616954633035e+06,9.990392355150400361e-01,4.172829048980799746e-03
2.459538617394449655e+06,9.983461598590207542e-01,4.139377871131100055e-03
2.459538617834266275e+06,9.931899440057752049e-01,4.138592586280499808e-03
2.459538618274082430e+06,1.001065230321301680e+00,4.116788576708299736e-03
2.459538618713899050e+06,1.000718628375154351e+00,4.075761772566400404e-03
2.459538619142141193e+06,1.001394969278670555e+00,4.110868524770199678e-03
2.459538619581957813e+06,1.003033347117076479e+00,4.070194673433599752e-03
2.459538620021774434e+06,9.935809133918022118e-01,4.056915950963299773e-03
2.459538620461590588e+06,1.011133712302328069e+00,4.070406540834700312e-03
2.459538620901407208e+06,1.000224565070070959e+00,4.200775513118999889e-03
2.459538621329649352e+06,1.007053879119905515e+00,4.072238597397999718e-03
2.459538621769465972e+06,9.933368509574678207e-01,4.103936889774200368e-03
2.459538622209282592e+06,1.004641076346427520e+00,4.204576014963000256e-03
2.459538622637524735e+06,9.987377925357300290e-01,4.093043983030699579e-03
2.459538623077341355e+06,9.993121177792764209e-01,4.097130070041600167e-03
2.459538623517157976e+06,1.000851343548577299e+00,4.100128515017300267e-03
2.459538623956974130e+06,1.000494575993255086e+00,4.140117584752699836e-03
2.459538624385216739e+06,9.988347548092747497e-01,4.057323929589700187e-03
2.459538624825032894e+06,9.998231156208350345e-01,4.046791034083800122e-03
2.459538625264849048e+06,1.006240868055045423e+00,4.056930806726599843e-03
2.459538625704666134e+06,1.005779097051384019e+00,4.053116601875199690e-03
2.459538626144482289e+06,1.013942866631567075e+00,4.028864768528900298e-03
2.459538626572724897e+06,1.012760679518125428e+00,3.982787872009000384e-03
2.459538627012541052e+06,1.001463737027988632e+00,4.006119064093800405e-03
