#time,flux,flux_err
2278.52825,1.000908875916788343e+00,2.496562725017199835e-03
2278.53066,1.007677457615649530e+00,2.279500717150499851e-03
2278.53310,1.002223285420658305e+00,2.168731321461199804e-03
2278.53553,9.990164544298654192e-01,2.106032314892999999e-03
2278.53798,1.004358071701105137e+00,2.233921504576200090e-03
2278.54041,1.000132657684650317e+00,2.118898811665799811e-03
2278.54285,9.991781681044663577e-01,2.025513009748799911e-03
2278.54528,9.985419406418047927e-01,2.020001063534899999e-03
2278.54772,9.997085259143168035e-01,2.043097279302700121e-03
2278.55015,9.998673261049555450e-01,2.066125354519600128e-03
2278.55258,1.002197638601929564e+00,2.098017263331199925e-03
2278.55501,1.002928105738569498e+00,2.012422419694199788e-03
2278.55746,1.000997487724347934e+00,1.994133421303999863e-03
2278.55987,1.001143635940480392e+00,2.055544038631500203e-03
2278.56231,1.000954905013856644e+00,2.014575891067499954e-03
2278.56474,9.984171856854675564e-01,2.023154351469499870e-03
2278.56715,1.004140820195378314e+00,2.005463500813999943e-03
2278.56959,9.986831452103956952e-01,2.081979114055500148e-03
2278.57202,1.003816604762080900e+00,1.992997582409799899e-03
2278.57446,1.000092084593984243e+00,1.989100005985100159e-03
2278.57689,1.004308638353250016e+00,2.010399642582000150e-03
2278.57931,1.002758783103134821e+00,2.022011087105599850e-03
2278.58175,1.001960373185390774e+00,2.416804856982300055e-03
2278.58417,1.000105848169690059e+00,1.982760019102300115e-03
2278.58660,1.001078392009500329e+00,2.061309934765300205e-03
2278.58903,1.000674480519719189e+00,2.024353038896000139e-03
2278.59146,1.002621435807221628e+00,2.011229329575400186e-03
2278.59388,1.000851836948577933e+00,1.978182324367599824e-03
2278.59631,1.003892619134824304e+00,2.021714542771600211e-03
2278.59874,9.989496106400176378e-01,2.023676332432000190e-03
2278.60117,9.981279057146332789e-01,2.024359910050700043e-03
2278.60359,9.987061806804110597e-01,2.013834451176900030e-03
2278.60602,9.945693802040268539e-01,2.017071350501600021e-03
2278.60845,9.949777334050248223e-01,2.096615003163100014e-03
2278.61088,9.955295596184172702e-01,2.098541010417199863e-03
2278.61331,9.946677671903150220e-01,2.153076587241899934e-03
2278.61574,9.934001365113193094e-01,2.164051831526799842e-03
2278.61817,9.916657324066813217e-01,2.209366360958500003e-03
2278.62059,9.923925611134326585e-01,2.266543729764699828e-03
2278.62302,9.933302112261334083e-01,2.320400665136499938e-03
2278.62545,9.935120065968194858e-01,2.301119018951399819e-03
2278.62788,9.913531292693811281e-01,2.307633231169599862e-03
2278.63031,9.941283086607570763e-01,2.374842129624999808e-03
2278.63275,9.890959127782286142e-01,2.455271873459499796e-03
2278.63516,9.918975179165806511e-01,2.470647164733399959e-03
2278.63759,9.887154068957370034e-01,2.491177515478600144e-03
2278.64003,9.919913876687859178e-01,2.395920906412600093e-03
2278.64246,9.928861483426425494e-01,2.447398210556799795e-03
2278.64489,9.927746953127548624e-01,2.393826419101399792e-03
2278.64731,9.967755046161241861e-01,2.360386789671600153e-03
2278.64974,9.925806294424438514e-01,2.338014261262200046e-03
2278.65217,9.910319409597603268e-01,2.415371441141600170e-03
2278.65460,9.913366789874280549e-01,2.339195432212700168e-03
2278.65702,9.921107239224153940e-01,2.348248560888199863e-03
2278.65945,9.925837352106303690e-01,2.324846977675299863e-03
2278.66188,9.913429133811566540e-01,2.452088967280600072e-03
2278.66431,9.919888622894970087e-01,2.420948794397699989e-03
2278.66674,9.917569348374819516e-01,2.446141171066500142e-03
2278.66917,9.887516590089368007e-01,7.371840345783599834e-03
2278.67159,9.893509302016830764e-01,2.505427825977300186e-03
2278.67402,9.895424556687816287e-01,2.407221440402700172e-03
2278.67645,9.902013239325251348e-01,2.411329529091399849e-03
2278.67887,9.921003352432368194e-01,2.526582980749799822e-03
2278.68130,9.917157058271708348e-01,2.459197462113199908e-03
2278.68373,9.906608064430018068e-01,2.500944159630800068e-03
2278.68615,9.897118283097480207e-01,2.473448206591600217e-03
2278.68858,9.907398209683337953e-01,2.489107866845999880e-03
2278.69101,9.914394769173615618e-01,2.543299060072700020e-03
2278.69343,9.913903385862476991e-01,2.465891179441699783e-03
2278.69585,9.908329809562674839e-01,2.480800700691800174e-03
2278.69828,9.904035257788227353e-01,2.476979781000900049e-03
2278.70071,9.904474585130960129e-01,2.538406484658800068e-03
2278.70314,9.906883085272765177e-01,2.536179682177299843e-03
2278.70557,9.909568573448370721e-01,2.517566234101899919e-03
2278.70800,9.936248820804204351e-01,2.533277848189100130e-03
2278.71042,9.898823405494012739e-01,2.607101696364300114e-03
2278.71285,9.915114664524391497e-01,2.536594986050800127e-03
2278.71528,9.942428925725491640e-01,2.513621430909700021e-03
2278.71770,9.921191690987182232e-01,2.464240469996899826e-03
2278.72013,9.886849974871616542e-01,2.508291998663500152e-03
2278.72255,9.875697063530447517e-01,2.483400845298900077e-03
2278.72498,9.895219877654169993e-01,2.603099655807099809e-03
2278.72740,9.881355571620890066e-01,2.551405524892599950e-03
2278.72984,9.892865754912940623e-01,2.472159790893099958e-03
2278.73227,9.921853111587133345e-01,2.512880412923300041e-03
2278.73470,9.904534891479528369e-01,2.528801677471200025e-03
2278.73712,9.893782035757218152e-01,2.546217765903799942e-03
2278.73955,9.920590925070448263e-01,2.560498818288900209e-03
2278.74197,9.889079843525432345e-01,2.500271387044299912e-03
2278.74439,9.906657401994530820e-01,2.532005464373800196e-03
2278.74682,9.906001982736846179e-01,2.506819099988000059e-03
2278.74925,9.902716219846499079e-01,2.517947845293000073e-03
2278.75167,9.886388304057137644e-01,2.554631418721700024e-03
2278.75410,9.905346963767577284e-01,2.488929771717799874e-03
2278.75652,9.900378574397921128e-01,2.535058596714800157e-03
2278.75894,9.932717900689546076e-01,2.499177307505000192e-03
2278.76137,9.900671888591737746e-01,2.534256165436900212e-03
2278.76380,9.877268226199049650e-01,2.556854824828399923e-03
2278.76622,9.895049351333206067e-01,2.508767958568100184e-03
2278.76865,9.932837108738640230e-01,2.508295142393899852e-03
2278.77108,9.873041689981971736e-01,2.544241014670599842e-03
2278.77350,9.902179501198110634e-01,2.534026553165899791e-03
2278.77592,9.910284186898684622e-01,2.542303507711800217e-03
2278.77835,9.903857637484513310e-01,2.512636502239300011e-03
2278.78078,9.901631463019219259e-01,2.535268746455399905e-03
2278.78320,9.937510373188145341e-01,2.531077565178499987e-03
2278.78562,9.916304162651070619e-01,2.553235029467300181e-03
2278.78805,9.935006317712662405e-01,2.545922460296500076e-03
2278.79048,9.924460320621951714e-01,2.551932891822400028e-03
2278.79291,9.912896891849123371e-01,2.568108037684300061e-03
2278.79534,9.921163771148490129e-01,7.701355046793600251e-03
2278.79776,9.978534322739086582e-01,2.807529307075300098e-03
2278.80018,9.913853972644768309e-01,2.546406195163799808e-03
2278.80262,9.954204097024771380e-01,2.544458155999700013e-03
2278.80505,9.938504118703880286e-01,2.558696053290599858e-03
2278.80748,9.918863665373062188e-01,2.671862589394499894e-03
2278.80991,9.965627374217507217e-01,2.553905116157099975e-03
2278.81235,9.902999704965129713e-01,2.527107094553700164e-03
2278.81478,9.918465317784225244e-01,2.503208228918799971e-03
2278.81720,9.920627193316924330e-01,2.509281274996200215e-03
2278.81963,9.908950313133592092e-01,2.574925527931000175e-03
2278.82206,9.949807078361994073e-01,7.659511657006499476e-03
2278.82449,9.922880727875208473e-01,2.606569650285999948e-03
2278.82692,9.906669980689108979e-01,2.567122423305999868e-03
2278.82935,9.933182131076636612e-01,2.586570666257600147e-03
2278.83177,9.916241685394375782e-01,2.554077358194400005e-03
2278.83420,9.908588035127767757e-01,2.863790301363999900e-03
2278.83663,9.936019443772764470e-01,2.594174630227400087e-03
2278.83906,9.912180810364296102e-01,2.670058924206799959e-03
