#time,flux,flux_err
2.460278528254365083e+06,1.000837456125677205e+00,2.496562725017199835e-03
2.460278530661774334e+06,1.007096259749528322e+00,2.279500717150499851e-03
2.460278533103905618e+06,1.002049819560403288e+00,2.168731321461199804e-03
2.460278535534462426e+06,9.990945312372359055e-01,2.106032314892999999e-03
2.460278537976592779e+06,1.004021998989153452e+00,2.233921504576200090e-03
2.460278540407150518e+06,1.000122189707413067e+00,2.118898811665799811e-03
2.460278542849281337e+06,9.992433512545012553e-01,2.025513009748799911e-03
2.460278545279838145e+06,9.986579790194847206e-01,2.020001063534899999e-03
2.460278547721969429e+06,9.997315784776293901e-01,2.043097279302700121e-03
2.460278550152526237e+06,9.998778102925870437e-01,2.066125354519600128e-03
2.460278552583083045e+06,1.002026149826964252e+00,2.098017263331199925e-03
2.460278555013639852e+06,1.002700524915586477e+00,2.012422419694199788e-03
2.460278557455771137e+06,1.000919142298434705e+00,1.994133421303999863e-03
2.460278559874753933e+06,1.001053882571719233e+00,2.055544038631500203e-03
2.460278562305310741e+06,1.000879886893605519e+00,2.014575891067499954e-03
2.460278564735867549e+06,9.985432362536811324e-01,2.023154351469499870e-03
2.460278567154849879e+06,1.003821118270098012e+00,2.005463500813999943e-03
2.460278569585406687e+06,9.987878671439468503e-01,2.081979114055500148e-03
2.460278572015963495e+06,1.003521408534244985e+00,1.992997582409799899e-03
2.460278574458094314e+06,1.000084816642089036e+00,1.989100005985100159e-03
2.460278576888651121e+06,1.003976287113046872e+00,2.010399642582000150e-03
2.460278579307633918e+06,1.002544164045768182e+00,2.022011087105599850e-03
2.460278581749764737e+06,1.001807201453137175e+00,2.416804856982300055e-03
2.460278584168747067e+06,1.000097494519341490e+00,1.982760019102300115e-03
2.460278586599303875e+06,1.000993729168163648e+00,2.061309934765300205e-03
2.460278589029860217e+06,1.000621412512894048e+00,2.024353038896000139e-03
2.460278591460417025e+06,1.002417348691996946e+00,2.011229329575400186e-03
2.460278593879399821e+06,1.000784878679978007e+00,1.978182324367599824e-03
2.460278596309956163e+06,1.003591669358610439e+00,2.021714542771600211e-03
2.460278598740512505e+06,9.990330234705575574e-01,2.023676332432000190e-03
2.460278601171069313e+06,9.982772231289905873e-01,2.024359910050700043e-03
2.460278603590052109e+06,9.988090581035330429e-01,2.013834451176900030e-03
2.460278606020607986e+06,9.950107024251902965e-01,2.017071350501600021e-03
2.460278608451164793e+06,9.953850034960316506e-01,2.096615003163100014e-03
2.460278610881721135e+06,9.958910372309776049e-01,2.098541010417199863e-03
2.460278613312277012e+06,9.951008721548207925e-01,2.153076587241899934e-03
2.460278615742833819e+06,9.939397389978885666e-01,2.164051831526799842e-03
2.460278618173390161e+06,9.923532422264093045e-01,2.209366360958500003e-03
2.460278620592372492e+06,9.930177796121990585e-01,2.266543729764699828e-03
2.460278623022928834e+06,9.938757277938984336e-01,2.320400665136499938e-03
2.460278625453485176e+06,9.940421560046143190e-01,2.301119018951399819e-03
2.460278627884041052e+06,9.920675668645482226e-01,2.307633231169599862e-03
2.460278630314597860e+06,9.946065694761743181e-01,2.374842129624999808e-03
2.460278632745154202e+06,9.900072274002829076e-01,2.455271873459499796e-03
2.460278635164136067e+06,9.925651147372981375e-01,2.470647164733399959e-03
2.460278637594692409e+06,9.896603313768833621e-01,2.491177515478600144e-03
2.460278640025248285e+06,9.926509328842529900e-01,2.395920906412600093e-03
2.460278642455804627e+06,9.934693186884165916e-01,2.447398210556799795e-03
2.460278644886360504e+06,9.933673422761940541e-01,2.393826419101399792e-03
2.460278647305342834e+06,9.970345357000435227e-01,2.360386789671600153e-03
2.460278649735898711e+06,9.931898024011820425e-01,2.338014261262200046e-03
2.460278652166454587e+06,9.917741315189180229e-01,2.415371441141600170e-03
2.460278654597010929e+06,9.920525358952503314e-01,2.339195432212700168e-03
2.460278657015992794e+06,9.927600438757646639e-01,2.348248560888199863e-03
2.460278659446548671e+06,9.931926434427627015e-01,2.324846977675299863e-03
2.460278661877104547e+06,9.920582323653854839e-01,2.452088967280600072e-03
2.460278664307660423e+06,9.926486240202943012e-01,2.420948794397699989e-03
2.460278666738216300e+06,9.924366039388118343e-01,2.446141171066500142e-03
2.460278669168772176e+06,9.896933761230869431e-01,7.371840345783599834e-03
2.460278671587754041e+06,9.902397873384002347e-01,2.505427825977300186e-03
2.460278674018308986e+06,9.904144825044757239e-01,2.407221440402700172e-03
2.460278676448865328e+06,9.910156881244350791e-01,2.411329529091399849e-03
2.460278678867847193e+06,9.927505448683532352e-01,2.526582980749799822e-03
2.460278681298402604e+06,9.923989185397923407e-01,2.459197462113199908e-03
2.460278683728958480e+06,9.914351737606922343e-01,2.500944159630800068e-03
2.460278686147939879e+06,9.905689972022070355e-01,2.473448206591600217e-03
2.460278688578495756e+06,9.915073281476386446e-01,2.489107866845999880e-03
2.460278691009051166e+06,9.921464682653590161e-01,2.543299060072700020e-03
2.460278693428033032e+06,9.921015666416921341e-01,2.465891179441699783e-03
2.460278695847013965e+06,9.915924066162571382e-01,2.480800700691800174e-03
2.460278698277569376e+06,9.912002669028494584e-01,2.476979781000900049e-03
2.460278700708124787e+06,9.912403751895345616e-01,2.538406484658800068e-03
2.460278703138680197e+06,9.914602874843763125e-01,2.536179682177299843e-03
2.460278705569236074e+06,9.917055481817471652e-01,2.517566234101899919e-03
2.460278707999791019e+06,9.941455041486862987e-01,2.533277848189100130e-03
2.460278710418772418e+06,9.907245758788604251e-01,2.607101696364300114e-03
2.460278712849327829e+06,9.922122545314902009e-01,2.536594986050800127e-03
2.460278715279882774e+06,9.947115414987262039e-01,2.513621430909700021e-03
2.460278717698864173e+06,9.927677658861084886e-01,2.464240469996899826e-03
2.460278720129419118e+06,9.896326132591788394e-01,2.508291998663500152e-03
2.460278722548400518e+06,9.886165637047535926e-01,2.483400845298900077e-03
2.460278724978955463e+06,9.903958117474779277e-01,2.603099655807099809e-03
2.460278727397936396e+06,9.891319331641138524e-01,2.551405524892599950e-03
2.460278729840065818e+06,9.901810947150367914e-01,2.472159790893099958e-03
2.460278732270620763e+06,9.928282462357290727e-01,2.512880412923300041e-03
2.460278734701176174e+06,9.912458809701593099e-01,2.528801677471200025e-03
2.460278737120156642e+06,9.902646621829515050e-01,2.546217765903799942e-03
2.460278739550712053e+06,9.927128349983008748e-01,2.560498818288900209e-03
2.460278741969692521e+06,9.898358833867210160e-01,2.500271387044299912e-03
2.460278744388672989e+06,9.914396790086310585e-01,2.532005464373800196e-03
2.460278746819228400e+06,9.913798312258345069e-01,2.506819099988000059e-03
2.460278749249782879e+06,9.910798553941528866e-01,2.517947845293000073e-03
2.460278751668763813e+06,9.895905335367713995e-01,2.554631418721700024e-03
2.460278754099318758e+06,9.913200236036335822e-01,2.488929771717799874e-03
2.460278756518299226e+06,9.908664938140402390e-01,2.535058596714800157e-03
2.460278758937280159e+06,9.938222508924648979e-01,2.499177307505000192e-03
2.460278761367834173e+06,9.908932626674102906e-01,2.534256165436900212e-03
2.460278763798389118e+06,9.887596361954760216e-01,2.556854824828399923e-03
2.460278766217370052e+06,9.903802566589531287e-01,2.508767958568100184e-03
2.460278768647924531e+06,9.938331625910468148e-01,2.508295142393899852e-03
2.460278771078479011e+06,9.883748083618912883e-01,2.544241014670599842e-03
2.460278773497459479e+06,9.910308639457069413e-01,2.534026553165899791e-03
2.460278775916439947e+06,9.917709140794687128e-01,2.542303507711800217e-03
2.460278778346994426e+06,9.911840515596024304e-01,2.512636502239300011e-03
2.460278780777548905e+06,9.909808417542788073e-01,2.535268746455399905e-03
2.460278783196529374e+06,9.942610238753868401e-01,2.531077565178499987e-03
2.460278785615509376e+06,9.923209641118283519e-01,2.553235029467300181e-03
2.460278788046063855e+06,9.940317418756221546e-01,2.545922460296500076e-03
2.460278790476618335e+06,9.930666855159471229e-01,2.551932891822400028e-03
2.460278792907172348e+06,9.920096015767685405e-01,2.568108037684300061e-03
