#time,flux,flux_err
2.459908624327380210e+06,9.994340283530176450e-01,6.044567095959000116e-04
2.459908625531086698e+06,9.936761959634959895e-01,6.028486180855999665e-04
2.459908626734792721e+06,1.000565971646981911e+00,6.036039993056000483e-04
2.459908627938499209e+06,1.000828870593765574e+00,6.145836733559000443e-04
2.459908629142205231e+06,9.988076150617452020e-01,6.156837985856999625e-04
2.459908630345912185e+06,1.004973116347947393e+00,6.098960555182000257e-04
2.459908631549617741e+06,1.001318169587642304e+00,6.085425132877999611e-04
2.459908632741749752e+06,9.983448582415219708e-01,6.094713801224999842e-04
2.459908633933882229e+06,9.989227177143360503e-01,6.110261159873000333e-04
2.459908635126014240e+06,1.001576485956931828e+00,6.055907531457999917e-04
2.459908636318146251e+06,1.000817569536381901e+00,5.641871101703999948e-03
2.459908637533426750e+06,1.005300172888884624e+00,5.988317461987000250e-04
2.459908638725558762e+06,1.005424296253199845e+00,6.059015203657999813e-04
2.459908639929264784e+06,1.003046263367175506e+00,6.000505820919000474e-04
2.459908641132971738e+06,1.001801726850694019e+00,6.002959800572000388e-04
2.459908642336677294e+06,1.001486587984471655e+00,6.083644377805000206e-04
2.459908643540383782e+06,1.001214206046670885e+00,6.060084498435999809e-04
2.459908644744089805e+06,1.005567784271105491e+00,5.989184575701999788e-04
2.459908645936221816e+06,1.002420500491212785e+00,5.946246246820000069e-04
2.459908647128353827e+06,1.002826630018075704e+00,5.930134372481999771e-04
2.459908648320485838e+06,1.003639562727059120e+00,6.038415560820999985e-04
2.459908649524192326e+06,1.005532155837072228e+00,6.022728402220999542e-04
2.459908650716324337e+06,1.002919529714481950e+00,5.977832315347999647e-04
2.459908651896882337e+06,1.002633762858386790e+00,5.979459493375999680e-04
2.459908653077440336e+06,1.000391401934473068e+00,5.976300054019999556e-04
2.459908654246423859e+06,1.003350601703566491e+00,5.954280236434000145e-04
2.459908655426981859e+06,1.003409803288540791e+00,6.057531883952000469e-04
2.459908656607539859e+06,1.004488304578913915e+00,5.939560974090000046e-04
2.459908657799671870e+06,1.002064569619810053e+00,5.906317199997000418e-04
2.459908658991803881e+06,9.990590029703307895e-01,5.553545425534599754e-03
2.459908660183935892e+06,9.965166556491356076e-01,5.970214807453000025e-04
2.459908661376067903e+06,9.965350266788796096e-01,6.053882014904999557e-04
2.459908662556625903e+06,9.997677309418719904e-01,6.022740039734999964e-04
2.459908663748757914e+06,9.963131221694792039e-01,6.141685174181999796e-04
2.459908664940889925e+06,9.926098075794985709e-01,5.990508561081000528e-04
2.459908666133021936e+06,9.926574589502683565e-01,5.973188571259999526e-04
2.459908667325153947e+06,9.908310179650450245e-01,6.065983950579999532e-04
2.459908668528859969e+06,9.931546144352472183e-01,6.010345875575999778e-04
2.459908669732565992e+06,9.944180615168075610e-01,6.062605706647000237e-04
2.459908670936272014e+06,9.934085635892836441e-01,6.011831904567999964e-04
2.459908672128404025e+06,9.916033043105404454e-01,5.998385138941999791e-04
2.459908673320536036e+06,9.930045490044804302e-01,5.981371333475000301e-04
2.459908674524242058e+06,9.903912938610990313e-01,5.946198156281999690e-04
2.459908675739522092e+06,9.934218275545911858e-01,5.904989418941999609e-04
2.459908676931654103e+06,9.945595149731627505e-01,6.045422429339999699e-04
2.459908678135360125e+06,9.916865750264639567e-01,5.943464852068999858e-04
2.459908679327492137e+06,9.932738757130907814e-01,6.075980120819000343e-04
2.459908680519624148e+06,9.910470506511449562e-01,5.967022903018000214e-04
2.459908681711756159e+06,9.944117763652855491e-01,5.898163741825000403e-04
2.459908682903887238e+06,9.910338985238795750e-01,5.945036345506999860e-04
2.459908684096019249e+06,9.895610458452932523e-01,5.858731028399999635e-04
2.459908685288151726e+06,9.919722597142571763e-01,5.888025090422999890e-04
2.459908686480283737e+06,9.917379245817899980e-01,6.109261628597000351e-04
2.459908687683988828e+06,9.913031760834799533e-01,5.943743454279999498e-04
2.459908688876120839e+06,9.875924826674353785e-01,5.948049801645999756e-04
2.459908690079826862e+06,9.898827899329639690e-01,5.892439810389000013e-04
2.459908691271958873e+06,9.925103705421691735e-01,5.904074883206000346e-04
2.459908692475664429e+06,9.921332366856128182e-01,5.944805247588999487e-04
2.459908693667796440e+06,9.907067094475874303e-01,5.756217799016999804e-04
2.459908694871502463e+06,9.915766169430929589e-01,5.908969078280999548e-04
2.459908696063634008e+06,9.903233272843927626e-01,5.897450055555999516e-04
2.459908697255766019e+06,9.899996638840063978e-01,5.450473935568699718e-03
2.459908698436324019e+06,9.899878383877795951e-01,5.895637612606000012e-04
2.459908699640029576e+06,9.922117007803840094e-01,5.792282528451999550e-04
2.459908700832161121e+06,9.920800693368864165e-01,5.321287453053999764e-03
2.459908702024293132e+06,9.914809455412137984e-01,5.702523543109999605e-04
2.459908703227998689e+06,9.893015915669336469e-01,5.705802642108000504e-04
2.459908704420130700e+06,9.906273517974844012e-01,5.559874330841999869e-04
2.459908705612262245e+06,9.875537481730027878e-01,5.689897852435999576e-04
2.459908706792819779e+06,9.893218942223136469e-01,5.518993874509000403e-04
2.459908707984951790e+06,9.909367455138148317e-01,5.231919739126200154e-03
2.459908709177083801e+06,9.891939578348035722e-01,5.771623059150000250e-04
2.459908710369215813e+06,9.909768235803152470e-01,5.666745838473000174e-04
2.459908711561346892e+06,9.871003098678932108e-01,5.657468330946999972e-04
2.459908712753478438e+06,9.886179106832292396e-01,5.608996849359000007e-04
2.459908713945610449e+06,9.881769386610106398e-01,5.622643563466000506e-04
2.459908715137741994e+06,9.887825873341955507e-01,5.636440831342000172e-04
2.459908716329873074e+06,9.896296955272185780e-01,5.636295776634000316e-04
2.459908717522005551e+06,9.919650569560858333e-01,5.666999941122000464e-04
2.459908718714137096e+06,9.879812640636563836e-01,5.181305853329099854e-03
2.459908719906268641e+06,9.887915982834719619e-01,5.634503473789000128e-04
2.459908721086826175e+06,9.877024189508679664e-01,5.620126554562999933e-04
2.459908722278958187e+06,9.874009727239667633e-01,5.611294331739000163e-04
2.459908723459516186e+06,9.872917309023679922e-01,5.603578807612000180e-04
2.459908724640073255e+06,9.900842458751679676e-01,5.567950984358999589e-04
2.459908725832204800e+06,9.882302409524176268e-01,5.570735250038999975e-04
2.459908727012762334e+06,9.878934147014060141e-01,5.640874132974000015e-04
2.459908728204893880e+06,9.896681863894195574e-01,5.541945602234000460e-04
2.459908729397025425e+06,9.863688565363387672e-01,5.581905734053999512e-04
2.459908730577582959e+06,9.881516777010344033e-01,5.613222731982999781e-04
2.459908731758140493e+06,9.889967273905971856e-01,5.651030977318000428e-04
2.459908732950272039e+06,9.874742705454702119e-01,5.064618455623199657e-03
2.459908734130829573e+06,9.872646650198300122e-01,5.576490456080000291e-04
2.459908735322961118e+06,9.891313180824947704e-01,5.586889229281000483e-04
2.459908736503518652e+06,9.872844899688532072e-01,5.646978021854999561e-04
2.459908737695650198e+06,9.878218912971488130e-01,5.580508808861999598e-04
2.459908738887781743e+06,9.879275823371256315e-01,5.473478841797000533e-04
2.459908740068339743e+06,9.872924087981755914e-01,5.612464751835999875e-04
2.459908741260470822e+06,9.897135892539360436e-01,5.663257078039999910e-04
2.459908742452601902e+06,9.894677208232144361e-01,5.581755829389999698e-04
2.459908743644732982e+06,9.896182558940443963e-01,5.602041809402000163e-04
2.459908744825290982e+06,9.910640921031209638e-01,5.608604714363999485e-04
2.459908746017422527e+06,9.861246837247575892e-01,5.635358803980000447e-04
2.459908747209554072e+06,9.895589019911865680e-01,5.547142441968000307e-04
2.459908748401685618e+06,9.884501848771571897e-01,5.588408501493999977e-04
2.459908749593817163e+06,9.879270047530261945e-01,5.640198561754999852e-04
2.459908750785948709e+06,9.863114121687611702e-01,5.695214175728000386e-04
2.459908751966505777e+06,9.867354355982680403e-01,5.504818373592999716e-04
2.459908753158637322e+06,9.889672639075581806e-01,5.000674258432099596e-03
2.459908754350768868e+06,9.873627560284924387e-01,5.673152317305000083e-04
2.459908755531325936e+06,9.825566049438315686e-01,5.577400193605000023e-04
2.459908756723457016e+06,9.840093313131863528e-01,5.637317436352999719e-04
2.459908757915589027e+06,9.857644992687919494e-01,5.710906457515000246e-04
2.459908759107720573e+06,9.876254703961163672e-01,5.642616845958000086e-04
2.459908760288277641e+06,9.843764439388792420e-01,5.822868901838000469e-04
2.459908761480409186e+06,9.860644251962570328e-01,5.919154468783000304e-04
2.459908762672540732e+06,9.868174549457432443e-01,5.735012193004999839e-04
2.459908763853097800e+06,9.877161545882495730e-01,5.732016789112000070e-04
2.459908765033655800e+06,9.849313977251653585e-01,5.907731458138000026e-04
2.459908766214212403e+06,9.862781688057011831e-01,5.860664769882000186e-04
2.459908767406343948e+06,9.879002194994768171e-01,5.477234909817000263e-04
2.459908768586901017e+06,9.850897762084146470e-01,5.543672827224000160e-04
2.459908769767458085e+06,9.871273792332023733e-01,5.482793357132999734e-04
2.459908770948016085e+06,9.852618172924459961e-01,5.616045249442999958e-04
2.459908772140146699e+06,9.852224182435227462e-01,5.803628965852999921e-04
2.459908773320703767e+06,9.847349867519515909e-01,5.556921500953000042e-04
2.459908774512835778e+06,9.851028730798647715e-01,5.651511722316999954e-04
2.459908775693392847e+06,9.832570355656575778e-01,5.646303156919999866e-04
2.459908776873949915e+06,9.881244794460376513e-01,5.512938179436000126e-04
2.459908778066080995e+06,9.867045748013976159e-01,5.498383755132000466e-04
2.459908779246638529e+06,9.887599059232655696e-01,5.541044623898999481e-04
2.459908780427196063e+06,9.839123940758524034e-01,5.594092980399999844e-04
2.459908781607752666e+06,9.881796335651189533e-01,5.710237083186999558e-04
2.459908782776736189e+06,9.877091273190972132e-01,5.651623541415999640e-04
2.459908783968867734e+06,9.856058935959384204e-01,5.663306981393000398e-04
2.459908785149424337e+06,9.860649600645295942e-01,5.617741511279999989e-04
2.459908786341555417e+06,9.889821452680119807e-01,5.535209501594999613e-04
2.459908787522112951e+06,9.868828145020686060e-01,5.642616518322000159e-04
2.459908788714244030e+06,9.876451335080019822e-01,5.644280141930000305e-04
2.459908789894801099e+06,9.847579386664148116e-01,5.720646997519999999e-04
2.459908791086932179e+06,9.868495941277591887e-01,5.815093335322999964e-04
2.459908792279064190e+06,9.853583125784507457e-01,6.076234520077999565e-04
2.459908793471194804e+06,9.853197786083963683e-01,5.868853182797000023e-04
2.459908794651751872e+06,9.846199648840787688e-01,6.195502905984999779e-04
2.459908795843882952e+06,9.828493536526740071e-01,6.394322231734000071e-04
2.459908797024440020e+06,9.869106998650956086e-01,6.366796861956000369e-04
2.459908798216572031e+06,9.856261581481450262e-01,6.799131157005000505e-04
2.459908799408702180e+06,9.863781931066397668e-01,6.469170309647999514e-04
2.459908800600833725e+06,9.826972273173287808e-01,6.420966281537000483e-04
2.459908801781390794e+06,9.863663737975484347e-01,6.221337564023000357e-04
2.459908802973521873e+06,9.838520541781932138e-01,6.225211253780999496e-04
2.459908804154078942e+06,9.834037586826888111e-01,5.368880272862600056e-03
2.459908805346210022e+06,9.870275541967672428e-01,5.200576698007500047e-03
2.459908806526767090e+06,9.829236772326012117e-01,5.934845039308999639e-04
2.459908807695750147e+06,9.845051030968340333e-01,5.364194087372499940e-03
2.459908808876307216e+06,9.849054293104968494e-01,6.153924722408000460e-04
2.459908810068438295e+06,9.863115666188946307e-01,6.142953332450999714e-04
2.459908811248995829e+06,9.876901868539481599e-01,6.704321782946999616e-04
2.459908812429552432e+06,9.877179956382413639e-01,6.739663916941000246e-04
2.459908813621683512e+06,9.870888528286756447e-01,5.702522926170999719e-04
2.459908814802240580e+06,9.872381667268500527e-01,5.635496915819000318e-04
2.459908815982797183e+06,9.844230776820044326e-01,5.928070294836999777e-04
2.459908817163354252e+06,9.854547380765715792e-01,5.716558861790999512e-04
2.459908818343911786e+06,9.846274262808824007e-01,5.650215275593000342e-04
2.459908819524468388e+06,9.854262143461122170e-01,5.503700635740000182e-04
2.459908820705024991e+06,9.855487832195469755e-01,5.471934308785000520e-04
2.459908821885582060e+06,9.863810150273125688e-01,5.586732233417000424e-04
2.459908823066139128e+06,9.879864803811023721e-01,5.559843265012000268e-04
2.459908824246696196e+06,9.863293578273415463e-01,5.618464079352999746e-04
2.459908825427253265e+06,9.851232497858519732e-01,5.516260327909000344e-04
2.459908826607809868e+06,9.875045173760808037e-01,5.122184027420299650e-03
2.459908827788366936e+06,9.842203391524033673e-01,5.564542518352000007e-04
2.459908828968924005e+06,9.833637983503034086e-01,5.595724613425000519e-04
2.459908830137906596e+06,9.880895203895470047e-01,5.759171078428000200e-04
2.459908831306889653e+06,9.901043411929844051e-01,5.737556208185999899e-04
2.459908832475871779e+06,9.880626185541877549e-01,5.524888867606999850e-04
2.459908833656429313e+06,9.861208175566757994e-01,5.472619753347999615e-04
2.459908834813837893e+06,9.875149976853919709e-01,5.694091777625999917e-04
2.459908835982820485e+06,9.867977828944094476e-01,5.555210546328000296e-04
2.459908837151803542e+06,9.864196368683432192e-01,5.623119951996000468e-04
2.459908838309212122e+06,9.883628909555407516e-01,5.691706386416999896e-04
2.459908839478195179e+06,9.872455554764255625e-01,5.527770534417999863e-04
2.459908840635604225e+06,9.905108777843095735e-01,5.692396641565000085e-04
2.459908841804586351e+06,9.871428578960885769e-01,5.654500961339999597e-04
2.459908842973568942e+06,9.865773386966856240e-01,5.213958391671999829e-03
2.459908844142552000e+06,9.863134887936766404e-01,5.856155924029999692e-04
2.459908845311534591e+06,9.882392157781659803e-01,5.396213422363099754e-03
2.459908846480517182e+06,9.869119311525591520e-01,5.984372874026000402e-04
2.459908847649499774e+06,9.902348063311198212e-01,6.214342993861000312e-04
2.459908848818482831e+06,9.892777117692236333e-01,6.330575952879000491e-04
2.459908849975891411e+06,9.859498148579656229e-01,6.413880137712000065e-04
2.459908851144874003e+06,9.867542031647783540e-01,6.446189326660999638e-04
2.459908852302283049e+06,9.867586155972879469e-01,6.488782412828000314e-04
2.459908853471265640e+06,9.902885180098788265e-01,6.818434517100000359e-04
2.459908854628674220e+06,9.835259267901224067e-01,8.029564177471999655e-04
2.459908855797656812e+06,9.887283413426803946e-01,7.854850776167000056e-04
2.459908856955065392e+06,9.902468814294775878e-01,8.643902592840999781e-04
2.459908858112473972e+06,9.868765319216755705e-01,8.915199777029999542e-04
2.459908859281457029e+06,9.864693967266213726e-01,1.030684215907300095e-03
