#BJD	RV	RVe	BIS	BISe	Instrument
2458808.76826	-4.3665	0.0097	 0.004	0.014	FEROS
2458811.81219	-4.3434	0.0121	-0.042	0.016	FEROS
2458813.75254	-4.3986	0.0095	 0.026	0.013	FEROS
2458815.77413	-4.3852	0.0089	 0.001	0.013	FEROS
2458836.66596	-4.3841	0.0058	-0.020	0.008	HARPS
2458839.74536	-4.3790	0.0079	 0.010	0.010	HARPS
2458854.61724	-4.3569	0.0079	 0.004	0.010	HARPS
2458880.64414	-4.3785	0.0086	-0.016	0.011	HARPS
2458882.66114	-4.3733	0.0101	-0.011	0.013	HARPS
2458899.55977	-4.3711	0.0068	-0.003	0.009	HARPS
2459178.62684	-4.3672	0.0085	 0.013	0.011	HARPS
2459204.63464	-4.3716	0.0059	-0.006	0.008	HARPS
2459229.68330	-4.3672	0.0073	-0.016	0.009	HARPS
2459245.69493	-4.4029	0.0102	-0.026	0.013	HARPS
2459253.59537	-4.3243	0.0067	-0.078	0.009	HARPS
2459258.63172	-4.3822	0.0073	-0.002	0.009	HARPS
2459280.52119	-4.3632	0.0111	-0.009	0.015	HARPS
2459296.59549	-4.3753	0.0086	 0.012	0.011	HARPS
2459467.89116	-4.3841	0.0092	 0.000	0.012	HARPS
2459592.60405	 0.0037	0.0023	-999.0	-999.0	PFS
2459592.61765	-0.0043	0.0027	-999.0	-999.0	PFS
2459800.88601	 0.0038	0.0027	-999.0	-999.0	PFS
2459800.90014	 0.0000	0.0024	-999.0	-999.0	PFS
2459827.84009	-0.0052	0.0021	-999.0	-999.0	PFS
2459827.85426	-0.0051	0.0022	-999.0	-999.0	PFS
2459897.70921	 0.0019	0.0025	-999.0	-999.0	PFS
2459897.72334	-0.0050	0.0025	-999.0	-999.0	PFS
