#time,flux,flux_err
1908.62433,9.994340283530176450e-01,6.044567095959000116e-04
1908.62553,9.936761959634959895e-01,6.028486180855999665e-04
1908.62673,1.000565971646981911e+00,6.036039993056000483e-04
1908.62794,1.000828870593765574e+00,6.145836733559000443e-04
1908.62914,9.988076150617453131e-01,6.156837985856999625e-04
1908.63035,1.004973116347947171e+00,6.098960555182000257e-04
1908.63155,1.001318169587642304e+00,6.085425132877999611e-04
1908.63274,9.983448582415219708e-01,6.094713801224999842e-04
1908.63393,9.989227177143360503e-01,6.110261159873000333e-04
1908.63513,1.001576485956931828e+00,6.055907531457999917e-04
1908.63632,1.000817569536381901e+00,5.641871101703999948e-03
1908.63753,1.005300172888884624e+00,5.988317461987000250e-04
1908.63873,1.005424296253199845e+00,6.059015203657999813e-04
1908.63993,1.003046263367175506e+00,6.000505820919000474e-04
1908.64113,1.001801726850694019e+00,6.002959800572000388e-04
1908.64234,1.001486587984471655e+00,6.083644377805000206e-04
1908.64354,1.001214206046670885e+00,6.060084498435999809e-04
1908.64474,1.005567784271105491e+00,5.989184575701999788e-04
1908.64594,1.002420500491212785e+00,5.946246246820000069e-04
1908.64713,1.002826630018075704e+00,5.930134372481999771e-04
1908.64832,1.003639562727059120e+00,6.038415560820999985e-04
1908.64952,1.005532155837072228e+00,6.022728402220999542e-04
1908.65072,1.002919529714481950e+00,5.977832315347999647e-04
1908.65190,1.002633762858386790e+00,5.979459493375999680e-04
1908.65308,1.000391401934473068e+00,5.976300054019999556e-04
1908.65425,1.003350601703566491e+00,5.954280236434000145e-04
1908.65543,1.003409803288540791e+00,6.057531883952000469e-04
1908.65661,1.004488304578913915e+00,5.939560974090000046e-04
1908.65780,1.002064569619810053e+00,5.906317199997000418e-04
1908.65899,9.990590029703309005e-01,5.553545425534599754e-03
1908.66018,9.965166556491357186e-01,5.970214807453000025e-04
1908.66138,9.965350266788797207e-01,6.053882014904999557e-04
1908.66256,9.997677309418722125e-01,6.022740039734999964e-04
1908.66375,9.963131221694792039e-01,6.141685174181999796e-04
1908.66494,9.926098075794983489e-01,5.990508561081000528e-04
1908.66613,9.926574589502684676e-01,5.973188571259999526e-04
1908.66733,9.908310179650449134e-01,6.065983950579999532e-04
1908.66853,9.931546144352472183e-01,6.010345875575999778e-04
1908.66973,9.944180615168076720e-01,6.062605706647000237e-04
1908.67094,9.934085635892835331e-01,6.011831904567999964e-04
1908.67213,9.916033043105404454e-01,5.998385138941999791e-04
1908.67332,9.930045490044803191e-01,5.981371333475000301e-04
1908.67452,9.903912938610990313e-01,5.946198156281999690e-04
1908.67574,9.934218275545914079e-01,5.904989418941999609e-04
1908.67693,9.945595149731628615e-01,6.045422429339999699e-04
1908.67814,9.916865750264639567e-01,5.943464852068999858e-04
1908.67933,9.932738757130908924e-01,6.075980120819000343e-04
1908.68052,9.910470506511448452e-01,5.967022903018000214e-04
1908.68171,9.944117763652855491e-01,5.898163741825000403e-04
1908.68290,9.910338985238796861e-01,5.945036345506999860e-04
1908.68410,9.895610458452931413e-01,5.858731028399999635e-04
1908.68529,9.919722597142572873e-01,5.888025090422999890e-04
1908.68648,9.917379245817902200e-01,6.109261628597000351e-04
1908.68768,9.913031760834799533e-01,5.943743454279999498e-04
1908.68888,9.875924826674351564e-01,5.948049801645999756e-04
1908.69008,9.898827899329639690e-01,5.892439810389000013e-04
1908.69127,9.925103705421692846e-01,5.904074883206000346e-04
1908.69248,9.921332366856128182e-01,5.944805247588999487e-04
1908.69367,9.907067094475873192e-01,5.756217799016999804e-04
1908.69487,9.915766169430928478e-01,5.908969078280999548e-04
1908.69606,9.903233272843927626e-01,5.897450055555999516e-04
1908.69726,9.899996638840065089e-01,5.450473935568699718e-03
1908.69844,9.899878383877797061e-01,5.895637612606000012e-04
1908.69964,9.922117007803840094e-01,5.792282528451999550e-04
1908.70083,9.920800693368864165e-01,5.321287453053999764e-03
1908.70202,9.914809455412137984e-01,5.702523543109999605e-04
1908.70323,9.893015915669336469e-01,5.705802642108000504e-04
1908.70442,9.906273517974845122e-01,5.559874330841999869e-04
1908.70561,9.875537481730028988e-01,5.689897852435999576e-04
1908.70679,9.893218942223136469e-01,5.518993874509000403e-04
1908.70798,9.909367455138147207e-01,5.231919739126200154e-03
1908.70918,9.891939578348035722e-01,5.771623059150000250e-04
1908.71037,9.909768235803152470e-01,5.666745838473000174e-04
1908.71156,9.871003098678930998e-01,5.657468330946999972e-04
1908.71275,9.886179106832291286e-01,5.608996849359000007e-04
1908.71395,9.881769386610105288e-01,5.622643563466000506e-04
1908.71514,9.887825873341955507e-01,5.636440831342000172e-04
1908.71633,9.896296955272183560e-01,5.636295776634000316e-04
1908.71752,9.919650569560857223e-01,5.666999941122000464e-04
1908.71871,9.879812640636562726e-01,5.181305853329099854e-03
1908.71991,9.887915982834719619e-01,5.634503473789000128e-04
1908.72109,9.877024189508679664e-01,5.620126554562999933e-04
1908.72228,9.874009727239667633e-01,5.611294331739000163e-04
1908.72346,9.872917309023682142e-01,5.603578807612000180e-04
1908.72464,9.900842458751679676e-01,5.567950984358999589e-04
1908.72583,9.882302409524176268e-01,5.570735250038999975e-04
1908.72701,9.878934147014061251e-01,5.640874132974000015e-04
