#time,flux,flux_err
1816.04621,1.001742,0.00138
1816.04737,0.998986,0.001375
1816.04851,1.000696,0.001378
1816.04965,0.99645,0.001375
1816.05079,0.99759,0.001376
1816.05193,1.002106,0.001382
1816.05328,0.998204,0.001381
1816.05442,0.998351,0.001386
1816.05556,0.997737,0.001382
1816.05688,0.997997,0.001376
1816.05802,1.001703,0.001381
1816.05934,0.993521,0.001362
1816.06067,1.000612,0.001377
1816.06181,1.003197,0.001381
1816.06295,0.99669,0.001388
1816.06409,1.004172,0.00139
1816.06524,1.001223,0.00138
1816.06638,0.994779,0.001376
1816.06752,1.001697,0.001383
1816.06866,1.003336,0.00138
1816.0698,0.998271,0.00138
1816.07094,0.996793,0.001372
1816.07227,1.001384,0.001372
1816.07341,1.002017,0.001376
1816.07455,1.003234,0.001378
1816.07569,0.999083,0.001365
1816.07702,0.996548,0.00137
1816.07816,0.997401,0.001391
1816.0793,1.005561,0.001393
1816.08044,0.99594,0.001369
1816.08158,1.006784,0.001386
1816.08273,0.996395,0.001382
1816.08405,1.003948,0.001382
1816.08519,1.004062,0.00138
1816.08633,0.996595,0.001374
1816.08747,0.995633,0.001374
1816.0888,1.002932,0.001376
1816.09012,1.00194,0.00137
1816.09145,1.000261,0.001368
1816.09259,0.998332,0.001365
1816.09373,0.995561,0.00136
1816.09487,0.997455,0.00136
1816.09751,1.002474,0.001369
1816.09865,1.001228,0.001367
1816.09997,0.995713,0.00136
1816.10111,0.997785,0.001361
1816.10225,0.996432,0.001361
1816.10357,0.99703,0.001364
1816.10471,1.0,0.001373
1816.10586,1.002773,0.001379
1816.10717,1.004321,0.001393
1816.10832,0.996568,0.00138
1816.10946,0.998617,0.001376
1816.1106,1.00237,0.001371
1816.11192,1.003992,0.001389
1816.11306,1.000008,0.001375
1816.1142,1.001124,0.001383
1816.11553,0.999957,0.001363
1816.11687,1.002624,0.001363
1816.11801,0.996017,0.001356
1816.11934,1.002218,0.001363
1816.12048,1.002382,0.001364
1816.1218,1.001293,0.001362
1816.12426,0.999488,0.001364
1816.12559,0.994654,0.001352
1816.12673,1.001092,0.001368
1816.12787,1.004046,0.001374
1816.12921,0.998729,0.001367
1816.13054,1.000379,0.001374
1816.13168,1.003597,0.001378
1816.13301,1.003005,0.001383
1816.13415,0.997466,0.001377
1816.13529,1.000836,0.001383
1816.13643,0.998438,0.001409
1816.13758,1.000887,0.001407
1816.13872,0.996115,0.001408
1816.14004,0.997456,0.001413
1816.14119,0.990297,0.001411
1816.14365,0.998007,0.00142
1816.14498,0.998858,0.001421
1816.14612,0.990809,0.001416
1816.14726,0.990866,0.001417
1816.1484,0.99494,0.001421
1816.14954,0.994323,0.001424
1816.15068,0.992579,0.001424
1816.15182,0.996011,0.00144
1816.15317,0.991358,0.001437
1816.1545,0.994648,0.001447
1816.15564,0.996835,0.001456
1816.15696,0.996657,0.00145
1816.15829,0.995462,0.001446
1816.15943,0.988598,0.001436
1816.16057,0.988247,0.001439
1816.16171,0.990985,0.001446
1816.16285,0.991739,0.001448
1816.16399,0.995474,0.001455
1816.16513,0.991927,0.001455
1816.16742,0.99194,0.001446
1816.16874,0.990091,0.001444
1816.17006,0.993277,0.001498
1816.1712,0.986051,0.00146
1816.17253,0.986923,0.001462
1816.17386,0.983621,0.001469
1816.175,0.987962,0.001482
1816.17632,0.98734,0.00151
1816.17765,0.990963,0.001525
1816.17879,0.98987,0.001493
1816.17993,0.991442,0.001456
1816.18107,0.993069,0.0015
1816.18222,0.991246,0.00151
1816.18353,0.990106,0.00148
1816.18485,0.993435,0.001471
1816.18599,0.989362,0.001482
1816.18713,0.992298,0.001471
1816.18828,0.992482,0.001459
1816.18961,0.988018,0.001449
1816.19075,0.987191,0.001445
1816.19189,0.990166,0.001445
1816.19303,0.986482,0.001433
1816.19417,0.989883,0.001431
1816.19531,0.987422,0.001436
1816.19645,0.990684,0.001442
1816.19779,0.991308,0.001442
1816.19911,0.99021,0.001437
1816.20025,0.990554,0.001443
1816.20157,0.989357,0.001442
1816.20289,0.992575,0.001451
1816.20403,0.99594,0.001597
1816.20536,0.99077,0.001562
1816.20669,0.990482,0.001518
1816.20915,0.994398,0.001584
1816.21047,0.99038,0.001585
1816.21161,0.986782,0.001584
1816.21294,0.99118,0.001603
1816.21408,0.988141,0.001559
1816.21541,0.98728,0.001539
1816.21674,0.988767,0.001537
1816.21789,0.993089,0.00159
1816.2192,0.982283,0.001557
1816.22052,0.985999,0.001582
1816.22167,0.987785,0.001592
1816.22298,0.995222,0.001622
1816.2243,0.986003,0.001616
1816.22544,0.994835,0.001625
1816.22658,0.988168,0.001617
1816.22773,0.988534,0.001633
1816.22906,0.989686,0.001549
1816.2302,0.989258,0.001543
1816.23153,0.984405,0.001531
1816.23286,0.988538,0.001535
1816.23417,0.987312,0.001668
1816.23531,0.9856,0.001602
1816.23646,0.988221,0.001561
1816.2376,0.994319,0.001593
1816.23874,0.987483,0.001616
1816.23988,0.986651,0.001627
1816.24102,0.992356,0.001631
1816.24216,0.986667,0.00161
1816.2433,0.990448,0.001591
1816.24444,0.994995,0.001592
1816.24558,0.992297,0.001595
1816.24672,0.991351,0.001601
1816.24787,0.988921,0.001607
1816.24901,0.989252,0.00161
1816.25015,0.991161,0.001619
1816.25129,0.987555,0.00164
1816.25243,0.987215,0.001699
1816.25357,0.985151,0.001719
1816.25471,0.982899,0.001693
1816.25585,0.993044,0.001701
1816.25699,0.9935,0.001754
1816.25814,0.998947,0.001799
1816.25928,0.983389,0.001769
1816.26042,0.995493,0.001758
